# t  xE  yE  vxE  vyE  xM  yM  vxM  vyM  xA  yA  vxA  vyA  Etot
0 1.24354 -4.67082e+06 12.4354 3.31817e-06 -101.099 3.79732e+08 -1010.99 -0.000269764 0 0 0 0 3.80121e+28
100 1244.79 -4.67082e+06 12.4354 0.00332149 -101200 3.79732e+08 -1010.99 -0.270034 0 0 0 0 3.80121e+28
200 2488.33 -4.67081e+06 12.4354 0.00663966 -202298 3.79732e+08 -1010.99 -0.539797 0 0 0 0 3.80121e+28
300 3731.87 -4.67081e+06 12.4354 0.00995784 -303397 3.79732e+08 -1010.99 -0.809561 0 0 0 0 3.80121e+28
400 4975.41 -4.67081e+06 12.4354 0.013276 -404496 3.79732e+08 -1010.99 -1.07932 0 0 0 0 3.80121e+28
500 6218.95 -4.67081e+06 12.4354 0.0165942 -505594 3.79732e+08 -1010.99 -1.34909 0 0 0 0 3.80121e+28
600 7462.49 -4.67081e+06 12.4354 0.0199123 -606693 3.79732e+08 -1010.99 -1.61885 0 0 0 0 3.80121e+28
700 8706.03 -4.67081e+06 12.4354 0.0232305 -707791 3.79732e+08 -1010.98 -1.88862 0 0 0 0 3.80121e+28
800 9949.57 -4.6708e+06 12.4354 0.0265487 -808890 3.79731e+08 -1010.98 -2.15838 0 0 0 0 3.80121e+28
900 11193.1 -4.6708e+06 12.4354 0.0298668 -909988 3.79731e+08 -1010.98 -2.42814 0 0 0 0 3.80121e+28
1000 12436.7 -4.6708e+06 12.4354 0.033185 -1.01109e+06 3.79731e+08 -1010.98 -2.6979 0 0 0 0 3.80121e+28
1100 13680.2 -4.6708e+06 12.4354 0.0365032 -1.11218e+06 3.79731e+08 -1010.98 -2.96767 0 0 0 0 3.80121e+28
1200 14923.7 -4.67079e+06 12.4354 0.0398213 -1.21328e+06 3.7973e+08 -1010.98 -3.23743 0 0 0 0 3.80121e+28
1300 16167.3 -4.67079e+06 12.4353 0.0431395 -1.31438e+06 3.7973e+08 -1010.98 -3.50719 0 0 0 0 3.80121e+28
1400 17410.8 -4.67078e+06 12.4353 0.0464576 -1.41548e+06 3.7973e+08 -1010.98 -3.77695 0 0 0 0 3.80121e+28
1500 18654.3 -4.67078e+06 12.4353 0.0497758 -1.51658e+06 3.79729e+08 -1010.98 -4.04672 0 0 0 0 3.80121e+28
1600 19897.9 -4.67077e+06 12.4353 0.0530939 -1.61767e+06 3.79729e+08 -1010.98 -4.31648 0 0 0 0 3.80121e+28
1700 21141.4 -4.67077e+06 12.4353 0.0564121 -1.71877e+06 3.79728e+08 -1010.98 -4.58624 0 0 0 0 3.80121e+28
1800 22384.9 -4.67076e+06 12.4353 0.0597302 -1.81987e+06 3.79728e+08 -1010.97 -4.856 0 0 0 0 3.80121e+28
1900 23628.4 -4.67076e+06 12.4353 0.0630483 -1.92097e+06 3.79727e+08 -1010.97 -5.12576 0 0 0 0 3.80121e+28
2000 24872 -4.67075e+06 12.4352 0.0663665 -2.02206e+06 3.79727e+08 -1010.97 -5.39552 0 0 0 0 3.80121e+28
2100 26115.5 -4.67074e+06 12.4352 0.0696846 -2.12316e+06 3.79726e+08 -1010.97 -5.66528 0 0 0 0 3.80121e+28
2200 27359 -4.67073e+06 12.4352 0.0730027 -2.22426e+06 3.79726e+08 -1010.97 -5.93504 0 0 0 0 3.80121e+28
2300 28602.5 -4.67073e+06 12.4352 0.0763208 -2.32536e+06 3.79725e+08 -1010.97 -6.2048 0 0 0 0 3.80121e+28
2400 29846.1 -4.67072e+06 12.4352 0.0796389 -2.42645e+06 3.79724e+08 -1010.97 -6.47456 0 0 0 0 3.80121e+28
2500 31089.6 -4.67071e+06 12.4351 0.082957 -2.52755e+06 3.79724e+08 -1010.96 -6.74432 0 0 0 0 3.80121e+28
2600 32333.1 -4.6707e+06 12.4351 0.0862751 -2.62864e+06 3.79723e+08 -1010.96 -7.01407 0 0 0 0 3.80121e+28
2700 33576.6 -4.67069e+06 12.4351 0.0895932 -2.72974e+06 3.79722e+08 -1010.96 -7.28383 0 0 0 0 3.80121e+28
2800 34820.1 -4.67069e+06 12.4351 0.0929113 -2.83084e+06 3.79722e+08 -1010.96 -7.55359 0 0 0 0 3.80121e+28
2900 36063.6 -4.67068e+06 12.4351 0.0962294 -2.93193e+06 3.79721e+08 -1010.96 -7.82334 0 0 0 0 3.80121e+28
3000 37307.1 -4.67067e+06 12.435 0.0995474 -3.03303e+06 3.7972e+08 -1010.95 -8.0931 0 0 0 0 3.80121e+28
3100 38550.6 -4.67066e+06 12.435 0.102866 -3.13412e+06 3.79719e+08 -1010.95 -8.36285 0 0 0 0 3.80121e+28
3200 39794.1 -4.67065e+06 12.435 0.106184 -3.23522e+06 3.79718e+08 -1010.95 -8.63261 0 0 0 0 3.80121e+28
3300 41037.6 -4.67063e+06 12.4349 0.109502 -3.33631e+06 3.79717e+08 -1010.95 -8.90236 0 0 0 0 3.80121e+28
3400 42281.1 -4.67062e+06 12.4349 0.11282 -3.43741e+06 3.79717e+08 -1010.94 -9.17212 0 0 0 0 3.80121e+28
3500 43524.6 -4.67061e+06 12.4349 0.116138 -3.5385e+06 3.79716e+08 -1010.94 -9.44187 0 0 0 0 3.80121e+28
3600 44768.1 -4.6706e+06 12.4349 0.119456 -3.6396e+06 3.79715e+08 -1010.94 -9.71162 0 0 0 0 3.80121e+28
3700 46011.6 -4.67059e+06 12.4348 0.122774 -3.74069e+06 3.79714e+08 -1010.94 -9.98137 0 0 0 0 3.80121e+28
3800 47255 -4.67058e+06 12.4348 0.126092 -3.84178e+06 3.79713e+08 -1010.93 -10.2511 0 0 0 0 3.80121e+28
3900 48498.5 -4.67056e+06 12.4348 0.12941 -3.94288e+06 3.79712e+08 -1010.93 -10.5209 0 0 0 0 3.80121e+28
4000 49742 -4.67055e+06 12.4347 0.132728 -4.04397e+06 3.79711e+08 -1010.93 -10.7906 0 0 0 0 3.80121e+28
4100 50985.5 -4.67054e+06 12.4347 0.136046 -4.14506e+06 3.7971e+08 -1010.93 -11.0604 0 0 0 0 3.80121e+28
4200 52228.9 -4.67052e+06 12.4346 0.139364 -4.24615e+06 3.79708e+08 -1010.92 -11.3301 0 0 0 0 3.80121e+28
4300 53472.4 -4.67051e+06 12.4346 0.142682 -4.34725e+06 3.79707e+08 -1010.92 -11.5999 0 0 0 0 3.80121e+28
4400 54715.8 -4.67049e+06 12.4346 0.146 -4.44834e+06 3.79706e+08 -1010.92 -11.8696 0 0 0 0 3.80121e+28
4500 55959.3 -4.67048e+06 12.4345 0.149318 -4.54943e+06 3.79705e+08 -1010.91 -12.1394 0 0 0 0 3.80121e+28
4600 57202.8 -4.67046e+06 12.4345 0.152635 -4.65052e+06 3.79704e+08 -1010.91 -12.4091 0 0 0 0 3.80121e+28
4700 58446.2 -4.67045e+06 12.4344 0.155953 -4.75161e+06 3.79702e+08 -1010.91 -12.6788 0 0 0 0 3.80121e+28
4800 59689.6 -4.67043e+06 12.4344 0.159271 -4.8527e+06 3.79701e+08 -1010.9 -12.9486 0 0 0 0 3.80121e+28
4900 60933.1 -4.67042e+06 12.4344 0.162589 -4.95379e+06 3.797e+08 -1010.9 -13.2183 0 0 0 0 3.80121e+28
5000 62176.5 -4.6704e+06 12.4343 0.165907 -5.05488e+06 3.79698e+08 -1010.9 -13.4881 0 0 0 0 3.80121e+28
5100 63419.9 -4.67038e+06 12.4343 0.169225 -5.15597e+06 3.79697e+08 -1010.89 -13.7578 0 0 0 0 3.80121e+28
5200 64663.4 -4.67037e+06 12.4342 0.172543 -5.25706e+06 3.79696e+08 -1010.89 -14.0275 0 0 0 0 3.80121e+28
5300 65906.8 -4.67035e+06 12.4342 0.175861 -5.35815e+06 3.79694e+08 -1010.89 -14.2973 0 0 0 0 3.80121e+28
5400 67150.2 -4.67033e+06 12.4341 0.179179 -5.45924e+06 3.79693e+08 -1010.88 -14.567 0 0 0 0 3.80121e+28
5500 68393.6 -4.67031e+06 12.4341 0.182496 -5.56033e+06 3.79691e+08 -1010.88 -14.8368 0 0 0 0 3.80121e+28
5600 69637 -4.67029e+06 12.434 0.185814 -5.66141e+06 3.7969e+08 -1010.87 -15.1065 0 0 0 0 3.80121e+28
5700 70880.4 -4.67028e+06 12.434 0.189132 -5.7625e+06 3.79688e+08 -1010.87 -15.3762 0 0 0 0 3.80121e+28
5800 72123.8 -4.67026e+06 12.4339 0.19245 -5.86359e+06 3.79687e+08 -1010.87 -15.646 0 0 0 0 3.80121e+28
5900 73367.2 -4.67024e+06 12.4339 0.195768 -5.96467e+06 3.79685e+08 -1010.86 -15.9157 0 0 0 0 3.80121e+28
6000 74610.6 -4.67022e+06 12.4338 0.199085 -6.06576e+06 3.79684e+08 -1010.86 -16.1854 0 0 0 0 3.80121e+28
6100 75854 -4.6702e+06 12.4338 0.202403 -6.16685e+06 3.79682e+08 -1010.85 -16.4551 0 0 0 0 3.80121e+28
6200 77097.4 -4.67018e+06 12.4337 0.205721 -6.26793e+06 3.7968e+08 -1010.85 -16.7249 0 0 0 0 3.80121e+28
6300 78340.7 -4.67016e+06 12.4337 0.209038 -6.36902e+06 3.79679e+08 -1010.84 -16.9946 0 0 0 0 3.80121e+28
6400 79584.1 -4.67014e+06 12.4336 0.212356 -6.4701e+06 3.79677e+08 -1010.84 -17.2643 0 0 0 0 3.80121e+28
6500 80827.4 -4.67011e+06 12.4336 0.215674 -6.57118e+06 3.79675e+08 -1010.83 -17.534 0 0 0 0 3.80121e+28
6600 82070.8 -4.67009e+06 12.4335 0.218992 -6.67227e+06 3.79673e+08 -1010.83 -17.8038 0 0 0 0 3.80121e+28
6700 83314.1 -4.67007e+06 12.4334 0.222309 -6.77335e+06 3.79672e+08 -1010.83 -18.0735 0 0 0 0 3.80121e+28
6800 84557.5 -4.67005e+06 12.4334 0.225627 -6.87443e+06 3.7967e+08 -1010.82 -18.3432 0 0 0 0 3.80121e+28
6900 85800.8 -4.67003e+06 12.4333 0.228944 -6.97551e+06 3.79668e+08 -1010.82 -18.6129 0 0 0 0 3.80121e+28
