# t  xE  yE  xM  yM  xA  yA
0  4.67082e+06  0  -3.79732e+08  0  0  0
0  4.67082e+06  0  -3.79732e+08  0  0  0
0.01  4.67082e+06  0  -3.79732e+08  0  0  0
0.02  4.67082e+06  0  -3.79732e+08  0  0  0
0.03  4.67082e+06  0  -3.79732e+08  0  0  0
0.04  4.67082e+06  0  -3.79732e+08  0  0  0
0.05  4.67082e+06  0  -3.79732e+08  0  0  0
0.06  4.67082e+06  0  -3.79732e+08  0  0  0
0.07  4.67082e+06  0  -3.79732e+08  0  0  0
0.08  4.67082e+06  0  -3.79732e+08  0  0  0
0.09  4.67082e+06  0  -3.79732e+08  0  0  0
0.1  4.67082e+06  0  -3.79732e+08  0  0  0
0.11  4.67082e+06  0  -3.79732e+08  0  0  0
0.12  4.67082e+06  0  -3.79732e+08  0  0  0
0.13  4.67082e+06  0  -3.79732e+08  0  0  0
0.14  4.67082e+06  0  -3.79732e+08  0  0  0
0.15  4.67082e+06  0  -3.79732e+08  0  0  0
0.16  4.67082e+06  0  -3.79732e+08  0  0  0
0.17  4.67082e+06  0  -3.79732e+08  0  0  0
0.18  4.67082e+06  0  -3.79732e+08  0  0  0
0.19  4.67082e+06  0  -3.79732e+08  0  0  0
0.2  4.67082e+06  0  -3.79732e+08  0  0  0
0.21  4.67082e+06  0  -3.79732e+08  0  0  0
0.22  4.67082e+06  0  -3.79732e+08  0  0  0
0.23  4.67082e+06  0  -3.79732e+08  0  0  0
0.24  4.67082e+06  0  -3.79732e+08  0  0  0
0.25  4.67082e+06  0  -3.79732e+08  0  0  0
0.26  4.67082e+06  0  -3.79732e+08  0  0  0
0.27  4.67082e+06  0  -3.79732e+08  0  0  0
0.28  4.67082e+06  0  -3.79732e+08  0  0  0
0.29  4.67082e+06  0  -3.79732e+08  0  0  0
0.3  4.67082e+06  0  -3.79732e+08  0  0  0
0.31  4.67082e+06  0  -3.79732e+08  0  0  0
0.32  4.67082e+06  0  -3.79732e+08  0  0  0
0.33  4.67082e+06  0  -3.79732e+08  0  0  0
0.34  4.67082e+06  0  -3.79732e+08  0  0  0
0.35  4.67082e+06  0  -3.79732e+08  0  0  0
0.36  4.67082e+06  0  -3.79732e+08  0  0  0
0.37  4.67082e+06  0  -3.79732e+08  0  0  0
0.38  4.67082e+06  0  -3.79732e+08  0  0  0
0.39  4.67082e+06  0  -3.79732e+08  0  0  0
0.4  4.67082e+06  0  -3.79732e+08  0  0  0
0.41  4.67082e+06  0  -3.79732e+08  0  0  0
0.42  4.67082e+06  0  -3.79732e+08  0  0  0
0.43  4.67082e+06  0  -3.79732e+08  0  0  0
0.44  4.67082e+06  0  -3.79732e+08  0  0  0
0.45  4.67082e+06  0  -3.79732e+08  0  0  0
0.46  4.67082e+06  0  -3.79732e+08  0  0  0
0.47  4.67082e+06  0  -3.79732e+08  0  0  0
0.48  4.67082e+06  0  -3.79732e+08  0  0  0
0.49  4.67082e+06  0  -3.79732e+08  0  0  0
0.5  4.67082e+06  0  -3.79732e+08  0  0  0
0.51  4.67082e+06  0  -3.79732e+08  0  0  0
0.52  4.67082e+06  0  -3.79732e+08  0  0  0
0.53  4.67082e+06  0  -3.79732e+08  0  0  0
0.54  4.67082e+06  0  -3.79732e+08  0  0  0
0.55  4.67082e+06  0  -3.79732e+08  0  0  0
0.56  4.67082e+06  0  -3.79732e+08  0  0  0
0.57  4.67082e+06  0  -3.79732e+08  0  0  0
0.58  4.67082e+06  0  -3.79732e+08  0  0  0
0.59  4.67082e+06  0  -3.79732e+08  0  0  0
0.6  4.67082e+06  0  -3.79732e+08  0  0  0
0.61  4.67082e+06  0  -3.79732e+08  0  0  0
0.62  4.67082e+06  0  -3.79732e+08  0  0  0
0.63  4.67082e+06  0  -3.79732e+08  0  0  0
0.64  4.67082e+06  0  -3.79732e+08  0  0  0
0.65  4.67082e+06  0  -3.79732e+08  0  0  0
0.66  4.67082e+06  0  -3.79732e+08  0  0  0
0.67  4.67082e+06  0  -3.79732e+08  0  0  0
0.68  4.67082e+06  0  -3.79732e+08  0  0  0
0.69  4.67082e+06  0  -3.79732e+08  0  0  0
0.7  4.67082e+06  0  -3.79732e+08  0  0  0
0.71  4.67082e+06  0  -3.79732e+08  0  0  0
0.72  4.67082e+06  0  -3.79732e+08  0  0  0
0.73  4.67082e+06  0  -3.79732e+08  0  0  0
0.74  4.67082e+06  0  -3.79732e+08  0  0  0
0.75  4.67082e+06  0  -3.79732e+08  0  0  0
0.76  4.67082e+06  0  -3.79732e+08  0  0  0
0.77  4.67082e+06  0  -3.79732e+08  0  0  0
0.78  4.67082e+06  0  -3.79732e+08  0  0  0
0.79  4.67082e+06  0  -3.79732e+08  0  0  0
0.8  4.67082e+06  0  -3.79732e+08  0  0  0
0.81  4.67082e+06  0  -3.79732e+08  0  0  0
0.82  4.67082e+06  0  -3.79732e+08  0  0  0
0.83  4.67082e+06  0  -3.79732e+08  0  0  0
0.84  4.67082e+06  0  -3.79732e+08  0  0  0
0.85  4.67082e+06  0  -3.79732e+08  0  0  0
0.86  4.67082e+06  0  -3.79732e+08  0  0  0
0.87  4.67082e+06  0  -3.79732e+08  0  0  0
