i	t	sum
0	-6	3.97408e-30
1	-5.99988	7.0065e-30
2	-5.99976	9.19299e-30
3	-5.99964	1.06498e-29
4	-5.99952	1.15116e-29
5	-5.9994	1.19283e-29
6	-5.99928	1.20626e-29
7	-5.99916	1.20864e-29
8	-5.99904	1.21771e-29
9	-5.99892	1.25143e-29
10	-5.9988	1.3276e-29
11	-5.99868	1.46348e-29
12	-5.99856	1.67543e-29
13	-5.99844	1.97858e-29
14	-5.99832	2.38651e-29
15	-5.9982	2.91096e-29
16	-5.99808	3.56157e-29
17	-5.99796	4.34568e-29
18	-5.99784	5.26819e-29
19	-5.99772	6.33138e-29
20	-5.9976	7.53492e-29
21	-5.99748	8.87579e-29
22	-5.99736	1.03484e-28
23	-5.99724	1.19446e-28
24	-5.99712	1.36539e-28
25	-5.997	1.54635e-28
26	-5.99688	1.73589e-28
27	-5.99676	1.93237e-28
28	-5.99664	2.13401e-28
29	-5.99652	2.33896e-28
30	-5.9964	2.54526e-28
31	-5.99628	2.75094e-28
32	-5.99616	2.95405e-28
33	-5.99604	3.15264e-28
34	-5.99592	3.34489e-28
35	-5.9958	3.52908e-28
36	-5.99568	3.70362e-28
37	-5.99556	3.86714e-28
38	-5.99544	4.01844e-28
39	-5.99532	4.15658e-28
40	-5.9952	4.28086e-28
41	-5.99508	4.39085e-28
42	-5.99496	4.48639e-28
43	-5.99484	4.56762e-28
44	-5.99472	4.63494e-28
45	-5.9946	4.68904e-28
46	-5.99448	4.73087e-28
47	-5.99436	4.76162e-28
48	-5.99424	4.78273e-28
49	-5.99412	4.79583e-28
50	-5.994	4.80275e-28
51	-5.99388	4.80544e-28
52	-5.99376	4.80598e-28
53	-5.99364	4.80653e-28
54	-5.99352	4.80928e-28
55	-5.9934	4.81643e-28
56	-5.99328	4.83015e-28
57	-5.99316	4.85251e-28
58	-5.99304	4.8855e-28
59	-5.99292	4.93095e-28
60	-5.9928	4.99052e-28
61	-5.99268	5.06565e-28
62	-5.99256	5.15756e-28
63	-5.99244	5.26721e-28
64	-5.99232	5.39528e-28
65	-5.9922	5.54218e-28
66	-5.99208	5.70803e-28
67	-5.99196	5.89261e-28
68	-5.99184	6.09546e-28
69	-5.99172	6.31578e-28
70	-5.9916	6.55253e-28
71	-5.99148	6.80439e-28
72	-5.99136	7.0698e-28
73	-5.99124	7.34696e-28
74	-5.99112	7.63392e-28
75	-5.991	7.92853e-28
76	-5.99088	8.22855e-28
77	-5.99076	8.53162e-28
78	-5.99064	8.83534e-28
79	-5.99052	9.13729e-28
80	-5.9904	9.43508e-28
81	-5.99028	9.72637e-28
82	-5.99016	1.00089e-27
83	-5.99004	1.02807e-27
84	-5.98992	1.05397e-27
85	-5.9898	1.07842e-27
86	-5.98968	1.10127e-27
87	-5.98956	1.12239e-27
88	-5.98944	1.1417e-27
89	-5.98932	1.15911e-27
90	-5.9892	1.17459e-27
91	-5.98908	1.18814e-27
92	-5.98896	1.19978e-27
93	-5.98884	1.20956e-27
94	-5.98872	1.21757e-27
95	-5.9886	1.22392e-27
96	-5.98848	1.22876e-27
97	-5.98836	1.23226e-27
98	-5.98824	1.2346e-27
99	-5.98812	1.23601e-27
