0 0.0 0.0
1 0.35252 -0.136769 -0.925756
2 0.924892 -0.385089 -0.144265
3 0.985524 -0.665386 -1.10226
4 0.819483 0.206685 -0.641912
5 -0.169534 0.348461 -0.683693
6 -0.329996 0.0916375 -1.63674
7 -0.049007 -0.832604 -1.37824
8 -0.402327 -1.08789 -2.27823
9 -1.24021 -1.50092 -1.92136
10 -0.746941 -0.888595 -1.30351
11 -0.29656 -0.810909 -0.414057
12 -0.0746397 -1.39556 0.366285
13 -0.394001 -0.491476 0.0823137
14 -0.752472 0.0144967 0.866845
15 -0.713668 0.759027 0.200386
16 -0.711958 1.02653 1.16394
17 -0.939758 1.84796 1.68678
18 -0.930069 1.79722 0.688113
19 -0.580633 2.60398 0.211632
20 -0.408613 3.00178 1.11284
21 -1.09964 2.34671 1.4184
22 -1.01125 3.29079 1.73606
23 -1.2448 4.11313 1.21721
24 -1.99011 4.59694 1.67595
25 -1.57434 5.49875 1.55816
26 -0.896225 4.82377 1.26737
27 -1.14551 4.79779 0.29929
28 -0.506183 4.06556 0.0645624
29 -0.3462 3.46052 0.84452
30 -0.134349 3.12996 1.76422
31 -0.674991 3.94155 1.54277
32 0.106718 3.43103 1.90097
33 -0.273781 2.80371 2.58045
34 -0.859539 3.09936 1.82581
35 -0.224044 3.04207 2.59579
36 -0.241447 2.80409 3.5669
37 -0.415108 2.88051 4.54874
38 0.0525405 3.45655 3.8783
39 0.279956 4.42922 3.83142
40 -0.634491 4.45014 4.23558
41 -0.48725 3.93976 3.38834
42 -0.0866161 3.16049 3.87025
43 -0.0336383 2.27289 4.3278
44 -1.03226 2.32155 4.34742
45 -0.227111 1.8564 4.71535
46 -0.548354 2.48987 4.01141
47 -1.07492 3.33912 4.04999
48 -0.360994 3.51226 3.37151
49 -0.578918 4.47422 3.53629
50 -0.197152 5.30113 3.94916
51 -0.348118 6.20154 3.54114
52 -1.12821 6.79662 3.34791
53 -1.20074 7.74777 3.64801
54 -0.969441 8.2385 2.80795
55 -1.78278 8.41477 3.3624
56 -2.31402 8.64353 4.17815
57 -2.76642 7.77007 3.9981
58 -3.53576 7.36783 4.49439
59 -3.14966 6.88159 3.7105
60 -3.56453 6.09934 4.17523
