# Dim 	Nmax 	Vsphere	FracErr
2	10	2.8	0.108732319
2	30	3.2	0.0185916358
2	100	3.36	0.0695212176
2	300	3.12	0.00687315511
2	1000	3.112	0.0094196342
2	3000	3.18533333	0.0139230908
2	10000	3.1248	0.00534526765
2	30000	3.1424	0.000256986344
2	100000	3.14436	0.000880873721
2	300000	3.139	0.000825267269
2	1000000	3.14058	0.000322337649


3	10	2.4	0.427042205
3	30	3.73333333	0.108732319
3	100	3.36	0.197859087
3	300	4.16	0.00687315511
3	1000	4.208	0.0045860008
3	3000	4.096	0.0221520296
3	10000	4.1528	0.00859202849
3	30000	4.14106667	0.0113931555
3	100000	4.1868	0.000475126394
3	300000	4.19458667	0.00138380334
3	1000000	4.192872	0.000974456827


