# time  xtii  vtii  xtrue  vtrue  Etii  dE/T  t/T
0  1  0  1  0  0.5  0  0
0  1  -0.009  1  0  0.50004  1.2892e-05  0
0.009  0.99992  -0.018  0.99996  -0.0089999  0.50008  2.5784e-05  0.0014324
0.018  0.99976  -0.026999  0.99984  -0.017999  0.50012  3.8678e-05  0.0028648
0.027  0.99951  -0.035997  0.99964  -0.026997  0.50016  5.1572e-05  0.0042972
0.036  0.99919  -0.044993  0.99935  -0.035992  0.5002  6.4468e-05  0.0057296
0.045  0.99879  -0.053985  0.99899  -0.044985  0.50024  7.7365e-05  0.007162
0.054  0.9983  -0.062974  0.99854  -0.053974  0.50028  9.0263e-05  0.0085944
0.063  0.99773  -0.071959  0.99802  -0.062958  0.50032  0.00010316  0.010027
0.072  0.99708  -0.080939  0.99741  -0.071938  0.50036  0.00011606  0.011459
0.081  0.99636  -0.089913  0.99672  -0.080911  0.50041  0.00012896  0.012892
0.09  0.99555  -0.09888  0.99595  -0.089879  0.50045  0.00014186  0.014324
0.099  0.99466  -0.10784  0.9951  -0.098838  0.50049  0.00015477  0.015756
0.108  0.99369  -0.11679  0.99417  -0.10779  0.50053  0.00016767  0.017189
0.117  0.99264  -0.12573  0.99316  -0.11673  0.50057  0.00018058  0.018621
0.126  0.9915  -0.13467  0.99207  -0.12567  0.50061  0.00019348  0.020054
0.135  0.99029  -0.14359  0.9909  -0.13459  0.50065  0.00020639  0.021486
0.144  0.989  -0.1525  0.98965  -0.1435  0.50069  0.0002193  0.022918
0.153  0.98763  -0.16141  0.98832  -0.1524  0.50073  0.00023221  0.024351
0.162  0.98617  -0.17029  0.98691  -0.16129  0.50077  0.00024512  0.025783
0.171  0.98464  -0.17917  0.98542  -0.17017  0.50081  0.00025803  0.027215
0.18  0.98303  -0.18803  0.98384  -0.17903  0.50085  0.00027094  0.028648
0.189  0.98134  -0.19688  0.98219  -0.18788  0.50089  0.00028386  0.03008
0.198  0.97957  -0.20571  0.98046  -0.19671  0.50093  0.00029677  0.031513
0.207  0.97771  -0.21453  0.97865  -0.20552  0.50097  0.00030969  0.032945
0.216  0.97578  -0.22333  0.97676  -0.21432  0.50101  0.0003226  0.034377
0.225  0.97377  -0.23211  0.97479  -0.22311  0.50105  0.00033552  0.03581
0.234  0.97168  -0.24087  0.97275  -0.23187  0.50109  0.00034844  0.037242
0.243  0.96952  -0.24962  0.97062  -0.24062  0.50114  0.00036136  0.038675
0.252  0.96727  -0.25834  0.96842  -0.24934  0.50118  0.00037428  0.040107
0.261  0.96494  -0.26705  0.96613  -0.25805  0.50122  0.0003872  0.041539
0.27  0.96254  -0.27573  0.96377  -0.26673  0.50126  0.00040012  0.042972
0.279  0.96006  -0.2844  0.96133  -0.27539  0.5013  0.00041305  0.044404
0.288  0.9575  -0.29304  0.95881  -0.28404  0.50134  0.00042597  0.045837
0.297  0.95486  -0.30165  0.95622  -0.29265  0.50138  0.0004389  0.047269
0.306  0.95215  -0.31025  0.95355  -0.30125  0.50142  0.00045183  0.048701
0.315  0.94936  -0.31882  0.9508  -0.30982  0.50146  0.00046475  0.050134
0.324  0.94649  -0.32736  0.94797  -0.31836  0.5015  0.00047768  0.051566
0.333  0.94354  -0.33588  0.94507  -0.32688  0.50154  0.00049061  0.052999
0.342  0.94052  -0.34437  0.94209  -0.33537  0.50158  0.00050355  0.054431
0.351  0.93742  -0.35284  0.93903  -0.34384  0.50162  0.00051648  0.055863
0.36  0.93424  -0.36127  0.9359  -0.35227  0.50166  0.00052941  0.057296
0.369  0.93099  -0.36968  0.93269  -0.36068  0.5017  0.00054235  0.058728
0.378  0.92766  -0.37806  0.9294  -0.36906  0.50174  0.00055528  0.060161
0.387  0.92426  -0.38641  0.92605  -0.37741  0.50179  0.00056822  0.061593
0.396  0.92078  -0.39473  0.92261  -0.38573  0.50183  0.00058115  0.063025
0.405  0.91723  -0.40301  0.9191  -0.39402  0.50187  0.00059409  0.064458
0.414  0.9136  -0.41127  0.91552  -0.40227  0.50191  0.00060703  0.06589
0.423  0.9099  -0.41949  0.91186  -0.4105  0.50195  0.00061997  0.067323
0.432  0.90613  -0.42768  0.90813  -0.41869  0.50199  0.00063292  0.068755
0.441  0.90228  -0.43584  0.90433  -0.42684  0.50203  0.00064586  0.070187
0.45  0.89836  -0.44396  0.90045  -0.43497  0.50207  0.0006588  0.07162
0.459  0.89436  -0.45204  0.8965  -0.44305  0.50211  0.00067175  0.073052
0.468  0.89029  -0.46009  0.89247  -0.4511  0.50215  0.00068469  0.074485
0.477  0.88615  -0.4681  0.88838  -0.45912  0.50219  0.00069764  0.075917
0.486  0.88194  -0.47608  0.88421  -0.46709  0.50223  0.00071059  0.077349
0.495  0.87765  -0.48402  0.87997  -0.47503  0.50227  0.00072354  0.078782
0.504  0.8733  -0.49192  0.87566  -0.48293  0.50231  0.00073649  0.080214
0.513  0.86887  -0.49978  0.87128  -0.49079  0.50235  0.00074944  0.081646
0.522  0.86437  -0.50759  0.86682  -0.49861  0.5024  0.00076239  0.083079
0.531  0.8598  -0.51537  0.8623  -0.5064  0.50244  0.00077534  0.084511
0.54  0.85516  -0.52311  0.85771  -0.51414  0.50248  0.0007883  0.085944
