# time  xtii  vtii  xtrue  vtrue  Etii  dE/T  t/T
0  2.9  0  2.9  0  19.335  0  0
0  2.9  -0.002347  2.9  0  19.335  7.101e-08  0
0.001  2.9  -0.0046941  2.9  -0.00981  19.335  1.4202e-07  0.00049849
0.002  2.9  -0.0070411  2.8999  -0.01962  19.335  2.1303e-07  0.00099698
0.003  2.9  -0.0093882  2.8999  -0.02943  19.335  2.8403e-07  0.0014955
0.004  2.9  -0.011735  2.8998  -0.039239  19.335  3.5504e-07  0.001994
0.005  2.9  -0.014083  2.8996  -0.049048  19.335  4.2605e-07  0.0024924
0.006  2.9  -0.01643  2.8995  -0.058857  19.335  4.9705e-07  0.0029909
0.007  2.8999  -0.018778  2.8993  -0.068664  19.335  5.6806e-07  0.0034894
0.008  2.8999  -0.021125  2.8991  -0.078472  19.335  6.3906e-07  0.0039879
0.009  2.8999  -0.023473  2.8988  -0.088278  19.335  7.1007e-07  0.0044864
0.01  2.8999  -0.025821  2.8986  -0.098084  19.335  7.8107e-07  0.0049849
0.011  2.8998  -0.028169  2.8983  -0.10789  19.335  8.5207e-07  0.0054834
0.012  2.8998  -0.030518  2.898  -0.11769  19.335  9.2307e-07  0.0059819
0.013  2.8998  -0.032867  2.8976  -0.12749  19.335  9.9407e-07  0.0064803
0.014  2.8998  -0.035216  2.8972  -0.1373  19.335  1.0651e-06  0.0069788
0.015  2.8997  -0.037565  2.8968  -0.1471  19.335  1.1361e-06  0.0074773
0.016  2.8997  -0.039915  2.8964  -0.15689  19.335  1.2071e-06  0.0079758
0.017  2.8996  -0.042265  2.8959  -0.16669  19.335  1.2781e-06  0.0084743
0.018  2.8996  -0.044615  2.8954  -0.17649  19.335  1.3491e-06  0.0089728
0.019  2.8996  -0.046966  2.8949  -0.18628  19.335  1.4201e-06  0.0094713
0.02  2.8995  -0.049317  2.8943  -0.19607  19.335  1.4911e-06  0.0099698
0.021  2.8995  -0.051669  2.8937  -0.20586  19.335  1.5621e-06  0.010468
0.022  2.8994  -0.054021  2.8931  -0.21565  19.335  1.6331e-06  0.010967
0.023  2.8994  -0.056374  2.8925  -0.22543  19.335  1.704e-06  0.011465
0.024  2.8993  -0.058727  2.8918  -0.23522  19.335  1.775e-06  0.011964
0.025  2.8992  -0.061081  2.8911  -0.245  19.335  1.846e-06  0.012462
0.026  2.8992  -0.063435  2.8904  -0.25478  19.335  1.917e-06  0.012961
0.027  2.8991  -0.06579  2.8896  -0.26455  19.335  1.988e-06  0.013459
0.028  2.899  -0.068146  2.8889  -0.27433  19.335  2.059e-06  0.013958
0.029  2.899  -0.070502  2.888  -0.2841  19.335  2.13e-06  0.014456
0.03  2.8989  -0.072859  2.8872  -0.29387  19.335  2.201e-06  0.014955
0.031  2.8988  -0.075216  2.8863  -0.30363  19.335  2.272e-06  0.015453
0.032  2.8988  -0.077574  2.8854  -0.31339  19.335  2.343e-06  0.015952
0.033  2.8987  -0.079933  2.8845  -0.32315  19.335  2.414e-06  0.01645
0.034  2.8986  -0.082293  2.8836  -0.33291  19.335  2.4849e-06  0.016949
