# time  xt  vt  xtrue  vtrue  Et  dE/T  t/T
0  2.9  0  2.9  0  19.335  0  0
0  2.9  -0.002347  2.9  0  19.335  1.6917e-13  0
0.001  2.9  -0.0046941  2.9  -0.00981  19.335  3.3817e-13  0.00049849
0.002  2.9  -0.0070412  2.8999  -0.01962  19.335  5.0725e-13  0.00099698
0.003  2.9  -0.0093884  2.8999  -0.02943  19.335  6.7642e-13  0.0014955
0.004  2.9  -0.011736  2.8998  -0.039239  19.335  8.4542e-13  0.001994
0.005  2.9  -0.014083  2.8996  -0.049048  19.335  1.0146e-12  0.0024924
0.006  2.8999  -0.016431  2.8995  -0.058857  19.335  1.1836e-12  0.0029909
0.007  2.8999  -0.018778  2.8993  -0.068664  19.335  1.3528e-12  0.0034894
0.008  2.8999  -0.021126  2.8991  -0.078472  19.335  1.5217e-12  0.0039879
0.009  2.8999  -0.023474  2.8988  -0.088278  19.335  1.6907e-12  0.0044864
0.01  2.8999  -0.025822  2.8986  -0.098084  19.335  1.8599e-12  0.0049849
0.011  2.8998  -0.028171  2.8983  -0.10789  19.335  2.0289e-12  0.0054834
0.012  2.8998  -0.03052  2.898  -0.11769  19.335  2.1979e-12  0.0059819
0.013  2.8998  -0.032869  2.8976  -0.12749  19.335  2.3669e-12  0.0064803
0.014  2.8997  -0.035218  2.8972  -0.1373  19.335  2.5359e-12  0.0069788
0.015  2.8997  -0.037568  2.8968  -0.1471  19.335  2.7049e-12  0.0074773
0.016  2.8997  -0.039918  2.8964  -0.15689  19.335  2.8738e-12  0.0079758
0.017  2.8996  -0.042268  2.8959  -0.16669  19.335  3.0426e-12  0.0084743
0.018  2.8996  -0.044619  2.8954  -0.17649  19.335  3.2115e-12  0.0089728
0.019  2.8995  -0.04697  2.8949  -0.18628  19.335  3.3802e-12  0.0094713
0.02  2.8995  -0.049322  2.8943  -0.19607  19.335  3.549e-12  0.0099698
0.021  2.8994  -0.051674  2.8937  -0.20586  19.335  3.7177e-12  0.010468
0.022  2.8994  -0.054027  2.8931  -0.21565  19.335  3.8864e-12  0.010967
0.023  2.8993  -0.05638  2.8925  -0.22543  19.335  4.0551e-12  0.011465
0.024  2.8993  -0.058734  2.8918  -0.23522  19.335  4.2237e-12  0.011964
0.025  2.8992  -0.061088  2.8911  -0.245  19.335  4.392e-12  0.012462
0.026  2.8991  -0.063443  2.8904  -0.25478  19.335  4.5605e-12  0.012961
0.027  2.8991  -0.065799  2.8896  -0.26455  19.335  4.7288e-12  0.013459
0.028  2.899  -0.068155  2.8889  -0.27433  19.335  4.8971e-12  0.013958
0.029  2.8989  -0.070512  2.888  -0.2841  19.335  5.0653e-12  0.014456
0.03  2.8989  -0.072869  2.8872  -0.29387  19.335  5.2333e-12  0.014955
0.031  2.8988  -0.075227  2.8863  -0.30363  19.335  5.4013e-12  0.015453
0.032  2.8987  -0.077586  2.8854  -0.31339  19.335  5.5691e-12  0.015952
0.033  2.8986  -0.079946  2.8845  -0.32315  19.335  5.7369e-12  0.01645
0.034  2.8986  -0.082306  2.8836  -0.33291  19.335  5.9045e-12  0.016949
0.035  2.8985  -0.084667  2.8826  -0.34266  19.335  6.072e-12  0.017447
0.036  2.8984  -0.087029  2.8816  -0.35241  19.335  6.2395e-12  0.017946
0.037  2.8983  -0.089392  2.8805  -0.36216  19.335  6.4067e-12  0.018444
0.038  2.8982  -0.091755  2.8795  -0.3719  19.335  6.5736e-12  0.018943
