# time  thetat  wt  thetasmall  wsmall  Et  dE/T  t/T
0  2.9  0  2.9  0  19.335  0  0
0  2.9  -0.002347  2.9  0  19.335  0  0
0.001  2.9  -0.004694  2.9  -0.028449  19.335  0  0.00049849
0.002  2.9  -0.0070411  2.8999  -0.056898  19.335  0  0.00099698
0.003  2.9  -0.0093882  2.8999  -0.085346  19.335  9.1594e-17  0.0014955
0.004  2.9  -0.011735  2.8998  -0.11379  19.335  0  0.001994
0.005  2.9  -0.014083  2.8996  -0.14224  19.335  0  0.0024924
0.006  2.8999  -0.01643  2.8995  -0.17068  19.335  0  0.0029909
0.007  2.8999  -0.018778  2.8993  -0.19913  19.335  0  0.0034894
0.008  2.8999  -0.021126  2.8991  -0.22757  19.335  0  0.0039879
0.009  2.8999  -0.023474  2.8989  -0.25601  19.335  0  0.0044864
0.01  2.8999  -0.025822  2.8986  -0.28444  19.335  0  0.0049849
0.011  2.8998  -0.02817  2.8983  -0.31288  19.335  0  0.0054834
0.012  2.8998  -0.030519  2.898  -0.34131  19.335  0  0.0059819
0.013  2.8998  -0.032868  2.8976  -0.36974  19.335  0  0.0064803
0.014  2.8997  -0.035218  2.8972  -0.39816  19.335  9.1594e-17  0.0069788
0.015  2.8997  -0.037567  2.8968  -0.42658  19.335  0  0.0074773
0.016  2.8997  -0.039917  2.8964  -0.45499  19.335  0  0.0079758
0.017  2.8996  -0.042268  2.8959  -0.48341  19.335  0  0.0084743
0.018  2.8996  -0.044618  2.8954  -0.51181  19.335  0  0.0089728
0.019  2.8995  -0.04697  2.8949  -0.54021  19.335  0  0.0094713
0.02  2.8995  -0.049321  2.8943  -0.56861  19.335  0  0.0099698
0.021  2.8994  -0.051674  2.8937  -0.597  19.335  0  0.010468
0.022  2.8994  -0.054026  2.8931  -0.62538  19.335  0  0.010967
0.023  2.8993  -0.056379  2.8925  -0.65376  19.335  0  0.011465
0.024  2.8993  -0.058733  2.8918  -0.68213  19.335  0  0.011964
0.025  2.8992  -0.061087  2.8911  -0.7105  19.335  9.1594e-17  0.012462
0.026  2.8991  -0.063442  2.8904  -0.73886  19.335  0  0.012961
0.027  2.8991  -0.065798  2.8896  -0.76721  19.335  0  0.013459
0.028  2.899  -0.068154  2.8889  -0.79555  19.335  0  0.013958
0.029  2.8989  -0.070511  2.888  -0.82389  19.335  0  0.014456
0.03  2.8989  -0.072868  2.8872  -0.85222  19.335  0  0.014955
0.031  2.8988  -0.075226  2.8863  -0.88054  19.335  9.1594e-17  0.015453
0.032  2.8987  -0.077585  2.8855  -0.90885  19.335  0  0.015952
0.033  2.8986  -0.079944  2.8845  -0.93715  19.335  0  0.01645
0.034  2.8986  -0.082305  2.8836  -0.96544  19.335  0  0.016949
0.035  2.8985  -0.084666  2.8826  -0.99372  19.335  9.1594e-17  0.017447
0.036  2.8984  -0.087028  2.8816  -1.022  19.335  9.1594e-17  0.017946
0.037  2.8983  -0.08939  2.8806  -1.0503  19.335  0  0.018444
0.038  2.8982  -0.091754  2.8795  -1.0785  19.335  0  0.018943
0.039  2.8981  -0.094118  2.8784  -1.1068  19.335  0  0.019441
0.04  2.898  -0.096484  2.8773  -1.135  19.335  0  0.01994
0.041  2.8979  -0.09885  2.8761  -1.1632  19.335  0  0.020438
0.042  2.8978  -0.10122  2.8749  -1.1914  19.335  0  0.020936
0.043  2.8977  -0.10359  2.8737  -1.2196  19.335  0  0.021435
0.044  2.8976  -0.10595  2.8725  -1.2478  19.335  9.1594e-17  0.021933
0.045  2.8975  -0.10832  2.8712  -1.276  19.335  0  0.022432
0.046  2.8974  -0.1107  2.87  -1.3041  19.335  9.1594e-17  0.02293
0.047  2.8973  -0.11307  2.8686  -1.3323  19.335  9.1594e-17  0.023429
0.048  2.8972  -0.11544  2.8673  -1.3604  19.335  9.1594e-17  0.023927
0.049  2.8971  -0.11782  2.8659  -1.3885  19.335  0  0.024426
0.05  2.8969  -0.12019  2.8645  -1.4166  19.335  9.1594e-17  0.024924
0.051  2.8968  -0.12257  2.8631  -1.4447  19.335  9.1594e-17  0.025423
0.052  2.8967  -0.12495  2.8616  -1.4728  19.335  0  0.025921
0.053  2.8966  -0.12733  2.8601  -1.5009  19.335  9.1594e-17  0.02642
0.054  2.8964  -0.12971  2.8586  -1.5289  19.335  0  0.026918
0.055  2.8963  -0.13209  2.8571  -1.557  19.335  9.1594e-17  0.027417
0.056  2.8962  -0.13447  2.8555  -1.585  19.335  9.1594e-17  0.027915
0.057  2.896  -0.13685  2.8539  -1.613  19.335  0  0.028414
0.058  2.8959  -0.13924  2.8523  -1.641  19.335  9.1594e-17  0.028912
0.059  2.8958  -0.14163  2.8506  -1.669  19.335  0  0.029411
0.06  2.8956  -0.14401  2.8489  -1.6969  19.335  9.1594e-17  0.029909
0.061  2.8955  -0.1464  2.8472  -1.7249  19.335  9.1594e-17  0.030408
0.062  2.8953  -0.14879  2.8455  -1.7528  19.335  9.1594e-17  0.030906
0.063  2.8952  -0.15119  2.8437  -1.7807  19.335  9.1594e-17  0.031405
0.064  2.895  -0.15358  2.8419  -1.8086  19.335  9.1594e-17  0.031903
0.065  2.8949  -0.15597  2.8401  -1.8364  19.335  9.1594e-17  0.032402
0.066  2.8947  -0.15837  2.8383  -1.8643  19.335  9.1594e-17  0.0329
0.067  2.8946  -0.16077  2.8364  -1.8921  19.335  9.1594e-17  0.033399
0.068  2.8944  -0.16317  2.8345  -1.9199  19.335  1.8319e-16  0.033897
0.069  2.8942  -0.16557  2.8325  -1.9477  19.335  9.1594e-17  0.034396
0.07  2.8941  -0.16797  2.8306  -1.9755  19.335  0  0.034894
0.071  2.8939  -0.17038  2.8286  -2.0033  19.335  0  0.035393
0.072  2.8937  -0.17278  2.8266  -2.031  19.335  9.1594e-17  0.035891
0.073  2.8936  -0.17519  2.8245  -2.0587  19.335  9.1594e-17  0.03639
0.074  2.8934  -0.1776  2.8225  -2.0864  19.335  9.1594e-17  0.036888
0.075  2.8932  -0.18001  2.8204  -2.1141  19.335  0  0.037387
0.076  2.893  -0.18242  2.8182  -2.1418  19.335  0  0.037885
0.077  2.8928  -0.18484  2.8161  -2.1694  19.335  0  0.038384
0.078  2.8926  -0.18725  2.8139  -2.197  19.335  9.1594e-17  0.038882
0.079  2.8925  -0.18967  2.8117  -2.2246  19.335  0  0.039381
0.08  2.8923  -0.19209  2.8094  -2.2522  19.335  9.1594e-17  0.039879
0.081  2.8921  -0.19451  2.8072  -2.2797  19.335  9.1594e-17  0.040378
0.082  2.8919  -0.19694  2.8049  -2.3073  19.335  9.1594e-17  0.040876
0.083  2.8917  -0.19936  2.8026  -2.3348  19.335  9.1594e-17  0.041374
0.084  2.8915  -0.20179  2.8002  -2.3622  19.335  9.1594e-17  0.041873
0.085  2.8913  -0.20422  2.7978  -2.3897  19.335  9.1594e-17  0.042371
0.086  2.8911  -0.20665  2.7954  -2.4171  19.335  1.8319e-16  0.04287
0.087  2.8909  -0.20908  2.793  -2.4446  19.335  1.8319e-16  0.043368
0.088  2.8907  -0.21152  2.7905  -2.4719  19.335  1.8319e-16  0.043867
0.089  2.8904  -0.21395  2.7881  -2.4993  19.335  1.8319e-16  0.044365
0.09  2.8902  -0.21639  2.7855  -2.5266  19.335  9.1594e-17  0.044864
0.091  2.89  -0.21883  2.783  -2.554  19.335  9.1594e-17  0.045362
0.092  2.8898  -0.22128  2.7804  -2.5812  19.335  9.1594e-17  0.045861
0.093  2.8896  -0.22372  2.7778  -2.6085  19.335  9.1594e-17  0.046359
0.094  2.8893  -0.22617  2.7752  -2.6357  19.335  0  0.046858
0.095  2.8891  -0.22862  2.7726  -2.663  19.335  9.1594e-17  0.047356
0.096  2.8889  -0.23107  2.7699  -2.6901  19.335  9.1594e-17  0.047855
0.097  2.8886  -0.23353  2.7672  -2.7173  19.335  9.1594e-17  0.048353
0.098  2.8884  -0.23598  2.7645  -2.7444  19.335  9.1594e-17  0.048852
0.099  2.8882  -0.23844  2.7617  -2.7715  19.335  9.1594e-17  0.04935
0.1  2.8879  -0.2409  2.7589  -2.7986  19.335  0  0.049849
0.101  2.8877  -0.24336  2.7561  -2.8257  19.335  1.8319e-16  0.050347
0.102  2.8874  -0.24583  2.7533  -2.8527  19.335  9.1594e-17  0.050846
0.103  2.8872  -0.2483  2.7504  -2.8797  19.335  9.1594e-17  0.051344
0.104  2.887  -0.25077  2.7475  -2.9067  19.335  9.1594e-17  0.051843
0.105  2.8867  -0.25324  2.7446  -2.9336  19.335  1.8319e-16  0.052341
0.106  2.8864  -0.25571  2.7416  -2.9605  19.335  9.1594e-17  0.05284
0.107  2.8862  -0.25819  2.7387  -2.9874  19.335  9.1594e-17  0.053338
0.108  2.8859  -0.26067  2.7357  -3.0142  19.335  9.1594e-17  0.053837
0.109  2.8857  -0.26315  2.7326  -3.0411  19.335  9.1594e-17  0.054335
0.11  2.8854  -0.26564  2.7296  -3.0679  19.335  9.1594e-17  0.054834
0.111  2.8851  -0.26812  2.7265  -3.0946  19.335  9.1594e-17  0.055332
0.112  2.8849  -0.27061  2.7234  -3.1213  19.335  0  0.055831
0.113  2.8846  -0.27311  2.7203  -3.148  19.335  9.1594e-17  0.056329
0.114  2.8843  -0.2756  2.7171  -3.1747  19.335  9.1594e-17  0.056828
0.115  2.884  -0.2781  2.7139  -3.2014  19.335  0  0.057326
0.116  2.8838  -0.2806  2.7107  -3.228  19.335  9.1594e-17  0.057825
0.117  2.8835  -0.2831  2.7075  -3.2545  19.335  9.1594e-17  0.058323
0.118  2.8832  -0.28561  2.7042  -3.2811  19.335  9.1594e-17  0.058822
0.119  2.8829  -0.28811  2.7009  -3.3076  19.335  9.1594e-17  0.05932
0.12  2.8826  -0.29062  2.6976  -3.3341  19.335  9.1594e-17  0.059819
0.121  2.8823  -0.29314  2.6942  -3.3605  19.335  9.1594e-17  0.060317
0.122  2.882  -0.29565  2.6909  -3.3869  19.335  1.8319e-16  0.060816
0.123  2.8817  -0.29817  2.6874  -3.4133  19.335  1.8319e-16  0.061314
0.124  2.8814  -0.3007  2.684  -3.4397  19.335  0  0.061813
0.125  2.8811  -0.30322  2.6806  -3.466  19.335  9.1594e-17  0.062311
0.126  2.8808  -0.30575  2.6771  -3.4923  19.335  9.1594e-17  0.062809
0.127  2.8805  -0.30828  2.6736  -3.5185  19.335  9.1594e-17  0.063308
0.128  2.8802  -0.31081  2.6701  -3.5447  19.335  9.1594e-17  0.063806
0.129  2.8799  -0.31335  2.6665  -3.5709  19.335  9.1594e-17  0.064305
0.13  2.8796  -0.31589  2.6629  -3.597  19.335  9.1594e-17  0.064803
0.131  2.8793  -0.31843  2.6593  -3.6231  19.335  9.1594e-17  0.065302
0.132  2.879  -0.32098  2.6557  -3.6492  19.335  9.1594e-17  0.0658
0.133  2.8786  -0.32352  2.652  -3.6752  19.335  9.1594e-17  0.066299
0.134  2.8783  -0.32608  2.6483  -3.7012  19.335  1.8319e-16  0.066797
0.135  2.878  -0.32863  2.6446  -3.7272  19.335  9.1594e-17  0.067296
0.136  2.8776  -0.33119  2.6409  -3.7531  19.335  0  0.067794
0.137  2.8773  -0.33375  2.6371  -3.779  19.335  9.1594e-17  0.068293
0.138  2.877  -0.33631  2.6333  -3.8049  19.335  0  0.068791
0.139  2.8766  -0.33888  2.6295  -3.8307  19.335  9.1594e-17  0.06929
0.14  2.8763  -0.34145  2.6256  -3.8565  19.335  9.1594e-17  0.069788
0.141  2.876  -0.34403  2.6218  -3.8822  19.335  9.1594e-17  0.070287
0.142  2.8756  -0.3466  2.6179  -3.9079  19.335  9.1594e-17  0.070785
0.143  2.8753  -0.34918  2.614  -3.9336  19.335  9.1594e-17  0.071284
0.144  2.8749  -0.35177  2.61  -3.9592  19.335  9.1594e-17  0.071782
0.145  2.8746  -0.35435  2.606  -3.9848  19.335  9.1594e-17  0.072281
0.146  2.8742  -0.35694  2.602  -4.0103  19.335  9.1594e-17  0.072779
0.147  2.8739  -0.35954  2.598  -4.0358  19.335  1.8319e-16  0.073278
0.148  2.8735  -0.36213  2.594  -4.0613  19.335  1.8319e-16  0.073776
0.149  2.8731  -0.36473  2.5899  -4.0867  19.335  9.1594e-17  0.074275
0.15  2.8728  -0.36734  2.5858  -4.1121  19.335  1.8319e-16  0.074773
0.151  2.8724  -0.36995  2.5817  -4.1374  19.335  1.8319e-16  0.075272
0.152  2.872  -0.37256  2.5775  -4.1627  19.335  1.8319e-16  0.07577
0.153  2.8716  -0.37517  2.5733  -4.188  19.335  1.8319e-16  0.076269
0.154  2.8713  -0.37779  2.5691  -4.2132  19.335  1.8319e-16  0.076767
0.155  2.8709  -0.38041  2.5649  -4.2384  19.335  1.8319e-16  0.077266
0.156  2.8705  -0.38303  2.5607  -4.2636  19.335  1.8319e-16  0.077764
0.157  2.8701  -0.38566  2.5564  -4.2887  19.335  1.8319e-16  0.078263
0.158  2.8697  -0.3883  2.5521  -4.3137  19.335  1.8319e-16  0.078761
0.159  2.8693  -0.39093  2.5478  -4.3387  19.335  1.8319e-16  0.07926
0.16  2.869  -0.39357  2.5434  -4.3637  19.335  1.8319e-16  0.079758
0.161  2.8686  -0.39621  2.539  -4.3886  19.335  1.8319e-16  0.080257
0.162  2.8682  -0.39886  2.5346  -4.4135  19.335  1.8319e-16  0.080755
0.163  2.8678  -0.40151  2.5302  -4.4384  19.335  1.8319e-16  0.081254
0.164  2.8674  -0.40417  2.5258  -4.4632  19.335  1.8319e-16  0.081752
0.165  2.867  -0.40683  2.5213  -4.4879  19.335  2.7478e-16  0.082251
0.166  2.8665  -0.40949  2.5168  -4.5126  19.335  2.7478e-16  0.082749
0.167  2.8661  -0.41215  2.5123  -4.5373  19.335  9.1594e-17  0.083247
0.168  2.8657  -0.41482  2.5077  -4.5619  19.335  1.8319e-16  0.083746
0.169  2.8653  -0.4175  2.5031  -4.5865  19.335  1.8319e-16  0.084244
0.17  2.8649  -0.42018  2.4985  -4.611  19.335  1.8319e-16  0.084743
0.171  2.8645  -0.42286  2.4939  -4.6355  19.335  2.7478e-16  0.085241
0.172  2.864  -0.42554  2.4893  -4.66  19.335  1.8319e-16  0.08574
0.173  2.8636  -0.42823  2.4846  -4.6844  19.335  1.8319e-16  0.086238
0.174  2.8632  -0.43093  2.4799  -4.7087  19.335  1.8319e-16  0.086737
0.175  2.8628  -0.43363  2.4752  -4.733  19.335  2.7478e-16  0.087235
0.176  2.8623  -0.43633  2.4704  -4.7573  19.335  2.7478e-16  0.087734
0.177  2.8619  -0.43904  2.4657  -4.7815  19.335  2.7478e-16  0.088232
0.178  2.8614  -0.44175  2.4609  -4.8056  19.335  2.7478e-16  0.088731
0.179  2.861  -0.44446  2.4561  -4.8298  19.335  1.8319e-16  0.089229
0.18  2.8606  -0.44718  2.4512  -4.8538  19.335  1.8319e-16  0.089728
0.181  2.8601  -0.4499  2.4463  -4.8779  19.335  2.7478e-16  0.090226
0.182  2.8597  -0.45263  2.4415  -4.9018  19.335  1.8319e-16  0.090725
0.183  2.8592  -0.45536  2.4365  -4.9258  19.335  2.7478e-16  0.091223
0.184  2.8587  -0.4581  2.4316  -4.9496  19.335  1.8319e-16  0.091722
0.185  2.8583  -0.46084  2.4266  -4.9735  19.335  1.8319e-16  0.09222
0.186  2.8578  -0.46358  2.4217  -4.9972  19.335  2.7478e-16  0.092719
0.187  2.8574  -0.46633  2.4166  -5.021  19.335  1.8319e-16  0.093217
0.188  2.8569  -0.46908  2.4116  -5.0447  19.335  2.7478e-16  0.093716
0.189  2.8564  -0.47184  2.4066  -5.0683  19.335  2.7478e-16  0.094214
0.19  2.8559  -0.4746  2.4015  -5.0919  19.335  2.7478e-16  0.094713
0.191  2.8555  -0.47737  2.3964  -5.1154  19.335  2.7478e-16  0.095211
0.192  2.855  -0.48014  2.3912  -5.1389  19.335  2.7478e-16  0.09571
0.193  2.8545  -0.48292  2.3861  -5.1623  19.335  1.8319e-16  0.096208
0.194  2.854  -0.4857  2.3809  -5.1857  19.335  3.6638e-16  0.096707
0.195  2.8535  -0.48848  2.3757  -5.209  19.335  2.7478e-16  0.097205
0.196  2.853  -0.49127  2.3705  -5.2323  19.335  2.7478e-16  0.097704
0.197  2.8526  -0.49406  2.3653  -5.2556  19.335  3.6638e-16  0.098202
0.198  2.8521  -0.49686  2.36  -5.2787  19.335  2.7478e-16  0.098701
0.199  2.8516  -0.49967  2.3547  -5.3019  19.335  2.7478e-16  0.099199
0.2  2.8511  -0.50247  2.3494  -5.3249  19.335  2.7478e-16  0.099698
0.201  2.8506  -0.50529  2.3441  -5.3479  19.335  2.7478e-16  0.1002
0.202  2.85  -0.5081  2.3387  -5.3709  19.335  2.7478e-16  0.10069
0.203  2.8495  -0.51093  2.3333  -5.3938  19.335  2.7478e-16  0.10119
0.204  2.849  -0.51375  2.3279  -5.4167  19.335  2.7478e-16  0.10169
0.205  2.8485  -0.51658  2.3225  -5.4395  19.335  2.7478e-16  0.10219
0.206  2.848  -0.51942  2.317  -5.4623  19.335  3.6638e-16  0.10269
0.207  2.8475  -0.52226  2.3116  -5.485  19.335  2.7478e-16  0.10319
0.208  2.8469  -0.52511  2.3061  -5.5076  19.335  3.6638e-16  0.10369
0.209  2.8464  -0.52796  2.3005  -5.5302  19.335  2.7478e-16  0.10418
0.21  2.8459  -0.53082  2.295  -5.5528  19.335  3.6638e-16  0.10468
0.211  2.8454  -0.53368  2.2894  -5.5752  19.335  2.7478e-16  0.10518
0.212  2.8448  -0.53654  2.2838  -5.5977  19.335  3.6638e-16  0.10568
0.213  2.8443  -0.53941  2.2782  -5.62  19.335  3.6638e-16  0.10618
0.214  2.8437  -0.54229  2.2726  -5.6424  19.335  2.7478e-16  0.10668
0.215  2.8432  -0.54517  2.267  -5.6646  19.335  3.6638e-16  0.10717
0.216  2.8427  -0.54806  2.2613  -5.6868  19.335  3.6638e-16  0.10767
0.217  2.8421  -0.55095  2.2556  -5.709  19.335  3.6638e-16  0.10817
0.218  2.8416  -0.55385  2.2499  -5.7311  19.335  2.7478e-16  0.10867
0.219  2.841  -0.55675  2.2441  -5.7531  19.335  3.6638e-16  0.10917
0.22  2.8404  -0.55966  2.2384  -5.7751  19.335  3.6638e-16  0.10967
0.221  2.8399  -0.56257  2.2326  -5.7971  19.335  3.6638e-16  0.11017
0.222  2.8393  -0.56549  2.2268  -5.8189  19.335  4.5797e-16  0.11066
0.223  2.8387  -0.56841  2.2209  -5.8408  19.335  3.6638e-16  0.11116
0.224  2.8382  -0.57134  2.2151  -5.8625  19.335  4.5797e-16  0.11166
0.225  2.8376  -0.57427  2.2092  -5.8842  19.335  3.6638e-16  0.11216
0.226  2.837  -0.57721  2.2033  -5.9059  19.335  3.6638e-16  0.11266
0.227  2.8365  -0.58016  2.1974  -5.9274  19.335  4.5797e-16  0.11316
0.228  2.8359  -0.58311  2.1915  -5.949  19.335  3.6638e-16  0.11366
0.229  2.8353  -0.58606  2.1855  -5.9704  19.335  4.5797e-16  0.11415
0.23  2.8347  -0.58902  2.1795  -5.9918  19.335  3.6638e-16  0.11465
0.231  2.8341  -0.59199  2.1735  -6.0132  19.335  4.5797e-16  0.11515
0.232  2.8335  -0.59496  2.1675  -6.0345  19.335  4.5797e-16  0.11565
0.233  2.8329  -0.59794  2.1614  -6.0557  19.335  4.5797e-16  0.11615
0.234  2.8323  -0.60092  2.1554  -6.0769  19.335  5.4957e-16  0.11665
0.235  2.8317  -0.60391  2.1493  -6.098  19.335  4.5797e-16  0.11714
0.236  2.8311  -0.6069  2.1432  -6.1191  19.335  4.5797e-16  0.11764
0.237  2.8305  -0.6099  2.137  -6.1401  19.335  4.5797e-16  0.11814
0.238  2.8299  -0.61291  2.1309  -6.161  19.335  5.4957e-16  0.11864
0.239  2.8293  -0.61592  2.1247  -6.1819  19.335  5.4957e-16  0.11914
0.24  2.8287  -0.61894  2.1185  -6.2027  19.335  5.4957e-16  0.11964
0.241  2.828  -0.62196  2.1123  -6.2234  19.335  5.4957e-16  0.12014
0.242  2.8274  -0.62499  2.1061  -6.2441  19.335  4.5797e-16  0.12063
0.243  2.8268  -0.62802  2.0998  -6.2648  19.335  6.4116e-16  0.12113
0.244  2.8262  -0.63106  2.0936  -6.2853  19.335  5.4957e-16  0.12163
0.245  2.8255  -0.63411  2.0873  -6.3058  19.335  5.4957e-16  0.12213
0.246  2.8249  -0.63716  2.0809  -6.3263  19.335  5.4957e-16  0.12263
0.247  2.8243  -0.64022  2.0746  -6.3467  19.335  6.4116e-16  0.12313
0.248  2.8236  -0.64329  2.0683  -6.367  19.335  6.4116e-16  0.12363
0.249  2.823  -0.64636  2.0619  -6.3872  19.335  6.4116e-16  0.12412
0.25  2.8223  -0.64943  2.0555  -6.4074  19.335  6.4116e-16  0.12462
0.251  2.8217  -0.65251  2.0491  -6.4276  19.335  6.4116e-16  0.12512
0.252  2.821  -0.6556  2.0426  -6.4476  19.335  6.4116e-16  0.12562
0.253  2.8204  -0.6587  2.0362  -6.4676  19.335  7.3275e-16  0.12612
0.254  2.8197  -0.6618  2.0297  -6.4876  19.335  6.4116e-16  0.12662
0.255  2.819  -0.6649  2.0232  -6.5075  19.335  7.3275e-16  0.12711
0.256  2.8184  -0.66802  2.0167  -6.5273  19.335  7.3275e-16  0.12761
0.257  2.8177  -0.67114  2.0101  -6.547  19.335  6.4116e-16  0.12811
0.258  2.817  -0.67426  2.0036  -6.5667  19.335  6.4116e-16  0.12861
0.259  2.8163  -0.67739  1.997  -6.5863  19.335  7.3275e-16  0.12911
0.26  2.8157  -0.68053  1.9904  -6.6059  19.335  7.3275e-16  0.12961
0.261  2.815  -0.68367  1.9838  -6.6254  19.335  6.4116e-16  0.13011
0.262  2.8143  -0.68682  1.9772  -6.6448  19.335  8.2435e-16  0.1306
0.263  2.8136  -0.68998  1.9705  -6.6642  19.335  7.3275e-16  0.1311
0.264  2.8129  -0.69315  1.9638  -6.6835  19.335  8.2435e-16  0.1316
0.265  2.8122  -0.69631  1.9571  -6.7027  19.335  8.2435e-16  0.1321
0.266  2.8115  -0.69949  1.9504  -6.7219  19.335  8.2435e-16  0.1326
0.267  2.8108  -0.70267  1.9437  -6.741  19.335  8.2435e-16  0.1331
0.268  2.8101  -0.70586  1.9369  -6.76  19.335  8.2435e-16  0.13359
0.269  2.8094  -0.70906  1.9302  -6.779  19.335  8.2435e-16  0.13409
0.27  2.8087  -0.71226  1.9234  -6.7979  19.335  8.2435e-16  0.13459
0.271  2.808  -0.71547  1.9166  -6.8167  19.335  9.1594e-16  0.13509
0.272  2.8073  -0.71869  1.9097  -6.8355  19.335  9.1594e-16  0.13559
0.273  2.8066  -0.72191  1.9029  -6.8542  19.335  7.3275e-16  0.13609
0.274  2.8058  -0.72514  1.896  -6.8728  19.335  9.1594e-16  0.13659
0.275  2.8051  -0.72837  1.8892  -6.8914  19.335  9.1594e-16  0.13708
0.276  2.8044  -0.73162  1.8823  -6.9099  19.335  9.1594e-16  0.13758
0.277  2.8036  -0.73486  1.8753  -6.9283  19.335  8.2435e-16  0.13808
0.278  2.8029  -0.73812  1.8684  -6.9467  19.335  8.2435e-16  0.13858
0.279  2.8022  -0.74138  1.8614  -6.965  19.335  8.2435e-16  0.13908
0.28  2.8014  -0.74465  1.8545  -6.9832  19.335  9.1594e-16  0.13958
0.281  2.8007  -0.74793  1.8475  -7.0014  19.335  9.1594e-16  0.14008
0.282  2.7999  -0.75121  1.8405  -7.0195  19.335  9.1594e-16  0.14057
0.283  2.7992  -0.7545  1.8334  -7.0375  19.335  9.1594e-16  0.14107
0.284  2.7984  -0.7578  1.8264  -7.0554  19.335  1.0075e-15  0.14157
0.285  2.7977  -0.7611  1.8193  -7.0733  19.335  1.0075e-15  0.14207
