# time  thetat  wt  thetasmall  wsmall  Et  dE/T  t/T
0  2.0595  0  2.0595  0  14.416  0  0
0  2.0595  -0.0086617  2.0595  0  14.416  0  0
0.001  2.0595  -0.017323  2.0595  -0.020204  14.416  6.1426e-17  0.00049849
0.002  2.0594  -0.025985  2.0594  -0.040407  14.416  6.1426e-17  0.00099698
0.003  2.0594  -0.034647  2.0594  -0.06061  14.416  1.2285e-16  0.0014955
0.004  2.0594  -0.043309  2.0593  -0.080812  14.416  1.8428e-16  0.001994
0.005  2.0593  -0.051972  2.0592  -0.10101  14.416  1.2285e-16  0.0024924
0.006  2.0593  -0.060634  2.0591  -0.12121  14.416  2.4571e-16  0.0029909
0.007  2.0592  -0.069297  2.059  -0.14141  14.416  1.8428e-16  0.0034894
0.008  2.0591  -0.07796  2.0588  -0.16161  14.416  1.8428e-16  0.0039879
0.009  2.0591  -0.086624  2.0587  -0.18181  14.416  6.1426e-17  0.0044864
0.01  2.059  -0.095288  2.0585  -0.202  14.416  0  0.0049849
0.011  2.0589  -0.10395  2.0583  -0.2222  14.416  6.1426e-17  0.0054834
0.012  2.0588  -0.11262  2.058  -0.24239  14.416  1.2285e-16  0.0059819
0.013  2.0586  -0.12128  2.0578  -0.26257  14.416  1.2285e-16  0.0064803
0.014  2.0585  -0.12995  2.0575  -0.28276  14.416  1.8428e-16  0.0069788
0.015  2.0584  -0.13861  2.0572  -0.30294  14.416  1.8428e-16  0.0074773
0.016  2.0582  -0.14728  2.0569  -0.32312  14.416  2.4571e-16  0.0079758
0.017  2.0581  -0.15595  2.0566  -0.3433  14.416  4.2998e-16  0.0084743
0.018  2.0579  -0.16462  2.0562  -0.36347  14.416  4.9141e-16  0.0089728
0.019  2.0578  -0.17329  2.0558  -0.38364  14.416  4.2998e-16  0.0094713
0.02  2.0576  -0.18196  2.0554  -0.40381  14.416  3.6856e-16  0.0099698
0.021  2.0574  -0.19063  2.055  -0.42397  14.416  4.2998e-16  0.010468
0.022  2.0572  -0.1993  2.0546  -0.44413  14.416  4.9141e-16  0.010967
0.023  2.057  -0.20797  2.0541  -0.46428  14.416  4.9141e-16  0.011465
0.024  2.0568  -0.21665  2.0537  -0.48443  14.416  5.5284e-16  0.011964
0.025  2.0566  -0.22532  2.0532  -0.50457  14.416  6.1426e-16  0.012462
0.026  2.0563  -0.234  2.0527  -0.52471  14.416  6.7569e-16  0.012961
0.027  2.0561  -0.24267  2.0521  -0.54485  14.416  7.9854e-16  0.013459
0.028  2.0558  -0.25135  2.0516  -0.56498  14.416  7.9854e-16  0.013958
0.029  2.0556  -0.26003  2.051  -0.5851  14.416  9.214e-16  0.014456
0.03  2.0553  -0.26871  2.0504  -0.60522  14.416  8.5997e-16  0.014955
0.031  2.0551  -0.27739  2.0498  -0.62533  14.416  9.214e-16  0.015453
0.032  2.0548  -0.28607  2.0492  -0.64543  14.416  9.8282e-16  0.015952
0.033  2.0545  -0.29476  2.0485  -0.66553  14.416  1.1057e-15  0.01645
0.034  2.0542  -0.30344  2.0478  -0.68562  14.416  1.1671e-15  0.016949
0.035  2.0539  -0.31213  2.0471  -0.70571  14.416  1.2285e-15  0.017447
0.036  2.0536  -0.32082  2.0464  -0.72579  14.416  1.29e-15  0.017946
0.037  2.0532  -0.32951  2.0457  -0.74586  14.416  1.4128e-15  0.018444
0.038  2.0529  -0.3382  2.0449  -0.76592  14.416  1.5357e-15  0.018943
0.039  2.0526  -0.34689  2.0441  -0.78598  14.416  1.5971e-15  0.019441
0.04  2.0522  -0.35559  2.0433  -0.80603  14.416  1.6585e-15  0.01994
0.041  2.0518  -0.36428  2.0425  -0.82607  14.416  1.7199e-15  0.020438
0.042  2.0515  -0.37298  2.0417  -0.84611  14.416  1.8428e-15  0.020936
0.043  2.0511  -0.38168  2.0408  -0.86613  14.416  1.9656e-15  0.021435
0.044  2.0507  -0.39038  2.04  -0.88615  14.416  1.9042e-15  0.021933
0.045  2.0503  -0.39908  2.0391  -0.90615  14.416  2.1499e-15  0.022432
