# time  xt  vt  xtrue  vtrue  Et  dE/T  t/T
0  1  0  1  0  0.5  0  0
0  0.99995  -0.0099998  1  0  0.5  2.191e-15  0
0.01  0.9998  -0.019999  0.99995  -0.0099998  0.5  4.3998e-15  0.0015915
0.02  0.99955  -0.029996  0.9998  -0.019999  0.5  6.6262e-15  0.0031831
0.03  0.9992  -0.039989  0.99955  -0.029996  0.5  8.8349e-15  0.0047746
0.04  0.99875  -0.049979  0.9992  -0.039989  0.5  1.1044e-14  0.0063662
0.05  0.9982  -0.059964  0.99875  -0.049979  0.5  1.3235e-14  0.0079577
0.06  0.99755  -0.069943  0.9982  -0.059964  0.5  1.5461e-14  0.0095493
0.07  0.9968  -0.079915  0.99755  -0.069943  0.5  1.7687e-14  0.011141
0.08  0.99595  -0.089879  0.9968  -0.079915  0.5  1.9914e-14  0.012732
0.09  0.995  -0.099833  0.99595  -0.089879  0.5  2.2123e-14  0.014324
0.1  0.99396  -0.10978  0.995  -0.099833  0.5  2.4331e-14  0.015915
0.11  0.99281  -0.11971  0.99396  -0.10978  0.5  2.654e-14  0.017507
0.12  0.99156  -0.12963  0.99281  -0.11971  0.5  2.8731e-14  0.019099
0.13  0.99022  -0.13954  0.99156  -0.12963  0.5  3.0957e-14  0.02069
0.14  0.98877  -0.14944  0.99022  -0.13954  0.5  3.3166e-14  0.022282
0.15  0.98723  -0.15932  0.98877  -0.14944  0.5  3.5357e-14  0.023873
0.16  0.98558  -0.16918  0.98723  -0.15932  0.5  3.7584e-14  0.025465
0.17  0.98384  -0.17903  0.98558  -0.16918  0.5  3.9775e-14  0.027056
0.18  0.982  -0.18886  0.98384  -0.17903  0.5  4.1966e-14  0.028648
0.19  0.98007  -0.19867  0.982  -0.18886  0.5  4.4174e-14  0.030239
0.2  0.97803  -0.20846  0.98007  -0.19867  0.5  4.6401e-14  0.031831
0.21  0.9759  -0.21823  0.97803  -0.20846  0.5  4.8609e-14  0.033423
0.22  0.97367  -0.22798  0.9759  -0.21823  0.5  5.0801e-14  0.035014
0.23  0.97134  -0.2377  0.97367  -0.22798  0.5  5.3009e-14  0.036606
0.24  0.96891  -0.2474  0.97134  -0.2377  0.5  5.5183e-14  0.038197
0.25  0.96639  -0.25708  0.96891  -0.2474  0.5  5.7409e-14  0.039789
0.26  0.96377  -0.26673  0.96639  -0.25708  0.5  5.9635e-14  0.04138
0.27  0.96106  -0.27636  0.96377  -0.26673  0.5  6.1844e-14  0.042972
0.28  0.95824  -0.28595  0.96106  -0.27636  0.5  6.4071e-14  0.044563
0.29  0.95534  -0.29552  0.95824  -0.28595  0.5  6.6262e-14  0.046155
0.3  0.95233  -0.30506  0.95534  -0.29552  0.5  6.8488e-14  0.047746
0.31  0.94924  -0.31457  0.95233  -0.30506  0.5  7.0714e-14  0.049338
0.32  0.94604  -0.32404  0.94924  -0.31457  0.5  7.2905e-14  0.05093
0.33  0.94275  -0.33349  0.94604  -0.32404  0.5  7.5114e-14  0.052521
0.34  0.93937  -0.3429  0.94275  -0.33349  0.5  7.7323e-14  0.054113
0.35  0.9359  -0.35227  0.93937  -0.3429  0.5  7.9514e-14  0.055704
0.36  0.93233  -0.36162  0.9359  -0.35227  0.5  8.1723e-14  0.057296
0.37  0.92866  -0.37092  0.93233  -0.36162  0.5  8.3949e-14  0.058887
0.38  0.92491  -0.38019  0.92866  -0.37092  0.5  8.6122e-14  0.060479
0.39  0.92106  -0.38942  0.92491  -0.38019  0.5  8.8349e-14  0.06207
0.4  0.91712  -0.39861  0.92106  -0.38942  0.5  9.054e-14  0.063662
0.41  0.91309  -0.40776  0.91712  -0.39861  0.5  9.2766e-14  0.065254
0.42  0.90897  -0.41687  0.91309  -0.40776  0.5  9.4993e-14  0.066845
0.43  0.90475  -0.42594  0.90897  -0.41687  0.5  9.7184e-14  0.068437
0.44  0.90045  -0.43497  0.90475  -0.42594  0.5  9.941e-14  0.070028
0.45  0.89605  -0.44395  0.90045  -0.43497  0.5  1.0158e-13  0.07162
0.46  0.89157  -0.45289  0.89605  -0.44395  0.5  1.0379e-13  0.073211
0.47  0.88699  -0.46178  0.89157  -0.45289  0.5  1.06e-13  0.074803
0.48  0.88233  -0.47063  0.88699  -0.46178  0.5  1.0817e-13  0.076394
0.49  0.87758  -0.47943  0.88233  -0.47063  0.5  1.1038e-13  0.077986
0.5  0.87274  -0.48818  0.87758  -0.47943  0.5  1.1261e-13  0.079577
0.51  0.86782  -0.49688  0.87274  -0.48818  0.5  1.148e-13  0.081169
0.52  0.86281  -0.50553  0.86782  -0.49688  0.5  1.1701e-13  0.082761
0.53  0.85771  -0.51414  0.86281  -0.50553  0.5  1.1924e-13  0.084352
0.54  0.85252  -0.52269  0.85771  -0.51414  0.5  1.2143e-13  0.085944
0.55  0.84726  -0.53119  0.85252  -0.52269  0.5  1.2365e-13  0.087535
0.56  0.8419  -0.53963  0.84726  -0.53119  0.5  1.2588e-13  0.089127
0.57  0.83646  -0.54802  0.8419  -0.53963  0.5  1.2809e-13  0.090718
0.58  0.83094  -0.55636  0.83646  -0.54802  0.5  1.303e-13  0.09231
0.59  0.82534  -0.56464  0.83094  -0.55636  0.5  1.3251e-13  0.093901
0.6  0.81965  -0.57287  0.82534  -0.56464  0.5  1.3471e-13  0.095493
0.61  0.81388  -0.58104  0.81965  -0.57287  0.5  1.3691e-13  0.097085
0.62  0.80803  -0.58914  0.81388  -0.58104  0.5  1.391e-13  0.098676
0.63  0.8021  -0.5972  0.80803  -0.58914  0.5  1.4129e-13  0.10027
0.64  0.79608  -0.60519  0.8021  -0.5972  0.5  1.4351e-13  0.10186
0.65  0.78999  -0.61312  0.79608  -0.60519  0.5  1.457e-13  0.10345
0.66  0.78382  -0.62099  0.78999  -0.61312  0.5  1.4793e-13  0.10504
0.67  0.77757  -0.62879  0.78382  -0.62099  0.5  1.5012e-13  0.10663
0.68  0.77125  -0.63654  0.77757  -0.62879  0.5  1.5235e-13  0.10823
0.69  0.76484  -0.64422  0.77125  -0.63654  0.5  1.5454e-13  0.10982
0.7  0.75836  -0.65183  0.76484  -0.64422  0.5  1.5677e-13  0.11141
0.71  0.75181  -0.65938  0.75836  -0.65183  0.5  1.5896e-13  0.113
0.72  0.74517  -0.66687  0.75181  -0.65938  0.5  1.6117e-13  0.11459
0.73  0.73847  -0.67429  0.74517  -0.66687  0.5  1.6337e-13  0.11618
0.74  0.73169  -0.68164  0.73847  -0.67429  0.5  1.656e-13  0.11777
0.75  0.72484  -0.68892  0.73169  -0.68164  0.5  1.6781e-13  0.11937
0.76  0.71791  -0.69614  0.72484  -0.68892  0.5  1.7002e-13  0.12096
0.77  0.71091  -0.70328  0.71791  -0.69614  0.5  1.7221e-13  0.12255
0.78  0.70385  -0.71035  0.71091  -0.70328  0.5  1.7444e-13  0.12414
0.79  0.69671  -0.71736  0.70385  -0.71035  0.5  1.7664e-13  0.12573
0.8  0.6895  -0.72429  0.69671  -0.71736  0.5  1.7885e-13  0.12732
0.81  0.68222  -0.73115  0.6895  -0.72429  0.5  1.8106e-13  0.12892
0.82  0.67488  -0.73793  0.68222  -0.73115  0.5  1.8327e-13  0.13051
0.83  0.66746  -0.74464  0.67488  -0.73793  0.5  1.8548e-13  0.1321
0.84  0.65998  -0.75128  0.66746  -0.74464  0.5  1.8769e-13  0.13369
0.85  0.65244  -0.75784  0.65998  -0.75128  0.5  1.899e-13  0.13528
0.86  0.64483  -0.76433  0.65244  -0.75784  0.5  1.9211e-13  0.13687
0.87  0.63715  -0.77074  0.64483  -0.76433  0.5  1.943e-13  0.13846
0.88  0.62941  -0.77707  0.63715  -0.77074  0.5  1.9652e-13  0.14006
0.89  0.62161  -0.78333  0.62941  -0.77707  0.5  1.9871e-13  0.14165
0.9  0.61375  -0.7895  0.62161  -0.78333  0.5  2.0094e-13  0.14324
0.91  0.60582  -0.7956  0.61375  -0.7895  0.5  2.0317e-13  0.14483
0.92  0.59783  -0.80162  0.60582  -0.7956  0.5  2.0539e-13  0.14642
0.93  0.58979  -0.80756  0.59783  -0.80162  0.5  2.0758e-13  0.14801
0.94  0.58168  -0.81342  0.58979  -0.80756  0.5  2.0976e-13  0.14961
0.95  0.57352  -0.81919  0.58168  -0.81342  0.5  2.1197e-13  0.1512
0.96  0.5653  -0.82489  0.57352  -0.81919  0.5  2.1419e-13  0.15279
0.97  0.55702  -0.8305  0.5653  -0.82489  0.5  2.164e-13  0.15438
0.98  0.54869  -0.83603  0.55702  -0.8305  0.5  2.1861e-13  0.15597
0.99  0.5403  -0.84147  0.54869  -0.83603  0.5  2.2082e-13  0.15756
1  0.53186  -0.84683  0.5403  -0.84147  0.5  2.2303e-13  0.15915
1.01  0.52337  -0.85211  0.53186  -0.84683  0.5  2.252e-13  0.16075
1.02  0.51482  -0.8573  0.52337  -0.85211  0.5  2.2741e-13  0.16234
1.03  0.50622  -0.8624  0.51482  -0.8573  0.5  2.2964e-13  0.16393
1.04  0.49757  -0.86742  0.50622  -0.8624  0.5  2.3183e-13  0.16552
1.05  0.48887  -0.87236  0.49757  -0.86742  0.5  2.3404e-13  0.16711
1.06  0.48012  -0.8772  0.48887  -0.87236  0.5  2.3626e-13  0.1687
1.07  0.47133  -0.88196  0.48012  -0.8772  0.5  2.3844e-13  0.1703
1.08  0.46249  -0.88663  0.47133  -0.88196  0.5  2.4066e-13  0.17189
1.09  0.4536  -0.89121  0.46249  -0.88663  0.5  2.4287e-13  0.17348
1.1  0.44466  -0.8957  0.4536  -0.89121  0.5  2.4508e-13  0.17507
1.11  0.43568  -0.9001  0.44466  -0.8957  0.5  2.4727e-13  0.17666
1.12  0.42666  -0.90441  0.43568  -0.9001  0.5  2.495e-13  0.17825
1.13  0.41759  -0.90863  0.42666  -0.90441  0.5  2.5172e-13  0.17985
1.14  0.40849  -0.91276  0.41759  -0.90863  0.5  2.5391e-13  0.18144
1.15  0.39934  -0.9168  0.40849  -0.91276  0.5  2.5614e-13  0.18303
1.16  0.39015  -0.92075  0.39934  -0.9168  0.5  2.5837e-13  0.18462
1.17  0.38092  -0.92461  0.39015  -0.92075  0.5  2.6056e-13  0.18621
1.18  0.37166  -0.92837  0.38092  -0.92461  0.5  2.6277e-13  0.1878
1.19  0.36236  -0.93204  0.37166  -0.92837  0.5  2.6498e-13  0.18939
1.2  0.35302  -0.93562  0.36236  -0.93204  0.5  2.672e-13  0.19099
1.21  0.34365  -0.9391  0.35302  -0.93562  0.5  2.6941e-13  0.19258
1.22  0.33424  -0.94249  0.34365  -0.9391  0.5  2.7162e-13  0.19417
1.23  0.3248  -0.94578  0.33424  -0.94249  0.5  2.7383e-13  0.19576
1.24  0.31532  -0.94898  0.3248  -0.94578  0.5  2.7605e-13  0.19735
1.25  0.30582  -0.95209  0.31532  -0.94898  0.5  2.7826e-13  0.19894
1.26  0.29628  -0.9551  0.30582  -0.95209  0.5  2.8047e-13  0.20054
1.27  0.28672  -0.95802  0.29628  -0.9551  0.5  2.8268e-13  0.20213
1.28  0.27712  -0.96084  0.28672  -0.95802  0.5  2.8491e-13  0.20372
1.29  0.2675  -0.96356  0.27712  -0.96084  0.5  2.871e-13  0.20531
1.3  0.25785  -0.96618  0.2675  -0.96356  0.5  2.8932e-13  0.2069
1.31  0.24818  -0.96872  0.25785  -0.96618  0.5  2.9152e-13  0.20849
1.32  0.23848  -0.97115  0.24818  -0.96872  0.5  2.9371e-13  0.21008
1.33  0.22875  -0.97348  0.23848  -0.97115  0.5  2.9592e-13  0.21168
1.34  0.21901  -0.97572  0.22875  -0.97348  0.5  2.9812e-13  0.21327
1.35  0.20924  -0.97786  0.21901  -0.97572  0.5  3.0032e-13  0.21486
1.36  0.19945  -0.97991  0.20924  -0.97786  0.5  3.0251e-13  0.21645
1.37  0.18964  -0.98185  0.19945  -0.97991  0.5  3.0473e-13  0.21804
