t  x  y  z  vx  vy  vz
0  0  0  0  6.12323e-16  0  10
0  6.12323e-18  0  0.09951  6.12323e-16  0  9.902
0.01  1.22465e-17  0  0.19804  6.12323e-16  0  9.804
0.02  1.83697e-17  0  0.29559  6.12323e-16  0  9.706
0.03  2.44929e-17  0  0.39216  6.12323e-16  0  9.608
0.04  3.06162e-17  0  0.48775  6.12323e-16  0  9.51
0.05  3.67394e-17  0  0.58236  6.12323e-16  0  9.412
0.06  4.28626e-17  0  0.67599  6.12323e-16  0  9.314
0.07  4.89859e-17  0  0.76864  6.12323e-16  0  9.216
0.08  5.51091e-17  0  0.86031  6.12323e-16  0  9.118
0.09  6.12323e-17  0  0.951  6.12323e-16  0  9.02
0.1  6.73556e-17  0  1.04071  6.12323e-16  0  8.922
0.11  7.34788e-17  0  1.12944  6.12323e-16  0  8.824
0.12  7.9602e-17  0  1.21719  6.12323e-16  0  8.726
0.13  8.57253e-17  0  1.30396  6.12323e-16  0  8.628
0.14  9.18485e-17  0  1.38975  6.12323e-16  0  8.53
0.15  9.79717e-17  0  1.47456  6.12323e-16  0  8.432
0.16  1.04095e-16  0  1.55839  6.12323e-16  0  8.334
0.17  1.10218e-16  0  1.64124  6.12323e-16  0  8.236
0.18  1.16341e-16  0  1.72311  6.12323e-16  0  8.138
0.19  1.22465e-16  0  1.804  6.12323e-16  0  8.04
0.2  1.28588e-16  0  1.88391  6.12323e-16  0  7.942
0.21  1.34711e-16  0  1.96284  6.12323e-16  0  7.844
0.22  1.40834e-16  0  2.04079  6.12323e-16  0  7.746
0.23  1.46958e-16  0  2.11776  6.12323e-16  0  7.648
0.24  1.53081e-16  0  2.19375  6.12323e-16  0  7.55
0.25  1.59204e-16  0  2.26876  6.12323e-16  0  7.452
0.26  1.65327e-16  0  2.34279  6.12323e-16  0  7.354
0.27  1.71451e-16  0  2.41584  6.12323e-16  0  7.256
0.28  1.77574e-16  0  2.48791  6.12323e-16  0  7.158
0.29  1.83697e-16  0  2.559  6.12323e-16  0  7.06
0.3  1.8982e-16  0  2.62911  6.12323e-16  0  6.962
0.31  1.95943e-16  0  2.69824  6.12323e-16  0  6.864
0.32  2.02067e-16  0  2.76639  6.12323e-16  0  6.766
