t  x  y  z  vx  vy  vz  range
0  0  0  0  37.0257  0  25.9257  0
0  0.370257  0  0.258767  37.0257  0  25.8277  0.370257
0.01  0.740513  0  0.516553  37.0257  0  25.7297  0.740513
0.02  1.11077  0  0.77336  37.0257  0  25.6317  1.11077
0.03  1.48103  0  1.02919  37.0257  0  25.5337  1.48103
0.04  1.85128  0  1.28403  37.0257  0  25.4357  1.85128
0.05  2.22154  0  1.5379  37.0257  0  25.3377  2.22154
0.06  2.5918  0  1.79079  37.0257  0  25.2397  2.5918
0.07  2.96205  0  2.04269  37.0257  0  25.1417  2.96205
0.08  3.33231  0  2.29362  37.0257  0  25.0437  3.33231
0.09  3.70257  0  2.54357  37.0257  0  24.9457  3.70257
0.1  4.07282  0  2.79253  37.0257  0  24.8477  4.07282
0.11  4.44308  0  3.04052  37.0257  0  24.7497  4.44308
0.12  4.81334  0  3.28753  37.0257  0  24.6517  4.81334
0.13  5.18359  0  3.53355  37.0257  0  24.5537  5.18359
0.14  5.55385  0  3.7786  37.0257  0  24.4557  5.55385
0.15  5.92411  0  4.02266  37.0257  0  24.3577  5.92411
0.16  6.29436  0  4.26575  37.0257  0  24.2597  6.29436
0.17  6.66462  0  4.50786  37.0257  0  24.1617  6.66462
0.18  7.03488  0  4.74898  37.0257  0  24.0637  7.03488
0.19  7.40513  0  4.98913  37.0257  0  23.9657  7.40513
0.2  7.77539  0  5.2283  37.0257  0  23.8677  7.77539
0.21  8.14565  0  5.46648  37.0257  0  23.7697  8.14565
0.22  8.5159  0  5.70369  37.0257  0  23.6717  8.5159
0.23  8.88616  0  5.93992  37.0257  0  23.5737  8.88616
0.24  9.25642  0  6.17516  37.0257  0  23.4757  9.25642
0.25  9.62667  0  6.40943  37.0257  0  23.3777  9.62667
0.26  9.99693  0  6.64272  37.0257  0  23.2797  9.99693
0.27  10.3672  0  6.87502  37.0257  0  23.1817  10.3672
0.28  10.7374  0  7.10635  37.0257  0  23.0837  10.7374
0.29  11.1077  0  7.3367  37.0257  0  22.9857  11.1077
0.3  11.478  0  7.56606  37.0257  0  22.8877  11.478
0.31  11.8482  0  7.79445  37.0257  0  22.7897  11.8482
0.32  12.2185  0  8.02186  37.0257  0  22.6917  12.2185
0.33  12.5887  0  8.24828  37.0257  0  22.5937  12.5887
0.34  12.959  0  8.47373  37.0257  0  22.4957  12.959
0.35  13.3292  0  8.6982  37.0257  0  22.3977  13.3292
0.36  13.6995  0  8.92168  37.0257  0  22.2997  13.6995
0.37  14.0698  0  9.14419  37.0257  0  22.2017  14.0698
0.38  14.44  0  9.36572  37.0257  0  22.1037  14.44
0.39  14.8103  0  9.58626  37.0257  0  22.0057  14.8103
0.4  15.1805  0  9.80583  37.0257  0  21.9077  15.1805
0.41  15.5508  0  10.0244  37.0257  0  21.8097  15.5508
0.42  15.921  0  10.242  37.0257  0  21.7117  15.921
0.43  16.2913  0  10.4586  37.0257  0  21.6137  16.2913
0.44  16.6616  0  10.6743  37.0257  0  21.5157  16.6616
0.45  17.0318  0  10.889  37.0257  0  21.4177  17.0318
0.46  17.4021  0  11.1026  37.0257  0  21.3197  17.4021
0.47  17.7723  0  11.3154  37.0257  0  21.2217  17.7723
0.48  18.1426  0  11.5271  37.0257  0  21.1237  18.1426
0.49  18.5128  0  11.7378  37.0257  0  21.0257  18.5128
0.5  18.8831  0  11.9476  37.0257  0  20.9277  18.8831
0.51  19.2533  0  12.1564  37.0257  0  20.8297  19.2533
0.52  19.6236  0  12.3642  37.0257  0  20.7317  19.6236
0.53  19.9939  0  12.571  37.0257  0  20.6337  19.9939
0.54  20.3641  0  12.7769  37.0257  0  20.5357  20.3641
0.55  20.7344  0  12.9817  37.0257  0  20.4377  20.7344
0.56  21.1046  0  13.1856  37.0257  0  20.3397  21.1046
0.57  21.4749  0  13.3885  37.0257  0  20.2417  21.4749
0.58  21.8451  0  13.5904  37.0257  0  20.1437  21.8451
0.59  22.2154  0  13.7914  37.0257  0  20.0457  22.2154
0.6  22.5857  0  13.9914  37.0257  0  19.9477  22.5857
0.61  22.9559  0  14.1903  37.0257  0  19.8497  22.9559
0.62  23.3262  0  14.3884  37.0257  0  19.7517  23.3262
0.63  23.6964  0  14.5854  37.0257  0  19.6537  23.6964
0.64  24.0667  0  14.7814  37.0257  0  19.5557  24.0667
0.65  24.4369  0  14.9765  37.0257  0  19.4577  24.4369
0.66  24.8072  0  15.1706  37.0257  0  19.3597  24.8072
0.67  25.1775  0  15.3637  37.0257  0  19.2617  25.1775
0.68  25.5477  0  15.5558  37.0257  0  19.1637  25.5477
0.69  25.918  0  15.747  37.0257  0  19.0657  25.918
0.7  26.2882  0  15.9371  37.0257  0  18.9677  26.2882
0.71  26.6585  0  16.1263  37.0257  0  18.8697  26.6585
0.72  27.0287  0  16.3145  37.0257  0  18.7717  27.0287
0.73  27.399  0  16.5017  37.0257  0  18.6737  27.399
0.74  27.7693  0  16.688  37.0257  0  18.5757  27.7693
0.75  28.1395  0  16.8733  37.0257  0  18.4777  28.1395
0.76  28.5098  0  17.0575  37.0257  0  18.3797  28.5098
0.77  28.88  0  17.2409  37.0257  0  18.2817  28.88
0.78  29.2503  0  17.4232  37.0257  0  18.1837  29.2503
0.79  29.6205  0  17.6045  37.0257  0  18.0857  29.6205
0.8  29.9908  0  17.7849  37.0257  0  17.9877  29.9908
