t  x  y  z  vx  vy  vz  range
0  0  0  0  29.054  0  34.6252  0
0  0.290186  0  0.345341  28.9833  0  34.4431  0.290186
0.01  0.579668  0  0.688865  28.9131  0  34.2618  0.579668
0.02  0.86845  0  1.03058  28.8434  0  34.0813  0.86845
0.03  1.15654  0  1.37049  28.7741  0  33.9015  1.15654
0.04  1.44393  0  1.70861  28.7053  0  33.7225  1.44393
0.05  1.73064  0  2.04495  28.6369  0  33.5443  1.73064
0.06  2.01667  0  2.3795  28.5689  0  33.3668  2.01667
0.07  2.30202  0  2.71229  28.5014  0  33.1901  2.30202
0.08  2.5867  0  3.04331  28.4343  0  33.0141  2.5867
0.09  2.87071  0  3.37257  28.3677  0  32.8388  2.87071
0.1  3.15406  0  3.70008  28.3015  0  32.6643  3.15406
0.11  3.43674  0  4.02586  28.2357  0  32.4905  3.43674
0.12  3.71877  0  4.3499  28.1703  0  32.3174  3.71877
0.13  4.00015  0  4.67221  28.1053  0  32.1449  4.00015
0.14  4.28088  0  4.9928  28.0408  0  31.9732  4.28088
0.15  4.56097  0  5.31167  27.9767  0  31.8022  4.56097
0.16  4.84042  0  5.62884  27.9129  0  31.6319  4.84042
0.17  5.11923  0  5.94431  27.8496  0  31.4622  5.11923
0.18  5.39741  0  6.25809  27.7867  0  31.2933  5.39741
0.19  5.67496  0  6.57018  27.7241  0  31.1249  5.67496
0.2  5.95189  0  6.88059  27.662  0  30.9573  5.95189
0.21  6.2282  0  7.18933  27.6002  0  30.7903  6.2282
0.22  6.5039  0  7.4964  27.5389  0  30.6239  6.5039
0.23  6.77898  0  7.80181  27.4779  0  30.4582  6.77898
0.24  7.05346  0  8.10557  27.4173  0  30.2931  7.05346
0.25  7.32733  0  8.40768  27.3571  0  30.1287  7.32733
0.26  7.6006  0  8.70814  27.2972  0  29.9649  7.6006
0.27  7.87327  0  9.00698  27.2377  0  29.8017  7.87327
0.28  8.14536  0  9.30418  27.1786  0  29.6391  8.14536
0.29  8.41685  0  9.59976  27.1198  0  29.4771  8.41685
0.3  8.68775  0  9.89372  27.0614  0  29.3158  8.68775
0.31  8.95808  0  10.1861  27.0034  0  29.155  8.95808
0.32  9.22782  0  10.4768  26.9457  0  28.9948  9.22782
0.33  9.49699  0  10.766  26.8884  0  28.8352  9.49699
0.34  9.76559  0  11.0535  26.8314  0  28.6762  9.76559
0.35  10.0336  0  11.3395  26.7748  0  28.5178  10.0336
0.36  10.3011  0  11.6239  26.7185  0  28.36  10.3011
0.37  10.568  0  11.9067  26.6625  0  28.2027  10.568
