t  x  y  z  vx  vy  vz  range
0  0  0  0  34.6252  0  29.054  0
0  0.345946  0  0.289794  34.5641  0  28.9048  0.345946
0.01  0.691283  0  0.578098  34.5034  0  28.7561  0.691283
0.02  1.03602  0  0.864918  34.443  0  28.6079  1.03602
0.03  1.38015  0  1.15026  34.383  0  28.4602  1.38015
0.04  1.72368  0  1.43412  34.3234  0  28.3129  1.72368
0.05  2.06661  0  1.71652  34.2641  0  28.1661  2.06661
0.06  2.40896  0  1.99744  34.2052  0  28.0197  2.40896
0.07  2.75072  0  2.27691  34.1466  0  27.8738  2.75072
0.08  3.09189  0  2.55492  34.0884  0  27.7284  3.09189
0.09  3.43249  0  2.83148  34.0305  0  27.5834  3.43249
0.1  3.7725  0  3.10659  33.973  0  27.4388  3.7725
0.11  4.11195  0  3.38026  33.9158  0  27.2947  4.11195
0.12  4.45082  0  3.65249  33.8589  0  27.151  4.45082
0.13  4.78913  0  3.92328  33.8024  0  27.0078  4.78913
0.14  5.12687  0  4.19264  33.7462  0  26.865  5.12687
0.15  5.46405  0  4.46058  33.6904  0  26.7226  5.46405
0.16  5.80068  0  4.7271  33.6348  0  26.5806  5.80068
0.17  6.13675  0  4.9922  33.5796  0  26.4391  6.13675
0.18  6.47227  0  5.25588  33.5247  0  26.298  6.47227
0.19  6.80725  0  5.51816  33.4702  0  26.1572  6.80725
0.2  7.14168  0  5.77903  33.4159  0  26.0169  7.14168
0.21  7.47557  0  6.0385  33.362  0  25.877  7.47557
0.22  7.80892  0  6.29657  33.3084  0  25.7375  7.80892
0.23  8.14174  0  6.55325  33.2551  0  25.5984  8.14174
0.24  8.47402  0  6.80854  33.2021  0  25.4597  8.47402
0.25  8.80578  0  7.06244  33.1494  0  25.3214  8.80578
0.26  9.13701  0  7.31497  33.097  0  25.1834  9.13701
0.27  9.46772  0  7.56611  33.045  0  25.0459  9.46772
0.28  9.79791  0  7.81588  32.9932  0  24.9087  9.79791
0.29  10.1276  0  8.06429  32.9417  0  24.7719  10.1276
0.3  10.4567  0  8.31132  32.8905  0  24.6355  10.4567
0.31  10.7854  0  8.557  32.8396  0  24.4994  10.7854
0.32  11.1135  0  8.80131  32.789  0  24.3638  11.1135
0.33  11.4412  0  9.04427  32.7387  0  24.2284  11.4412
0.34  11.7683  0  9.28588  32.6886  0  24.0935  11.7683
0.35  12.0949  0  9.52615  32.6389  0  23.9589  12.0949
0.36  12.4211  0  9.76506  32.5894  0  23.8246  12.4211
0.37  12.7467  0  10.0026  32.5402  0  23.6908  12.7467
0.38  13.0719  0  10.2389  32.4913  0  23.5572  13.0719
0.39  13.3966  0  10.4738  32.4427  0  23.424  13.3966
0.4  13.7207  0  10.7074  32.3943  0  23.2912  13.7207
0.41  14.0445  0  10.9396  32.3462  0  23.1587  14.0445
0.42  14.3677  0  11.1705  32.2984  0  23.0265  14.3677
0.43  14.6904  0  11.4001  32.2508  0  22.8947  14.6904
0.44  15.0127  0  11.6284  32.2035  0  22.7632  15.0127
0.45  15.3345  0  11.8554  32.1565  0  22.632  15.3345
0.46  15.6558  0  12.0811  32.1097  0  22.5011  15.6558
0.47  15.9767  0  12.3054  32.0632  0  22.3706  15.9767
0.48  16.2971  0  12.5285  32.0169  0  22.2404  16.2971
0.49  16.617  0  12.7502  31.9709  0  22.1105  16.617
0.5  16.9365  0  12.9707  31.9252  0  21.981  16.9365
0.51  17.2555  0  13.1899  31.8797  0  21.8517  17.2555
0.52  17.5741  0  13.4077  31.8345  0  21.7228  17.5741
0.53  17.8922  0  13.6243  31.7895  0  21.5941  17.8922
0.54  18.2099  0  13.8396  31.7447  0  21.4658  18.2099
0.55  18.5271  0  14.0536  31.7002  0  21.3378  18.5271
0.56  18.8439  0  14.2664  31.656  0  21.2101  18.8439
0.57  19.1602  0  14.4778  31.6119  0  21.0826  19.1602
0.58  19.4761  0  14.688  31.5681  0  20.9555  19.4761
0.59  19.7916  0  14.8969  31.5246  0  20.8287  19.7916
0.6  20.1066  0  15.1046  31.4813  0  20.7021  20.1066
0.61  20.4212  0  15.311  31.4382  0  20.5759  20.4212
0.62  20.7354  0  15.5161  31.3954  0  20.4499  20.7354
0.63  21.0491  0  15.72  31.3528  0  20.3242  21.0491
0.64  21.3624  0  15.9226  31.3104  0  20.1988  21.3624
0.65  21.6753  0  16.124  31.2682  0  20.0737  21.6753
0.66  21.9878  0  16.3241  31.2263  0  19.9488  21.9878
0.67  22.2999  0  16.5229  31.1846  0  19.8242  22.2999
0.68  22.6115  0  16.7206  31.1431  0  19.6999  22.6115
0.69  22.9227  0  16.9169  31.1018  0  19.5759  22.9227
0.7  23.2335  0  17.1121  31.0608  0  19.4521  23.2335
0.71  23.5439  0  17.306  31.0199  0  19.3286  23.5439
0.72  23.8539  0  17.4987  30.9793  0  19.2054  23.8539
0.73  24.1635  0  17.6901  30.9389  0  19.0824  24.1635
0.74  24.4727  0  17.8803  30.8987  0  18.9596  24.4727
0.75  24.7815  0  18.0693  30.8587  0  18.8372  24.7815
0.76  25.0899  0  18.257  30.819  0  18.715  25.0899
0.77  25.3979  0  18.4436  30.7794  0  18.593  25.3979
0.78  25.7055  0  18.6289  30.7401  0  18.4713  25.7055
0.79  26.0127  0  18.813  30.7009  0  18.3498  26.0127
0.8  26.3195  0  18.9959  30.662  0  18.2286  26.3195
0.81  26.6259  0  19.1776  30.6232  0  18.1076  26.6259
0.82  26.932  0  19.3581  30.5847  0  17.9869  26.932
0.83  27.2376  0  19.5373  30.5463  0  17.8664  27.2376
0.84  27.5429  0  19.7154  30.5082  0  17.7462  27.5429
0.85  27.8478  0  19.8922  30.4702  0  17.6262  27.8478
0.86  28.1523  0  20.0679  30.4325  0  17.5064  28.1523
0.87  28.4564  0  20.2424  30.3949  0  17.3868  28.4564
0.88  28.7602  0  20.4156  30.3575  0  17.2675  28.7602
0.89  29.0636  0  20.5877  30.3204  0  17.1484  29.0636
0.9  29.3666  0  20.7586  30.2834  0  17.0296  29.3666
0.91  29.6693  0  20.9283  30.2466  0  16.9109  29.6693
0.92  29.9715  0  21.0968  30.2099  0  16.7925  29.9715
0.93  30.2735  0  21.2642  30.1735  0  16.6743  30.2735
0.94  30.575  0  21.4303  30.1373  0  16.5563  30.575
0.95  30.8762  0  21.5953  30.1012  0  16.4386  30.8762
0.96  31.177  0  21.7591  30.0653  0  16.321  31.177
0.97  31.4775  0  21.9217  30.0296  0  16.2037  31.4775
0.98  31.7776  0  22.0832  29.9941  0  16.0866  31.7776
0.99  32.0774  0  22.2435  29.9587  0  15.9697  32.0774
1  32.3768  0  22.4026  29.9235  0  15.853  32.3768
1.01  32.6759  0  22.5605  29.8885  0  15.7365  32.6759
1.02  32.9746  0  22.7173  29.8537  0  15.6202  32.9746
1.03  33.2729  0  22.8729  29.819  0  15.5042  33.2729
1.04  33.571  0  23.0274  29.7845  0  15.3883  33.571
1.05  33.8686  0  23.1807  29.7502  0  15.2726  33.8686
1.06  34.166  0  23.3328  29.7161  0  15.1571  34.166
1.07  34.463  0  23.4838  29.6821  0  15.0419  34.463
1.08  34.7596  0  23.6337  29.6483  0  14.9268  34.7596
1.09  35.0559  0  23.7824  29.6146  0  14.8119  35.0559
1.1  35.3519  0  23.9299  29.5811  0  14.6972  35.3519
1.11  35.6475  0  24.0763  29.5478  0  14.5827  35.6475
1.12  35.9429  0  24.2216  29.5146  0  14.4684  35.9429
1.13  36.2378  0  24.3657  29.4816  0  14.3542  36.2378
1.14  36.5325  0  24.5086  29.4488  0  14.2403  36.5325
1.15  36.8268  0  24.6505  29.4161  0  14.1265  36.8268
1.16  37.1208  0  24.7912  29.3835  0  14.013  37.1208
1.17  37.4145  0  24.9307  29.3512  0  13.8996  37.4145
1.18  37.7078  0  25.0692  29.3189  0  13.7864  37.7078
1.19  38.0009  0  25.2065  29.2869  0  13.6733  38.0009
1.2  38.2936  0  25.3426  29.2549  0  13.5605  38.2936
1.21  38.586  0  25.4777  29.2231  0  13.4478  38.586
1.22  38.878  0  25.6116  29.1915  0  13.3353  38.878
1.23  39.1698  0  25.7444  29.16  0  13.223  39.1698
1.24  39.4612  0  25.8761  29.1287  0  13.1108  39.4612
1.25  39.7524  0  26.0066  29.0975  0  12.9989  39.7524
1.26  40.0432  0  26.136  29.0665  0  12.887  40.0432
1.27  40.3337  0  26.2643  29.0356  0  12.7754  40.3337
1.28  40.6239  0  26.3915  29.0048  0  12.6639  40.6239
1.29  40.9138  0  26.5176  28.9742  0  12.5526  40.9138
1.3  41.2034  0  26.6426  28.9437  0  12.4414  41.2034
1.31  41.4927  0  26.7665  28.9134  0  12.3305  41.4927
1.32  41.7817  0  26.8892  28.8832  0  12.2196  41.7817
1.33  42.0703  0  27.0108  28.8532  0  12.109  42.0703
1.34  42.3587  0  27.1314  28.8232  0  11.9985  42.3587
1.35  42.6468  0  27.2508  28.7934  0  11.8881  42.6468
1.36  42.9346  0  27.3691  28.7638  0  11.7779  42.9346
1.37  43.2221  0  27.4864  28.7343  0  11.6679  43.2221
1.38  43.5093  0  27.6025  28.7049  0  11.558  43.5093
1.39  43.7962  0  27.7175  28.6756  0  11.4483  43.7962
1.4  44.0828  0  27.8315  28.6465  0  11.3387  44.0828
1.41  44.3691  0  27.9443  28.6175  0  11.2292  44.3691
1.42  44.6551  0  28.0561  28.5886  0  11.12  44.6551
1.43  44.9409  0  28.1667  28.5599  0  11.0108  44.9409
1.44  45.2263  0  28.2763  28.5312  0  10.9018  45.2263
1.45  45.5115  0  28.3847  28.5027  0  10.793  45.5115
1.46  45.7964  0  28.4921  28.4744  0  10.6843  45.7964
1.47  46.081  0  28.5984  28.4461  0  10.5758  46.081
1.48  46.3653  0  28.7037  28.418  0  10.4674  46.3653
1.49  46.6493  0  28.8078  28.39  0  10.3591  46.6493
1.5  46.9331  0  28.9108  28.3621  0  10.251  46.9331
1.51  47.2166  0  29.0128  28.3343  0  10.143  47.2166
1.52  47.4998  0  29.1137  28.3067  0  10.0351  47.4998
1.53  47.7827  0  29.2135  28.2791  0  9.92741  47.7827
1.54  48.0654  0  29.3122  28.2517  0  9.81983  48.0654
1.55  48.3478  0  29.4099  28.2244  0  9.71239  48.3478
1.56  48.6299  0  29.5065  28.1972  0  9.60508  48.6299
1.57  48.9117  0  29.602  28.1702  0  9.4979  48.9117
1.58  49.1933  0  29.6964  28.1432  0  9.39086  49.1933
1.59  49.4746  0  29.7898  28.1163  0  9.28395  49.4746
1.6  49.7556  0  29.8821  28.0896  0  9.17716  49.7556
1.61  50.0364  0  29.9734  28.063  0  9.07051  50.0364
1.62  50.3169  0  30.0635  28.0364  0  8.96398  50.3169
1.63  50.5971  0  30.1526  28.01  0  8.85758  50.5971
1.64  50.8771  0  30.2407  27.9837  0  8.75131  50.8771
1.65  51.1568  0  30.3277  27.9575  0  8.64516  51.1568
1.66  51.4362  0  30.4136  27.9314  0  8.53914  51.4362
1.67  51.7154  0  30.4985  27.9054  0  8.43323  51.7154
1.68  51.9943  0  30.5823  27.8795  0  8.32746  51.9943
1.69  52.273  0  30.665  27.8538  0  8.2218  52.273
1.7  52.5514  0  30.7467  27.8281  0  8.11626  52.5514
1.71  52.8295  0  30.8273  27.8025  0  8.01084  52.8295
1.72  53.1074  0  30.9069  27.777  0  7.90555  53.1074
1.73  53.3851  0  30.9854  27.7516  0  7.80036  53.3851
1.74  53.6625  0  31.0629  27.7263  0  7.6953  53.6625
1.75  53.9396  0  31.1393  27.7011  0  7.59035  53.9396
1.76  54.2165  0  31.2147  27.676  0  7.48552  54.2165
1.77  54.4931  0  31.2891  27.651  0  7.3808  54.4931
1.78  54.7695  0  31.3623  27.6261  0  7.2762  54.7695
1.79  55.0457  0  31.4346  27.6013  0  7.17171  55.0457
1.8  55.3215  0  31.5058  27.5766  0  7.06733  55.3215
1.81  55.5972  0  31.5759  27.552  0  6.96306  55.5972
1.82  55.8726  0  31.645  27.5274  0  6.8589  55.8726
1.83  56.1477  0  31.7131  27.503  0  6.75486  56.1477
1.84  56.4226  0  31.7801  27.4786  0  6.65092  56.4226
1.85  56.6973  0  31.8461  27.4544  0  6.54709  56.6973
1.86  56.9717  0  31.9111  27.4302  0  6.44336  56.9717
1.87  57.2459  0  31.975  27.4061  0  6.33975  57.2459
1.88  57.5199  0  32.0379  27.3821  0  6.23624  57.5199
1.89  57.7936  0  32.0997  27.3582  0  6.13283  57.7936
1.9  58.067  0  32.1605  27.3343  0  6.02953  58.067
1.91  58.3402  0  32.2203  27.3106  0  5.92634  58.3402
1.92  58.6132  0  32.2791  27.2869  0  5.82324  58.6132
1.93  58.886  0  32.3368  27.2633  0  5.72025  58.886
1.94  59.1585  0  32.3935  27.2398  0  5.61736  59.1585
1.95  59.4308  0  32.4491  27.2164  0  5.51457  59.4308
1.96  59.7028  0  32.5038  27.193  0  5.41188  59.7028
1.97  59.9746  0  32.5574  27.1698  0  5.3093  59.9746
1.98  60.2462  0  32.6099  27.1466  0  5.20681  60.2462
1.99  60.5176  0  32.6615  27.1235  0  5.10442  60.5176
2  60.7887  0  32.712  27.1004  0  5.00212  60.7887
2.01  61.0596  0  32.7615  27.0775  0  4.89993  61.0596
2.02  61.3302  0  32.81  27.0546  0  4.79783  61.3302
2.03  61.6007  0  32.8575  27.0318  0  4.69583  61.6007
2.04  61.8709  0  32.9039  27.0091  0  4.59392  61.8709
2.05  62.1409  0  32.9494  26.9864  0  4.4921  62.1409
2.06  62.4106  0  32.9938  26.9638  0  4.39039  62.4106
2.07  62.6801  0  33.0372  26.9413  0  4.28876  62.6801
2.08  62.9494  0  33.0796  26.9189  0  4.18723  62.9494
2.09  63.2185  0  33.1209  26.8965  0  4.08579  63.2185
2.1  63.4874  0  33.1613  26.8742  0  3.98444  63.4874
2.11  63.756  0  33.2006  26.8519  0  3.88318  63.756
2.12  64.0244  0  33.2389  26.8298  0  3.78202  64.0244
2.13  64.2926  0  33.2763  26.8077  0  3.68094  64.2926
2.14  64.5606  0  33.3126  26.7856  0  3.57996  64.5606
2.15  64.8283  0  33.3479  26.7637  0  3.47906  64.8283
