t  x  y  z  vx  vy  vz  range
0  0  0  0  34.6252  0  29.054  0
0  0.345696  0  0.289584  34.5142  0  28.863  0.345696
0.01  0.690286  0  0.577263  34.4038  0  28.6729  0.690286
0.02  1.03378  0  0.863045  34.2943  0  28.4837  1.03378
0.03  1.37617  0  1.14694  34.1854  0  28.2954  1.37617
0.04  1.71749  0  1.42896  34.0772  0  28.1081  1.71749
0.05  2.05772  0  1.7091  33.9698  0  27.9216  2.05772
0.06  2.39688  0  1.98739  33.8631  0  27.736  2.39688
0.07  2.73498  0  2.26383  33.757  0  27.5513  2.73498
0.08  3.07203  0  2.53842  33.6517  0  27.3675  3.07203
0.09  3.40802  0  2.81118  33.547  0  27.1845  3.40802
0.1  3.74297  0  3.08211  33.443  0  27.0024  3.74297
0.11  4.07688  0  3.35123  33.3396  0  26.8211  4.07688
0.12  4.40976  0  3.61854  33.237  0  26.6407  4.40976
0.13  4.74162  0  3.88405  33.1349  0  26.461  4.74162
0.14  5.07246  0  4.14776  33.0336  0  26.2822  5.07246
0.15  5.4023  0  4.40969  32.9328  0  26.1042  5.4023
0.16  5.73112  0  4.66985  32.8328  0  25.927  5.73112
0.17  6.05895  0  4.92824  32.7333  0  25.7507  6.05895
0.18  6.38579  0  5.18487  32.6345  0  25.575  6.38579
0.19  6.71164  0  5.43974  32.5362  0  25.4002  6.71164
0.2  7.03652  0  5.69287  32.4386  0  25.2262  7.03652
0.21  7.36042  0  5.94427  32.3416  0  25.0529  7.36042
0.22  7.68335  0  6.19393  32.2452  0  24.8804  7.68335
0.23  8.00533  0  6.44188  32.1494  0  24.7086  8.00533
0.24  8.32634  0  6.68811  32.0542  0  24.5376  8.32634
0.25  8.64641  0  6.93263  31.9596  0  24.3673  8.64641
0.26  8.96554  0  7.17546  31.8656  0  24.1977  8.96554
0.27  9.28373  0  7.41659  31.7721  0  24.0289  9.28373
0.28  9.60098  0  7.65604  31.6792  0  23.8608  9.60098
0.29  9.91731  0  7.89381  31.5869  0  23.6934  9.91731
0.3  10.2327  0  8.1299  31.4951  0  23.5267  10.2327
0.31  10.5472  0  8.36434  31.4039  0  23.3607  10.5472
0.32  10.8608  0  8.59712  31.3132  0  23.1953  10.8608
0.33  11.1735  0  8.82825  31.223  0  23.0307  11.1735
0.34  11.4853  0  9.05774  31.1335  0  22.8668  11.4853
0.35  11.7962  0  9.28559  31.0444  0  22.7035  11.7962
0.36  12.1062  0  9.51181  30.9559  0  22.5409  12.1062
0.37  12.4153  0  9.73641  30.8678  0  22.3789  12.4153
0.38  12.7235  0  9.95939  30.7804  0  22.2177  12.7235
0.39  13.0309  0  10.1808  30.6934  0  22.057  13.0309
0.4  13.3374  0  10.4005  30.6069  0  21.897  13.3374
0.41  13.643  0  10.6187  30.521  0  21.7377  13.643
0.42  13.9478  0  10.8353  30.4355  0  21.5789  13.9478
0.43  14.2517  0  11.0503  30.3505  0  21.4208  14.2517
0.44  14.5548  0  11.2637  30.2661  0  21.2634  14.5548
0.45  14.8571  0  11.4756  30.1821  0  21.1065  14.8571
0.46  15.1585  0  11.6858  30.0986  0  20.9502  15.1585
0.47  15.459  0  11.8946  30.0156  0  20.7946  15.459
0.48  15.7588  0  12.1017  29.933  0  20.6395  15.7588
0.49  16.0577  0  12.3074  29.851  0  20.4851  16.0577
0.5  16.3558  0  12.5114  29.7694  0  20.3312  16.3558
0.51  16.6531  0  12.714  29.6882  0  20.1779  16.6531
0.52  16.9496  0  12.915  29.6075  0  20.0252  16.9496
0.53  17.2452  0  13.1145  29.5273  0  19.8731  17.2452
0.54  17.5401  0  13.3125  29.4475  0  19.7215  17.5401
0.55  17.8342  0  13.5089  29.3682  0  19.5705  17.8342
0.56  18.1275  0  13.7039  29.2893  0  19.4201  18.1275
0.57  18.42  0  13.8973  29.2109  0  19.2702  18.42
0.58  18.7117  0  14.0893  29.1329  0  19.1209  18.7117
0.59  19.0026  0  14.2797  29.0553  0  18.9721  19.0026
0.6  19.2928  0  14.4687  28.9781  0  18.8238  19.2928
0.61  19.5822  0  14.6562  28.9014  0  18.6761  19.5822
0.62  19.8708  0  14.8422  28.8251  0  18.5289  19.8708
0.63  20.1587  0  15.0268  28.7492  0  18.3823  20.1587
0.64  20.4458  0  15.2099  28.6737  0  18.2362  20.4458
0.65  20.7322  0  15.3915  28.5986  0  18.0905  20.7322
0.66  21.0178  0  15.5717  28.524  0  17.9454  21.0178
0.67  21.3027  0  15.7504  28.4497  0  17.8009  21.3027
0.68  21.5868  0  15.9277  28.3759  0  17.6568  21.5868
0.69  21.8702  0  16.1036  28.3024  0  17.5132  21.8702
0.7  22.1528  0  16.278  28.2293  0  17.3701  22.1528
0.71  22.4348  0  16.451  28.1566  0  17.2275  22.4348
0.72  22.716  0  16.6225  28.0843  0  17.0854  22.716
0.73  22.9964  0  16.7927  28.0124  0  16.9438  22.9964
0.74  23.2762  0  16.9614  27.9409  0  16.8026  23.2762
0.75  23.5553  0  17.1287  27.8697  0  16.6619  23.5553
0.76  23.8336  0  17.2947  27.7989  0  16.5218  23.8336
0.77  24.1112  0  17.4592  27.7285  0  16.382  24.1112
0.78  24.3882  0  17.6223  27.6585  0  16.2428  24.3882
0.79  24.6644  0  17.784  27.5888  0  16.104  24.6644
0.8  24.94  0  17.9444  27.5195  0  15.9656  24.94
0.81  25.2148  0  18.1033  27.4505  0  15.8277  25.2148
0.82  25.489  0  18.2609  27.3819  0  15.6903  25.489
0.83  25.7624  0  18.4172  27.3136  0  15.5533  25.7624
0.84  26.0352  0  18.572  27.2457  0  15.4168  26.0352
0.85  26.3074  0  18.7255  27.1782  0  15.2807  26.3074
0.86  26.5788  0  18.8776  27.111  0  15.145  26.5788
0.87  26.8496  0  19.0284  27.0441  0  15.0097  26.8496
0.88  27.1197  0  19.1778  26.9775  0  14.8749  27.1197
0.89  27.3891  0  19.3259  26.9113  0  14.7406  27.3891
0.9  27.6579  0  19.4726  26.8455  0  14.6066  27.6579
0.91  27.926  0  19.618  26.7799  0  14.4731  27.926
0.92  28.1935  0  19.7621  26.7147  0  14.3399  28.1935
0.93  28.4603  0  19.9048  26.6498  0  14.2072  28.4603
0.94  28.7265  0  20.0462  26.5852  0  14.0749  28.7265
0.95  28.992  0  20.1863  26.521  0  13.943  28.992
0.96  29.2569  0  20.3251  26.457  0  13.8115  29.2569
0.97  29.5212  0  20.4626  26.3934  0  13.6804  29.5212
0.98  29.7848  0  20.5987  26.3301  0  13.5497  29.7848
0.99  30.0478  0  20.7336  26.2671  0  13.4194  30.0478
1  30.3101  0  20.8671  26.2044  0  13.2895  30.3101
1.01  30.5719  0  20.9993  26.142  0  13.16  30.5719
1.02  30.833  0  21.1303  26.0799  0  13.0308  30.833
1.03  31.0935  0  21.26  26.0181  0  12.9021  31.0935
1.04  31.3534  0  21.3883  25.9566  0  12.7737  31.3534
1.05  31.6126  0  21.5154  25.8954  0  12.6457  31.6126
1.06  31.8713  0  21.6413  25.8345  0  12.5181  31.8713
