# t  x  y  z  vx  vy  vz  downrange
0  0  0  0  0  0  0  0
0  0.00021204  0  0.000791344  0.0424085  0  0.158271  0
0.01  0.000848181  0  0.00316546  0.0848202  0  0.316553  0
0.02  0.00190846  0  0.00712245  0.127235  0  0.474848  0
0.03  0.00339289  0  0.0126625  0.169653  0  0.633154  0
0.04  0.00530153  0  0.0197856  0.212074  0  0.791472  0
0.05  0.00763439  0  0.0284919  0.254499  0  0.949801  0
0.06  0.0103915  0  0.0387816  0.296926  0  1.10814  0
0.07  0.0135729  0  0.0506548  0.339357  0  1.2665  0
0.08  0.0171786  0  0.0641116  0.38179  0  1.42486  0
0.09  0.0212087  0  0.0791521  0.424227  0  1.58324  0
0.1  0.0256632  0  0.0957764  0.466667  0  1.74163  0
0.11  0.0305421  0  0.113985  0.50911  0  1.90002  0
0.12  0.0358454  0  0.133777  0.551556  0  2.05844  0
0.13  0.0415732  0  0.155153  0.594006  0  2.21686  0
0.14  0.0477255  0  0.178114  0.636458  0  2.37529  0
0.15  0.0543024  0  0.202659  0.678914  0  2.53374  0
0.16  0.0613038  0  0.228789  0.721373  0  2.6922  0
0.17  0.0687299  0  0.256503  0.763835  0  2.85067  0
0.18  0.0765805  0  0.285802  0.8063  0  3.00915  0.134408
0.19  0.0848559  0  0.316686  0.848768  0  3.16764  0.134408
0.2  0.0935559  0  0.349155  0.891239  0  3.32615  0.134408
0.21  0.102681  0  0.383209  0.933714  0  3.48467  0
0.22  0.11223  0  0.418849  0.976191  0  3.64319  0.134408
0.23  0.122204  0  0.456073  1.01867  0  3.80173  0.134408
0.24  0.132604  0  0.494883  1.06116  0  3.96029  0.134408
0.25  0.143428  0  0.535279  1.10364  0  4.11885  0.164616
0.26  0.154676  0  0.577261  1.14613  0  4.27742  0.134408
0.27  0.16635  0  0.620828  1.18863  0  4.43601  0.212518
0.28  0.178449  0  0.665981  1.23112  0  4.59461  0.212518
0.29  0.190973  0  0.71272  1.27362  0  4.75322  0.164616
0.3  0.203921  0  0.761045  1.31612  0  4.91184  0.164616
0.31  0.217295  0  0.810957  1.35863  0  5.07047  0.212518
0.32  0.231094  0  0.862455  1.40114  0  5.22912  0.212518
0.33  0.245318  0  0.915539  1.44365  0  5.38778  0.251455
0.34  0.259967  0  0.97021  1.48617  0  5.54644  0.251455
0.35  0.275041  0  1.02647  1.52868  0  5.70512  0.300546
0.36  0.290541  0  1.08431  1.5712  0  5.86382  0.300546
0.37  0.306465  0  1.14374  1.61373  0  6.02252  0.300546
0.38  0.322815  0  1.20476  1.65626  0  6.18123  0.300546
0.39  0.339591  0  1.26737  1.69879  0  6.33996  0.329232
0.4  0.356791  0  1.33156  1.74132  0  6.4987  0.329232
0.41  0.374417  0  1.39734  1.78386  0  6.65745  0.380164
0.42  0.392468  0  1.46471  1.8264  0  6.81621  0.391864
0.43  0.410945  0  1.53367  1.86894  0  6.97498  0.414275
0.44  0.429847  0  1.60421  1.91149  0  7.13377  0.435533
0.45  0.449175  0  1.67634  1.95404  0  7.29256  0.445782
0.46  0.468928  0  1.75006  1.99659  0  7.45137  0.445782
0.47  0.489106  0  1.82537  2.03915  0  7.61019  0.50291
0.48  0.509711  0  1.90227  2.0817  0  7.76903  0.511812
0.49  0.530741  0  1.98075  2.12427  0  7.91155  0.529166
0.5  0.552197  0  2.06017  2.16716  0  7.9724  0.562271
0.51  0.574085  0  2.1402  2.21055  0  8.03312  0.570247
0.52  0.59641  0  2.22083  2.25444  0  8.09373  0.601093
0.53  0.619176  0  2.30207  2.29882  0  8.1542  0.623226
0.54  0.642388  0  2.38392  2.34371  0  8.21455  0.651569
0.55  0.666052  0  2.46636  2.3891  0  8.27477  0.672042
0.56  0.690172  0  2.54941  2.43499  0  8.33485  0.685351
0.57  0.714753  0  2.63306  2.48138  0  8.39481  0.717545
0.58  0.739801  0  2.71731  2.52827  0  8.45462  0.742295
0.59  0.76532  0  2.80215  2.57568  0  8.5143  0.772118
0.6  0.791316  0  2.88759  2.62358  0  8.57384  0.789471
0.61  0.817794  0  2.97363  2.67199  0  8.63323  0.812031
0.62  0.844758  0  3.06026  2.72092  0  8.69248  0.850073
0.63  0.872214  0  3.14748  2.77034  0  8.75159  0.876236
0.64  0.900166  0  3.23529  2.82028  0  8.81055  0.891565
0.65  0.928621  0  3.32369  2.87073  0  8.86935  0.926346
0.66  0.957583  0  3.41267  2.92169  0  8.92801  0.959868
0.67  0.987056  0  3.50225  2.97315  0  8.98651  0.992258
0.68  1.01705  0  3.5924  3.02514  0  9.04485  1.01476
0.69  1.04756  0  3.68314  3.07763  0  9.10304  1.04545
0.7  1.0786  0  3.77446  3.13064  0  9.16106  1.07527
0.71  1.11018  0  3.86636  3.18416  0  9.21892  1.11648
0.72  1.14229  0  3.95884  3.23819  0  9.27662  1.14049
0.73  1.17494  0  4.0519  3.29274  0  9.33415  1.17175
0.74  1.20814  0  4.14552  3.3478  0  9.39152  1.2134
0.75  1.2419  0  4.23973  3.40338  0  9.44871  1.23918
0.76  1.27621  0  4.3345  3.45948  0  9.50573  1.27511
0.77  1.31109  0  4.42984  3.5161  0  9.56257  1.31005
0.78  1.34654  0  4.52575  3.57323  0  9.61924  1.34744
0.79  1.38256  0  4.62222  3.63088  0  9.67573  1.38708
0.8  1.41916  0  4.71926  3.68904  0  9.73203  1.41927
0.81  1.45634  0  4.81686  3.74773  0  9.78816  1.45695
0.82  1.49411  0  4.91503  3.80693  0  9.84409  1.49369
0.83  1.53248  0  5.01375  3.86666  0  9.89985  1.53544
0.84  1.57145  0  5.11302  3.9269  0  9.95541  1.57034
0.85  1.61102  0  5.21285  3.98766  0  10.0108  1.6101
0.86  1.6512  0  5.31324  4.04894  0  10.066  1.6489
0.87  1.692  0  5.41417  4.11074  0  10.1209  1.69216
0.88  1.73342  0  5.51565  4.17307  0  10.1757  1.73694
0.89  1.77546  0  5.61769  4.23591  0  10.2303  1.77297
0.9  1.81814  0  5.72026  4.29927  0  10.2847  1.81576
0.91  1.86145  0  5.82338  4.36315  0  10.3389  1.86242
0.92  1.9054  0  5.92704  4.42756  0  10.3928  1.9032
0.93  1.95  0  6.03123  4.49248  0  10.4466  1.94776
0.94  1.99525  0  6.13597  4.55792  0  10.5001  1.99586
0.95  2.04116  0  6.24124  4.62389  0  10.5535  2.0384
0.96  2.08773  0  6.34704  4.69037  0  10.6066  2.08874
0.97  2.13497  0  6.45337  4.75738  0  10.6595  2.13155
0.98  2.18288  0  6.56023  4.82491  0  10.7122  2.18388
0.99  2.23147  0  6.66761  4.89295  0  10.7647  2.22891
1  2.28074  0  6.77552  4.96152  0  10.8169  2.28099
1.01  2.3307  0  6.88395  5.03061  0  10.869  2.32802
1.02  2.38136  0  6.9929  5.10021  0  10.9207  2.37793
1.03  2.43271  0  7.10236  5.17034  0  10.9723  2.43053
1.04  2.48477  0  7.21234  5.24098  0  11.0237  2.48746
1.05  2.53753  0  7.32284  5.31215  0  11.0748  2.53779
1.06  2.59101  0  7.43384  5.38383  0  11.1256  2.58889
1.07  2.64521  0  7.54535  5.45603  0  11.1763  2.64583
1.08  2.70013  0  7.65736  5.52875  0  11.2267  2.69823
1.09  2.75579  0  7.76988  5.60199  0  11.2768  2.75619
1.1  2.81217  0  7.8829  5.67575  0  11.3267  2.80975
1.11  2.8693  0  7.99641  5.75002  0  11.3764  2.87018
1.12  2.92718  0  8.11042  5.82481  0  11.4258  2.92628
1.13  2.9858  0  8.22493  5.90011  0  11.475  2.98435
1.14  3.04518  0  8.33992  5.97593  0  11.5239  3.04725
1.15  3.10532  0  8.4554  6.05227  0  11.5725  3.10742
1.16  3.16623  0  8.57137  6.12912  0  11.6209  3.16788
