#Iteration	Over	Under
1	2	0.5
2	4	0.25
3	8	0.125
4	16	0.0625
5	32	0.03125
6	64	0.015625
7	128	0.0078125
8	256	0.00390625
9	512	0.001953125
10	1024	0.0009765625
11	2048	0.00048828125
12	4096	0.000244140625
13	8192	0.0001220703125
14	16384	6.103515625e-05
15	32768	3.0517578125e-05
16	65536	1.52587890625e-05
17	131072	7.62939453125e-06
18	262144	3.81469726562e-06
19	524288	1.90734863281e-06
20	1048576	9.53674316406e-07
21	2097152	4.76837158203e-07
22	4194304	2.38418579102e-07
23	8388608	1.19209289551e-07
24	16777216	5.96046447754e-08
25	33554432	2.98023223877e-08
26	67108864	1.49011611938e-08
27	134217728	7.45058059692e-09
28	268435456	3.72529029846e-09
29	536870912	1.86264514923e-09
30	1073741824	9.31322574615e-10
31	2147483648	4.65661287308e-10
32	4294967296	2.32830643654e-10
33	8589934592	1.16415321827e-10
34	17179869184	5.82076609135e-11
35	34359738368	2.91038304567e-11
36	68719476736	1.45519152284e-11
37	137438953472	7.27595761418e-12
38	274877906944	3.63797880709e-12
39	549755813888	1.81898940355e-12
40	1.09951162778e+12	9.09494701773e-13
41	2.19902325555e+12	4.54747350886e-13
42	4.3980465111e+12	2.27373675443e-13
43	8.79609302221e+12	1.13686837722e-13
44	1.75921860444e+13	5.68434188608e-14
45	3.51843720888e+13	2.84217094304e-14
46	7.03687441777e+13	1.42108547152e-14
47	1.40737488355e+14	7.1054273576e-15
48	2.81474976711e+14	3.5527136788e-15
49	5.62949953421e+14	1.7763568394e-15
50	1.12589990684e+15	8.881784197e-16
51	2.25179981369e+15	4.4408920985e-16
52	4.50359962737e+15	2.22044604925e-16
53	9.00719925474e+15	1.11022302463e-16
54	1.80143985095e+16	5.55111512313e-17
55	3.6028797019e+16	2.77555756156e-17
56	7.20575940379e+16	1.38777878078e-17
57	1.44115188076e+17	6.93889390391e-18
58	2.88230376152e+17	3.46944695195e-18
59	5.76460752303e+17	1.73472347598e-18
60	1.15292150461e+18	8.67361737988e-19
61	2.30584300921e+18	4.33680868994e-19
62	4.61168601843e+18	2.16840434497e-19
63	9.22337203685e+18	1.08420217249e-19
64	1.84467440737e+19	5.42101086243e-20
65	3.68934881474e+19	2.71050543121e-20
66	7.37869762948e+19	1.35525271561e-20
67	1.4757395259e+20	6.77626357803e-21
68	2.95147905179e+20	3.38813178902e-21
69	5.90295810359e+20	1.69406589451e-21
70	1.18059162072e+21	8.47032947254e-22
71	2.36118324143e+21	4.23516473627e-22
72	4.72236648287e+21	2.11758236814e-22
73	9.44473296574e+21	1.05879118407e-22
74	1.88894659315e+22	5.29395592034e-23
75	3.7778931863e+22	2.64697796017e-23
76	7.55578637259e+22	1.32348898008e-23
77	1.51115727452e+23	6.61744490042e-24
78	3.02231454904e+23	3.30872245021e-24
79	6.04462909807e+23	1.65436122511e-24
80	1.20892581961e+24	8.27180612553e-25
81	2.41785163923e+24	4.13590306277e-25
82	4.83570327846e+24	2.06795153138e-25
83	9.67140655692e+24	1.03397576569e-25
84	1.93428131138e+25	5.16987882846e-26
85	3.86856262277e+25	2.58493941423e-26
86	7.73712524553e+25	1.29246970711e-26
87	1.54742504911e+26	6.46234853557e-27
88	3.09485009821e+26	3.23117426779e-27
89	6.18970019643e+26	1.61558713389e-27
90	1.23794003929e+27	8.07793566946e-28
91	2.47588007857e+27	4.03896783473e-28
92	4.95176015714e+27	2.01948391737e-28
93	9.90352031428e+27	1.00974195868e-28
94	1.98070406286e+28	5.04870979341e-29
95	3.96140812571e+28	2.52435489671e-29
96	7.92281625143e+28	1.26217744835e-29
97	1.58456325029e+29	6.31088724177e-30
98	3.16912650057e+29	3.15544362088e-30
99	6.33825300114e+29	1.57772181044e-30
100	1.26765060023e+30	7.88860905221e-31
101	2.53530120046e+30	3.94430452611e-31
102	5.07060240091e+30	1.97215226305e-31
103	1.01412048018e+31	9.86076131526e-32
104	2.02824096037e+31	4.93038065763e-32
105	4.05648192073e+31	2.46519032882e-32
106	8.11296384146e+31	1.23259516441e-32
107	1.62259276829e+32	6.16297582204e-33
108	3.24518553658e+32	3.08148791102e-33
109	6.49037107317e+32	1.54074395551e-33
110	1.29807421463e+33	7.70371977755e-34
111	2.59614842927e+33	3.85185988877e-34
112	5.19229685853e+33	1.92592994439e-34
113	1.03845937171e+34	9.62964972194e-35
114	2.07691874341e+34	4.81482486097e-35
115	4.15383748683e+34	2.40741243048e-35
116	8.30767497366e+34	1.20370621524e-35
117	1.66153499473e+35	6.01853107621e-36
118	3.32306998946e+35	3.00926553811e-36
119	6.64613997892e+35	1.50463276905e-36
120	1.32922799578e+36	7.52316384526e-37
121	2.65845599157e+36	3.76158192263e-37
122	5.31691198314e+36	1.88079096132e-37
123	1.06338239663e+37	9.40395480658e-38
124	2.12676479326e+37	4.70197740329e-38
125	4.25352958651e+37	2.35098870164e-38
126	8.50705917302e+37	1.17549435082e-38
127	1.7014118346e+38	5.87747175411e-39
128	inf	2.93873587706e-39
129	inf	1.46936793853e-39
130	inf	7.34683969264e-40
131	inf	3.67341984632e-40
132	inf	1.83670992316e-40
133	inf	9.1835496158e-41
134	inf	4.5917748079e-41
135	inf	2.29588740395e-41
136	inf	1.14794370197e-41
137	inf	5.73971850987e-42
138	inf	2.86985925494e-42
139	inf	1.43492962747e-42
140	inf	7.17464813734e-43
141	inf	3.58732406867e-43
142	inf	1.79366203434e-43
143	inf	8.96831017168e-44
144	inf	4.48415508584e-44
145	inf	2.24207754292e-44
146	inf	1.12103877146e-44
147	inf	5.6051938573e-45
148	inf	2.80259692865e-45
149	inf	1.40129846432e-45
150	inf	0
