i	t	sum
0	-6	1.58963e-27
1	-5.99988	2.8026e-27
2	-5.99976	3.6772e-27
3	-5.99964	4.25993e-27
4	-5.99952	4.60463e-27
5	-5.9994	4.77132e-27
6	-5.99928	4.82505e-27
7	-5.99916	4.83455e-27
8	-5.99904	4.87083e-27
9	-5.99892	5.00573e-27
10	-5.9988	5.31042e-27
11	-5.99868	5.85393e-27
12	-5.99856	6.70172e-27
13	-5.99844	7.91432e-27
14	-5.99832	9.54603e-27
15	-5.9982	1.16438e-26
16	-5.99808	1.42463e-26
17	-5.99796	1.73827e-26
18	-5.99784	2.10728e-26
19	-5.99772	2.53255e-26
20	-5.9976	3.01397e-26
21	-5.99748	3.55032e-26
22	-5.99736	4.13936e-26
23	-5.99724	4.77783e-26
24	-5.99712	5.46154e-26
25	-5.997	6.1854e-26
26	-5.99688	6.94355e-26
27	-5.99676	7.72947e-26
28	-5.99664	8.53606e-26
29	-5.99652	9.35584e-26
30	-5.9964	1.0181e-25
31	-5.99628	1.10038e-25
32	-5.99616	1.18162e-25
33	-5.99604	1.26106e-25
34	-5.99592	1.33796e-25
35	-5.9958	1.41163e-25
36	-5.99568	1.48145e-25
37	-5.99556	1.54685e-25
38	-5.99544	1.60738e-25
39	-5.99532	1.66263e-25
40	-5.9952	1.71234e-25
41	-5.99508	1.75634e-25
42	-5.99496	1.79456e-25
43	-5.99484	1.82705e-25
44	-5.99472	1.85398e-25
45	-5.9946	1.87562e-25
46	-5.99448	1.89235e-25
47	-5.99436	1.90465e-25
48	-5.99424	1.91309e-25
49	-5.99412	1.91833e-25
50	-5.994	1.9211e-25
51	-5.99388	1.92218e-25
52	-5.99376	1.92239e-25
53	-5.99364	1.92261e-25
54	-5.99352	1.92371e-25
55	-5.9934	1.92657e-25
56	-5.99328	1.93206e-25
57	-5.99316	1.941e-25
58	-5.99304	1.9542e-25
59	-5.99292	1.97238e-25
60	-5.9928	1.99621e-25
61	-5.99268	2.02626e-25
62	-5.99256	2.06302e-25
63	-5.99244	2.10688e-25
64	-5.99232	2.15811e-25
65	-5.9922	2.21687e-25
66	-5.99208	2.28321e-25
67	-5.99196	2.35704e-25
68	-5.99184	2.43818e-25
69	-5.99172	2.52631e-25
70	-5.9916	2.62101e-25
71	-5.99148	2.72176e-25
72	-5.99136	2.82792e-25
73	-5.99124	2.93878e-25
74	-5.99112	3.05357e-25
75	-5.991	3.17141e-25
76	-5.99088	3.29142e-25
77	-5.99076	3.41265e-25
78	-5.99064	3.53413e-25
79	-5.99052	3.65492e-25
80	-5.9904	3.77403e-25
81	-5.99028	3.89055e-25
82	-5.99016	4.00358e-25
83	-5.99004	4.11227e-25
84	-5.98992	4.21587e-25
85	-5.9898	4.31366e-25
86	-5.98968	4.40506e-25
87	-5.98956	4.48957e-25
88	-5.98944	4.56679e-25
89	-5.98932	4.63644e-25
90	-5.9892	4.69838e-25
91	-5.98908	4.75257e-25
92	-5.98896	4.79912e-25
93	-5.98884	4.83824e-25
94	-5.98872	4.87027e-25
95	-5.9886	4.89568e-25
96	-5.98848	4.91504e-25
97	-5.98836	4.92902e-25
98	-5.98824	4.9384e-25
99	-5.98812	4.94403e-25
100	-5.988	4.94684e-25
101	-5.98788	4.94782e-25
102	-5.98776	4.94799e-25
103	-5.98764	4.94842e-25
104	-5.98752	4.95018e-25
105	-5.9874	4.95435e-25
106	-5.98728	4.96199e-25
107	-5.98716	4.97414e-25
108	-5.98704	4.99178e-25
109	-5.98692	5.01584e-25
110	-5.9868	5.04717e-25
111	-5.98668	5.08654e-25
112	-5.98656	5.13464e-25
113	-5.98644	5.19203e-25
114	-5.98632	5.25917e-25
115	-5.9862	5.33639e-25
116	-5.98608	5.42391e-25
117	-5.98596	5.5218e-25
118	-5.98584	5.63002e-25
119	-5.98572	5.74839e-25
120	-5.9856	5.8766e-25
121	-5.98548	6.01421e-25
122	-5.98536	6.16068e-25
123	-5.98524	6.31533e-25
124	-5.98512	6.47739e-25
125	-5.985	6.646e-25
126	-5.98488	6.8202e-25
127	-5.98476	6.99897e-25
128	-5.98464	7.18123e-25
129	-5.98452	7.36584e-25
130	-5.9844	7.55164e-25
131	-5.98428	7.73746e-25
132	-5.98416	7.92213e-25
133	-5.98404	8.10446e-25
134	-5.98392	8.28333e-25
135	-5.9838	8.45764e-25
136	-5.98368	8.62635e-25
137	-5.98356	8.78849e-25
138	-5.98344	8.94319e-25
139	-5.98332	9.08963e-25
140	-5.9832	9.22714e-25
141	-5.98308	9.35513e-25
142	-5.98296	9.47315e-25
143	-5.98284	9.58087e-25
144	-5.98272	9.67809e-25
145	-5.9826	9.76474e-25
146	-5.98248	9.8409e-25
147	-5.98236	9.90677e-25
148	-5.98224	9.96268e-25
149	-5.98212	1.00091e-24
150	-5.982	1.00466e-24
151	-5.98188	1.0076e-24
152	-5.98176	1.0098e-24
153	-5.98164	1.01136e-24
154	-5.98152	1.01237e-24
155	-5.9814	1.01296e-24
156	-5.98128	1.01323e-24
157	-5.98116	1.01331e-24
158	-5.98104	1.01333e-24
159	-5.98092	1.01341e-24
160	-5.9808	1.01369e-24
161	-5.98068	1.01429e-24
162	-5.98056	1.01536e-24
163	-5.98044	1.017e-24
164	-5.98032	1.01936e-24
165	-5.9802	1.02254e-24
166	-5.98008	1.02665e-24
167	-5.97996	1.0318e-24
168	-5.97984	1.03808e-24
169	-5.97972	1.04558e-24
170	-5.9796	1.05436e-24
171	-5.97948	1.06448e-24
172	-5.97936	1.076e-24
173	-5.97924	1.08894e-24
174	-5.97912	1.10334e-24
175	-5.979	1.11919e-24
176	-5.97888	1.13648e-24
177	-5.97876	1.15521e-24
178	-5.97864	1.17533e-24
179	-5.97852	1.1968e-24
180	-5.9784	1.21955e-24
181	-5.97828	1.24352e-24
182	-5.97816	1.26863e-24
183	-5.97804	1.29476e-24
184	-5.97792	1.32183e-24
185	-5.9778	1.34972e-24
186	-5.97768	1.3783e-24
187	-5.97756	1.40745e-24
188	-5.97744	1.43703e-24
189	-5.97732	1.46692e-24
190	-5.9772	1.49695e-24
191	-5.97708	1.52701e-24
192	-5.97696	1.55693e-24
193	-5.97684	1.58658e-24
194	-5.97672	1.61583e-24
195	-5.9766	1.64454e-24
196	-5.97648	1.67257e-24
197	-5.97636	1.69981e-24
198	-5.97624	1.72614e-24
199	-5.97612	1.75146e-24
200	-5.976	1.77565e-24
201	-5.97588	1.79865e-24
202	-5.97576	1.82037e-24
203	-5.97564	1.84074e-24
204	-5.97552	1.85972e-24
205	-5.9754	1.87727e-24
206	-5.97528	1.89337e-24
207	-5.97516	1.908e-24
208	-5.97504	1.92116e-24
209	-5.97492	1.93287e-24
210	-5.9748	1.94317e-24
211	-5.97468	1.95209e-24
212	-5.97456	1.9597e-24
213	-5.97444	1.96606e-24
214	-5.97432	1.97125e-24
215	-5.9742	1.97538e-24
216	-5.97408	1.97853e-24
217	-5.97396	1.98084e-24
218	-5.97384	1.98242e-24
219	-5.97372	1.9834e-24
220	-5.9736	1.98392e-24
221	-5.97348	1.98413e-24
222	-5.97336	1.98417e-24
223	-5.97324	1.98421e-24
224	-5.97312	1.98439e-24
225	-5.973	1.98486e-24
226	-5.97288	1.9858e-24
227	-5.97276	1.98735e-24
228	-5.97264	1.98967e-24
229	-5.97252	1.9929e-24
230	-5.9724	1.99719e-24
231	-5.97228	2.00269e-24
232	-5.97216	2.00952e-24
233	-5.97204	2.0178e-24
234	-5.97192	2.02766e-24
235	-5.9718	2.03919e-24
236	-5.97168	2.0525e-24
237	-5.97156	2.06767e-24
238	-5.97144	2.08477e-24
239	-5.97132	2.10386e-24
240	-5.9712	2.12499e-24
241	-5.97108	2.1482e-24
242	-5.97096	2.1735e-24
243	-5.97084	2.20091e-24
244	-5.97072	2.23042e-24
245	-5.9706	2.26201e-24
246	-5.97048	2.29565e-24
247	-5.97036	2.33129e-24
248	-5.97024	2.36888e-24
249	-5.97012	2.40835e-24
250	-5.97	2.4496e-24
251	-5.96988	2.49256e-24
252	-5.96976	2.53711e-24
253	-5.96964	2.58315e-24
254	-5.96952	2.63054e-24
255	-5.9694	2.67916e-24
256	-5.96928	2.72887e-24
257	-5.96916	2.77951e-24
258	-5.96904	2.83095e-24
259	-5.96892	2.88302e-24
260	-5.9688	2.93556e-24
261	-5.96868	2.98841e-24
262	-5.96856	3.04141e-24
263	-5.96844	3.09439e-24
264	-5.96832	3.14718e-24
265	-5.9682	3.19963e-24
266	-5.96808	3.25157e-24
267	-5.96796	3.30285e-24
268	-5.96784	3.3533e-24
269	-5.96772	3.40279e-24
270	-5.9676	3.45118e-24
271	-5.96748	3.49832e-24
272	-5.96736	3.54409e-24
273	-5.96724	3.58838e-24
274	-5.96712	3.63108e-24
275	-5.967	3.67208e-24
