# i	Trapez	Simpson
3	0.262478828	-0.650028229
5	0.47167927	0.54141283
7	1.82035148	1.29766977
9	1.69836235	2.10725665
11	0.663729608	1.16646171
13	0.754205108	0.398822784
15	0.59899044	0.495556742
17	1.17408729	0.999329209
19	1.00261223	1.22996175
21	0.637212157	0.628372788
23	1.99082696	1.89500833
25	0.837001443	0.864600182
27	1.31237864	1.3194294
29	0.597043037	0.596394062
31	1.12196326	1.44159913
33	1.09517086	1.06886518
35	0.171172857	0.0652104989
37	0.601808608	0.468207359
39	0.339486599	0.54222858
41	1.04001606	1.17428398
43	0.628182828	0.349625289
45	1.09438932	0.795576453
47	0.504106879	0.503550291
49	1.07665634	1.15654111
51	0.835232198	0.772294283
53	1.07431269	0.994957507
55	0.711287439	0.816581726
57	0.908725381	1.01261973
59	0.962504566	0.919562817
61	0.629622817	0.465509385
63	0.69586283	0.70859164
65	0.869753897	0.794614851
67	1.22316515	0.92907095
69	0.303925484	0.348176271
71	0.862175941	1.07689548
73	0.833666503	0.910952389
75	0.761469543	0.704023719
77	1.13567495	1.40107083
79	1.03519177	1.07239163
81	0.831731379	0.762303174
83	1.13425136	1.06186795
85	0.591622233	0.579435408
87	0.802266657	0.610035837
89	1.05011165	1.03535223
91	0.735287249	0.967366159
93	0.776099384	0.866763473
95	0.760340214	0.594672918
97	0.901159167	0.84266001
99	1.03652596	1.04181457
101	0.578407347	0.492799222
103	0.668781996	0.676094353
105	1.2949326	1.36847258
107	0.847676754	0.825052738
109	0.589013755	0.548256159
111	0.94522208	1.03578687
113	0.938329518	0.948197305
115	0.696494043	0.681270242
117	0.714146018	0.631359756
119	0.86490804	0.815519929
121	0.829520524	0.896152914
123	0.757753432	0.769557834
125	0.960093319	1.04816997
127	0.776979327	0.743957281
129	0.73500526	0.690088987
131	0.967764854	1.1688509
133	1.00938928	0.938129902
135	1.00653553	0.953459203
137	0.882490814	1.07534575
139	0.615016043	0.583041012
141	0.699785292	0.645655155
143	1.09413886	1.20082664
145	0.894754052	0.915116966
147	0.824630201	0.690604806
149	0.737179875	0.729083657
151	0.889580548	0.962075889
153	1.13502979	1.13481462
155	0.980896175	0.986562133
157	0.937570035	0.905029237
159	0.704958737	0.651590586
161	0.926687837	0.958339989
163	0.973011255	1.00446141
165	0.995125592	0.948751211
167	0.826361239	0.82009691
169	0.659275115	0.681826591
171	0.804284453	0.719876707
173	0.85092324	0.867142498
175	0.997116923	0.992879212
177	0.898007929	0.847306609
179	0.501015663	0.564673662
181	0.689897418	0.674767494
183	1.05867684	1.04817045
185	1.0637964	1.15969503
187	0.828717887	0.787886262
189	0.832441747	0.856474876
191	0.786179125	0.855845153
193	0.763038814	0.716998816
195	0.946552217	0.976169527
197	1.18015194	1.22802746
199	0.995043457	0.928114176
201	0.849227905	0.939501405
203	0.774086058	0.737389326
205	0.698070407	0.707833111
207	0.92984432	0.974889576
209	0.983376682	0.879524887
211	0.968659163	1.00051701
213	0.8671875	0.873691261
215	0.676952362	0.638825238
217	0.620220006	0.630622089
219	0.674737394	0.744928837
221	0.739363849	0.670744181
223	1.02590919	1.02084899
225	1.00207937	1.02332878
227	1.18025577	1.1091032
229	0.957604587	1.0446409
231	0.981410503	0.933874488
233	0.797205746	0.82489264
235	0.864699125	0.876197934
237	0.777890027	0.748883963
239	0.86879015	0.872786283
241	0.966583431	1.01227152
243	0.967108965	0.908688366
245	0.970031023	1.0407902
247	1.03054905	0.991869867
249	0.83990258	0.799839675
251	0.892049134	0.943848014
253	0.733795762	0.719401598
255	0.782844841	0.839917779
257	0.696012676	0.683014631
259	0.934362411	0.889108479
261	1.01825917	1.03508937
263	1.04906499	1.00337493
265	1.0225966	1.02699816
267	0.825512767	0.882998765
269	0.816125751	0.752655923
271	0.728656054	0.774161756
273	0.760745764	0.72016418
275	0.868305564	0.800898612
277	0.779885948	0.834842324
279	0.834893525	0.753507137
281	0.858236969	0.911053777
283	0.905246079	0.897975624
285	1.11093366	1.11653125
287	1.05769956	1.09276199
289	0.880873024	0.876246393
291	0.89046073	0.870396316
293	0.918466091	0.949744105
295	0.902936757	0.839132965
297	0.818348646	0.845405102
299	0.694518864	0.664216042
301	0.737333715	0.686585069
303	0.863928854	0.921700537
305	0.852409542	0.758202791
307	0.779277444	0.864267588
309	0.823843539	0.771492481
311	0.985572278	0.999392331
313	1.01119113	1.03573191
315	0.845149159	0.804100752
317	0.909073412	0.977111697
319	1.09016442	1.05592179
321	0.984628499	1.00394189
323	0.88575834	0.90583843
325	0.926978648	0.911634028
327	0.998297274	1.04564548
329	0.918633938	0.893136084
331	0.793446362	0.821188807
333	0.873090446	0.888667405
335	0.799549699	0.77172488
337	0.774676323	0.813143551
339	0.823858917	0.779185712
341	0.842256427	0.854913652
343	0.687050939	0.672948062
345	0.726261318	0.684706867
347	0.815965414	0.854465067
349	0.766384125	0.689473391
351	0.776740611	0.805639982
353	0.885566294	0.881418705
355	0.755821228	0.710808277
357	0.747610331	0.829807997
359	0.839060843	0.789818406
361	0.815402389	0.857238472
363	0.791333079	0.815533996
365	0.950809419	0.914852977
367	0.8616364	0.914681375
369	0.861555576	0.794141829
371	0.948821306	0.964177668
373	0.813880146	0.808933854
375	0.871216178	0.847003579
377	0.901475012	0.924486697
379	0.811856747	0.814043283
381	0.910317719	0.951697409
383	0.905307114	0.861316741
385	0.851858139	0.881464481
387	0.974336267	0.939832687
389	0.890723765	0.872113705
391	0.908236086	0.970210671
393	0.986462414	0.921899855
395	0.859559655	0.916521251
397	0.957004547	0.944323778
399	0.92808187	0.910812557
401	0.869607747	0.87640202
403	0.949823201	0.937191069
405	0.85599947	0.883304119
407	0.923189998	0.884434402
409	0.8650527	0.920713186
411	0.850461066	0.804738641
413	0.918434083	0.914630055
415	0.803016543	0.849206388
417	0.886189699	0.853793085
419	0.807541907	0.823855698
421	0.849432111	0.809690952
423	0.841424465	0.878099144
425	0.770358682	0.738082886
427	0.84540385	0.872962058
429	0.750554085	0.775086999
431	0.839656949	0.786551654
433	0.747743905	0.790251553
435	0.796761572	0.784117222
437	0.755046129	0.781815529
439	0.780577123	0.721034586
441	0.820009589	0.846890926
443	0.796869576	0.816993058
445	0.882337928	0.834480762
447	0.834669948	0.853537321
449	0.94587028	0.927134097
451	0.879072845	0.923166513
453	0.989605546	0.926056564
455	0.912741065	0.939042389
457	0.99813652	1.0116483
459	0.911682844	0.897392452
461	0.9794541	0.978801847
463	0.909732103	0.890667856
465	0.970870256	1.02875793
467	0.901801884	0.836988568
469	0.929257035	0.950776577
471	0.837242305	0.835372806
473	0.845922709	0.868600726
475	0.768606067	0.737182379
477	0.812942564	0.794326007
479	0.769825697	0.819660842
481	0.835083961	0.791250885
483	0.779601634	0.797747791
485	0.845655322	0.805170417
487	0.798527598	0.844330609
489	0.911510646	0.892003477
491	0.883213699	0.888745725
493	0.988150597	0.974018395
495	0.910165489	0.915911674
497	0.979896963	1.02656114
499	0.905323207	0.851315975
501	0.967108786	0.992129445
503	0.881485343	0.853744328
505	0.869301438	0.914470494
507	0.805001199	0.773879588
509	0.796139956	0.800571918
511	0.816341937	0.800067544
513	0.770883024	0.795839906
515	0.833900213	0.85505414
517	0.808256388	0.766221344
519	0.935505867	0.957820654
521	0.898065209	0.858001173
523	0.957700551	1.02015567
525	0.944688618	0.909896851
527	0.945852041	0.958679199
529	0.933489084	0.903786421
531	0.827643812	0.846128464
533	0.867863774	0.881981313
535	0.784339011	0.778701842
537	0.808605313	0.806099057
539	0.798234224	0.770105302
541	0.833127558	0.867951691
543	0.909544349	0.893051982
545	0.873054206	0.910490036
547	0.974571288	0.922000289
549	0.944176435	0.969466448
551	0.916180611	0.887043417
553	0.914552331	0.959442139
555	0.823082566	0.812267423
557	0.829399884	0.827568412
559	0.781119406	0.765212476
561	0.811891019	0.796442509
563	0.867420971	0.905238748
565	0.857643008	0.841775954
567	0.958400309	0.993344367
569	0.941944063	0.885614514
571	0.916476667	0.94770962
573	0.937085152	0.896881223
575	0.820125461	0.873336375
577	0.81635803	0.79485333
579	0.825084209	0.852203786
581	0.780162692	0.743395865
583	0.883044004	0.882927597
585	0.909875512	0.907011807
587	0.91394937	0.923539639
589	0.977247655	1.00201738
591	0.895489395	0.880117416
593	0.854225039	0.866184294
595	0.849847198	0.805665195
597	0.775444627	0.802421093
599	0.819530666	0.793839276
601	0.882020473	0.930248976
603	0.891836762	0.870598614
605	0.943463326	0.969974875
607	0.954980612	0.915344238
609	0.878235042	0.886844099
611	0.839993954	0.818923235
613	0.834885538	0.853421807
615	0.780630708	0.791809976
617	0.847108185	0.85486424
619	0.921552956	0.930380225
621	0.911412835	0.886692882
623	0.941093624	0.944918036
625	0.918962419	0.88822031
627	0.834832191	0.862175167
629	0.795571029	0.779044271
631	0.83887285	0.883086145
633	0.838643968	0.815167725
635	0.893128812	0.923891723
637	0.958472669	0.914575756
639	0.932674229	0.951720297
641	0.859145105	0.817317784
643	0.841176867	0.872491717
645	0.820891082	0.799267232
647	0.806509256	0.848655641
649	0.88294512	0.868267179
651	0.949559033	0.976624489
653	0.929668069	0.906790733
655	0.878540218	0.879744351
657	0.859704673	0.840062201
659	0.815738738	0.806764483
661	0.804363549	0.80800122
663	0.875189185	0.871678591
665	0.947743952	0.972627878
667	0.930109441	0.927649617
669	0.876054645	0.901556909
671	0.851254463	0.834950984
673	0.821308076	0.836851358
675	0.819359422	0.783976674
677	0.872603238	0.888850868
679	0.953052938	0.91001147
681	0.932855427	0.963054657
683	0.862967312	0.829013526
685	0.814121664	0.856478631
687	0.832276106	0.810831308
689	0.858682573	0.902821064
691	0.893472791	0.870052218
693	0.9329741	0.971976042
695	0.918524563	0.88102597
697	0.853030682	0.881911814
699	0.790958166	0.747092068
701	0.830456555	0.848362386
703	0.909588218	0.872230172
705	0.941697955	0.960409462
707	0.903789103	0.875048637
709	0.843322456	0.872489691
711	0.828727067	0.811067522
713	0.840800941	0.871864974
715	0.878106713	0.872324169
717	0.917122543	0.943144083
719	0.918578446	0.911405087
721	0.878693104	0.899789751
723	0.817454338	0.803849161
725	0.814134657	0.82173419
727	0.882789314	0.869027615
729	0.940359533	0.936876714
731	0.926749945	0.909722149
733	0.84818846	0.843706429
735	0.796920598	0.78340894
737	0.838922679	0.831379592
739	0.914729059	0.911060512
741	0.941049933	0.938459575
743	0.892366469	0.893280745
745	0.820347667	0.822504997
747	0.813710451	0.825424373
749	0.876073539	0.877691984
751	0.928643525	0.943732381
753	0.918700755	0.924443424
755	0.857867002	0.87426132
757	0.813130081	0.813554764
759	0.841712654	0.859504521
761	0.907774746	0.906927645
763	0.929505765	0.942220867
765	0.88573426	0.879210114
767	0.82760042	0.840103567
769	0.821528137	0.811417758
771	0.87993145	0.886046112
773	0.933360398	0.91970253
775	0.911415517	0.91779685
777	0.840865552	0.824245811
779	0.810518146	0.811430991
781	0.856760442	0.839603901
783	0.92377454	0.926053584
785	0.930717945	0.912135601
787	0.866308153	0.864321411
789	0.808696151	0.791741192
791	0.832034588	0.831987202
793	0.906903327	0.890203655
795	0.93613255	0.932321668
797	0.884931087	0.870546341
799	0.824514806	0.822541118
801	0.832384467	0.819976091
803	0.890931785	0.88509202
805	0.917849183	0.907190681
807	0.879732311	0.874783278
809	0.835185707	0.82824707
811	0.850657165	0.842035592
813	0.904544652	0.898328543
815	0.915527523	0.905676126
817	0.860860348	0.859464467
819	0.81563139	0.803234279
821	0.84814769	0.847376764
823	0.917787135	0.901386321
825	0.928404152	0.931728244
827	0.866170704	0.848437011
829	0.820461869	0.826277912
831	0.853218079	0.830278456
833	0.908935547	0.916518569
835	0.900821865	0.8757388
837	0.843899608	0.856018662
839	0.831631362	0.803570271
841	0.889567852	0.902944088
843	0.931720555	0.899586499
845	0.891533196	0.908236802
847	0.826708496	0.794117153
849	0.832226098	0.852847576
851	0.893705606	0.859177113
853	0.911600471	0.933666468
855	0.860141158	0.82477504
857	0.828061521	0.853898406
859	0.873713553	0.840936542
861	0.927488983	0.95676744
863	0.902905226	0.871829212
865	0.83832866	0.868522465
867	0.835536242	0.807247818
869	0.892849624	0.924880445
871	0.908871531	0.88619101
873	0.853640437	0.886505723
875	0.820848405	0.80279243
877	0.869889855	0.89966017
879	0.922797084	0.908257008
881	0.894695759	0.919593215
883	0.838390231	0.82845217
885	0.853476703	0.872345805
887	0.913456798	0.907582462
889	0.911187232	0.920804203
891	0.846850157	0.84307915
893	0.829309046	0.827522635
895	0.884782195	0.883488715
897	0.910349965	0.898509562
899	0.85788393	0.861513972
901	0.821573675	0.802408457
903	0.868810654	0.879131794
905	0.917101324	0.892932832
907	0.882639527	0.900334299
909	0.833120346	0.80658108
911	0.863596737	0.889056325
913	0.920382917	0.894465089
915	0.899574876	0.932000697
917	0.840669096	0.816997349
919	0.853740871	0.889513791
921	0.912721276	0.890477061
923	0.903948188	0.937011003
925	0.841786444	0.819136858
927	0.842282057	0.866882443
929	0.901487648	0.878359675
931	0.902479172	0.916055322
933	0.840916455	0.820621192
935	0.834411979	0.838397443
937	0.893923879	0.882146776
939	0.901679635	0.899657726
941	0.842099965	0.843718827
943	0.833186209	0.827653408
945	0.893082976	0.908802867
