# time  xtii  vtii  xtrue  vtrue  Etii  dE/T  t/T
0  1  0  1  0  0.5  0  0
0  1  -0.3  1  0  0.545  0.014324  0
0.3  0.91  -0.6  0.95534  -0.29552  0.59405  0.029937  0.047746
0.6  0.73  -0.873  0.82534  -0.56464  0.64751  0.046955  0.095493
0.9  0.4681  -1.092  0.62161  -0.78333  0.70579  0.065505  0.14324
1.2  0.1405  -1.2324  0.36236  -0.93204  0.76931  0.085725  0.19099
1.5  -0.22923  -1.2746  0.070737  -0.99749  0.83855  0.10776  0.23873
1.8  -0.6116  -1.2058  -0.2272  -0.97385  0.91402  0.13179  0.28648
2.1  -0.97335  -1.0223  -0.50485  -0.86321  0.99628  0.15797  0.33423
2.4  -1.28  -0.73033  -0.73739  -0.67546  1.0859  0.18651  0.38197
2.7  -1.4991  -0.34631  -0.90407  -0.42738  1.1837  0.21762  0.42972
3  -1.603  0.10343  -0.98999  -0.14112  1.2902  0.25153  0.47746
3.3  -1.572  0.58434  -0.98748  0.15775  1.4063  0.28849  0.52521
3.6  -1.3967  1.0559  -0.89676  0.44252  1.5329  0.32878  0.57296
3.9  -1.0799  1.475  -0.72593  0.68777  1.6709  0.3727  0.6207
4.2  -0.63744  1.7989  -0.49026  0.87158  1.8212  0.42056  0.66845
4.5  -0.097756  1.9902  -0.2108  0.97753  1.9852  0.47274  0.7162
4.8  0.49929  2.0195  0.087499  0.99616  2.1638  0.52961  0.76394
5.1  1.1051  1.8697  0.37798  0.92581  2.3586  0.5916  0.81169
5.4  1.6661  1.5382  0.63469  0.77276  2.5708  0.65917  0.85944
5.7  2.1275  1.0383  0.83471  0.55069  2.8022  0.73281  0.90718
6  2.439  0.4001  0.96017  0.27942  3.0544  0.81309  0.95493
6.3  2.559  -0.3316  0.99986  -0.016814  3.3293  0.90059  1.0027
6.6  2.4595  -1.0993  0.95023  -0.31154  3.6289  0.99597  1.0504
6.9  2.1298  -1.8372  0.81573  -0.57844  3.9555  1.0999  1.0982
7.2  1.5786  -2.4761  0.60835  -0.79367  4.3115  1.2133  1.1459
7.5  0.83577  -2.9497  0.34664  -0.938  4.6996  1.3368  1.1937
7.8  -0.049136  -3.2004  0.053955  -0.99854  5.1225  1.4714  1.2414
8.1  -1.0093  -3.1857  -0.24354  -0.96989  5.5836  1.6182  1.2892
8.4  -1.965  -2.8829  -0.51929  -0.8546  6.0861  1.7781  1.3369
8.7  -2.8298  -2.2934  -0.74865  -0.66297  6.6338  1.9525  1.3846
9  -3.5179  -1.4445  -0.91113  -0.41212  7.2309  2.1425  1.4324
9.3  -3.9512  -0.3891  -0.99223  -0.12445  7.8817  2.3497  1.4801
9.6  -4.0679  0.79626  -0.98469  0.17433  8.591  2.5754  1.5279
9.9  -3.829  2.0166  -0.88919  0.45754  9.3642  2.8216  1.5756
10.2  -3.2241  3.1653  -0.71427  0.69987  10.207  3.0898  1.6234
10.5  -2.2745  4.1326  -0.47554  0.8797  11.126  3.3822  1.6711
10.8  -1.0347  4.8149  -0.19433  0.98094  12.127  3.701  1.7189
11.1  0.40979  5.1253  0.10424  0.99455  13.218  4.0484  1.7666
11.4  1.9474  5.0024  0.39349  0.91933  14.408  4.4271  1.8144
11.7  3.4481  4.4182  0.6476  0.76198  15.705  4.8398  1.8621
12  4.7735  3.3837  0.84385  0.53657  17.118  5.2897  1.9099
12.3  5.7887  1.9517  0.96473  0.26323  18.659  5.7801  1.9576
12.6  6.3742  0.21507  0.99943  -0.033623  20.338  6.3146  2.0054
