# time  xt  vt  xtrue  vtrue  Et  dE/T  t/T
0  1  0  1  0  0.5  0  0
0  1  -0.001  1  0  0.5  3.9792e-14  0
0.001  1  -0.002  1  -0.001  0.5  7.962e-14  0.00015915
0.002  1  -0.003  1  -0.002  0.5  1.1941e-13  0.00031831
0.003  0.99999  -0.004  1  -0.003  0.5  1.592e-13  0.00047746
0.004  0.99999  -0.005  0.99999  -0.004  0.5  1.9896e-13  0.00063662
0.005  0.99998  -0.006  0.99999  -0.005  0.5  2.3875e-13  0.00079577
0.006  0.99998  -0.0069999  0.99998  -0.006  0.5  2.7855e-13  0.00095493
0.007  0.99997  -0.0079999  0.99998  -0.0069999  0.5  3.183e-13  0.0011141
0.008  0.99996  -0.0089999  0.99997  -0.0079999  0.5  3.581e-13  0.0012732
0.009  0.99995  -0.0099998  0.99996  -0.0089999  0.5  3.9792e-13  0.0014324
0.01  0.99994  -0.011  0.99995  -0.0099998  0.5  4.3772e-13  0.0015915
0.011  0.99993  -0.012  0.99994  -0.011  0.5  4.7747e-13  0.0017507
0.012  0.99992  -0.013  0.99993  -0.012  0.5  5.1726e-13  0.0019099
0.013  0.9999  -0.014  0.99992  -0.013  0.5  5.5706e-13  0.002069
0.014  0.99989  -0.014999  0.9999  -0.014  0.5  5.9685e-13  0.0022282
0.015  0.99987  -0.015999  0.99989  -0.014999  0.5  6.3664e-13  0.0023873
0.016  0.99986  -0.016999  0.99987  -0.015999  0.5  6.7643e-13  0.0025465
0.017  0.99984  -0.017999  0.99986  -0.016999  0.5  7.1623e-13  0.0027056
0.018  0.99982  -0.018999  0.99984  -0.017999  0.5  7.5602e-13  0.0028648
0.019  0.9998  -0.019999  0.99982  -0.018999  0.5  7.9577e-13  0.0030239
0.02  0.99978  -0.020998  0.9998  -0.019999  0.5  8.3557e-13  0.0031831
0.021  0.99976  -0.021998  0.99978  -0.020998  0.5  8.7532e-13  0.0033423
0.022  0.99974  -0.022998  0.99976  -0.021998  0.5  9.1512e-13  0.0035014
0.023  0.99971  -0.023998  0.99974  -0.022998  0.5  9.5491e-13  0.0036606
0.024  0.99969  -0.024997  0.99971  -0.023998  0.5  9.9467e-13  0.0038197
0.025  0.99966  -0.025997  0.99969  -0.024997  0.5  1.0345e-12  0.0039789
0.026  0.99964  -0.026997  0.99966  -0.025997  0.5  1.0742e-12  0.004138
0.027  0.99961  -0.027996  0.99964  -0.026997  0.5  1.114e-12  0.0042972
0.028  0.99958  -0.028996  0.99961  -0.027996  0.5  1.1538e-12  0.0044563
0.029  0.99955  -0.029996  0.99958  -0.028996  0.5  1.1936e-12  0.0046155
0.03  0.99952  -0.030995  0.99955  -0.029996  0.5  1.2333e-12  0.0047746
0.031  0.99949  -0.031995  0.99952  -0.030995  0.5  1.2731e-12  0.0049338
0.032  0.99946  -0.032994  0.99949  -0.031995  0.5  1.3129e-12  0.005093
0.033  0.99942  -0.033993  0.99946  -0.032994  0.5  1.3527e-12  0.0052521
0.034  0.99939  -0.034993  0.99942  -0.033993  0.5  1.3925e-12  0.0054113
0.035  0.99935  -0.035992  0.99939  -0.034993  0.5  1.4323e-12  0.0055704
0.036  0.99932  -0.036992  0.99935  -0.035992  0.5  1.4721e-12  0.0057296
0.037  0.99928  -0.037991  0.99932  -0.036992  0.5  1.5119e-12  0.0058887
0.038  0.99924  -0.03899  0.99928  -0.037991  0.5  1.5517e-12  0.0060479
0.039  0.9992  -0.039989  0.99924  -0.03899  0.5  1.5914e-12  0.006207
0.04  0.99916  -0.040989  0.9992  -0.039989  0.5  1.6313e-12  0.0063662
0.041  0.99912  -0.041988  0.99916  -0.040989  0.5  1.671e-12  0.0065254
0.042  0.99908  -0.042987  0.99912  -0.041988  0.5  1.7108e-12  0.0066845
0.043  0.99903  -0.043986  0.99908  -0.042987  0.5  1.7506e-12  0.0068437
0.044  0.99899  -0.044985  0.99903  -0.043986  0.5  1.7904e-12  0.0070028
0.045  0.99894  -0.045984  0.99899  -0.044985  0.5  1.8302e-12  0.007162
0.046  0.9989  -0.046983  0.99894  -0.045984  0.5  1.87e-12  0.0073211
0.047  0.99885  -0.047982  0.9989  -0.046983  0.5  1.9098e-12  0.0074803
0.048  0.9988  -0.04898  0.99885  -0.047982  0.5  1.9495e-12  0.0076394
0.049  0.99875  -0.049979  0.9988  -0.04898  0.5  1.9893e-12  0.0077986
0.05  0.9987  -0.050978  0.99875  -0.049979  0.5  2.0291e-12  0.0079577
0.051  0.99865  -0.051977  0.9987  -0.050978  0.5  2.0689e-12  0.0081169
0.052  0.9986  -0.052975  0.99865  -0.051977  0.5  2.1087e-12  0.0082761
0.053  0.99854  -0.053974  0.9986  -0.052975  0.5  2.1485e-12  0.0084352
0.054  0.99849  -0.054972  0.99854  -0.053974  0.5  2.1883e-12  0.0085944
0.055  0.99843  -0.055971  0.99849  -0.054972  0.5  2.2281e-12  0.0087535
0.056  0.99838  -0.056969  0.99843  -0.055971  0.5  2.2679e-12  0.0089127
0.057  0.99832  -0.057967  0.99838  -0.056969  0.5  2.3077e-12  0.0090718
0.058  0.99826  -0.058966  0.99832  -0.057967  0.5  2.3474e-12  0.009231
0.059  0.9982  -0.059964  0.99826  -0.058966  0.5  2.3872e-12  0.0093901
0.06  0.99814  -0.060962  0.9982  -0.059964  0.5  2.427e-12  0.0095493
0.061  0.99808  -0.06196  0.99814  -0.060962  0.5  2.4668e-12  0.0097085
0.062  0.99802  -0.062958  0.99808  -0.06196  0.5  2.5066e-12  0.0098676
0.063  0.99795  -0.063956  0.99802  -0.062958  0.5  2.5464e-12  0.010027
0.064  0.99789  -0.064954  0.99795  -0.063956  0.5  2.5862e-12  0.010186
0.065  0.99782  -0.065952  0.99789  -0.064954  0.5  2.6259e-12  0.010345
0.066  0.99776  -0.06695  0.99782  -0.065952  0.5  2.6658e-12  0.010504
0.067  0.99769  -0.067948  0.99776  -0.06695  0.5  2.7056e-12  0.010663
0.068  0.99762  -0.068945  0.99769  -0.067948  0.5  2.7453e-12  0.010823
0.069  0.99755  -0.069943  0.99762  -0.068945  0.5  2.7851e-12  0.010982
0.07  0.99748  -0.07094  0.99755  -0.069943  0.5  2.8249e-12  0.011141
0.071  0.99741  -0.071938  0.99748  -0.07094  0.5  2.8647e-12  0.0113
0.072  0.99734  -0.072935  0.99741  -0.071938  0.5  2.9045e-12  0.011459
0.073  0.99726  -0.073932  0.99734  -0.072935  0.5  2.9443e-12  0.011618
0.074  0.99719  -0.07493  0.99726  -0.073932  0.5  2.984e-12  0.011777
0.075  0.99711  -0.075927  0.99719  -0.07493  0.5  3.0238e-12  0.011937
0.076  0.99704  -0.076924  0.99711  -0.075927  0.5  3.0636e-12  0.012096
