t  x  y  z  vx  vy  vz  range
0  0  0  0  39.1443  0  22.6  0
0  0.390967  0  0.225235  39.0491  0  22.4471  0.390967
0.01  0.780984  0  0.448945  38.9544  0  22.2948  0.780984
0.02  1.17006  0  0.671134  38.8603  0  22.1431  1.17006
0.03  1.55819  0  0.891808  38.7668  0  21.9919  1.55819
0.04  1.9454  0  1.11097  38.6738  0  21.8413  1.9454
0.05  2.33167  0  1.32864  38.5814  0  21.6912  2.33167
0.06  2.71702  0  1.5448  38.4894  0  21.5416  2.71702
0.07  3.10146  0  1.75947  38.3981  0  21.3926  3.10146
0.08  3.48499  0  1.97265  38.3072  0  21.2441  3.48499
0.09  3.86761  0  2.18435  38.2169  0  21.0962  3.86761
0.1  4.24933  0  2.39458  38.1272  0  20.9487  4.24933
0.11  4.63015  0  2.60333  38.0379  0  20.8018  4.63015
0.12  5.01009  0  2.81061  37.9492  0  20.6554  5.01009
0.13  5.38914  0  3.01644  37.8609  0  20.5094  5.38914
0.14  5.76731  0  3.22081  37.7732  0  20.364  5.76731
0.15  6.1446  0  3.42372  37.686  0  20.2191  6.1446
0.16  6.52103  0  3.62519  37.5992  0  20.0747  6.52103
0.17  6.89659  0  3.82522  37.513  0  19.9308  6.89659
0.18  7.27129  0  4.02381  37.4273  0  19.7873  7.27129
0.19  7.64514  0  4.22097  37.342  0  19.6444  7.64514
0.2  8.01813  0  4.4167  37.2572  0  19.5019  8.01813
0.21  8.39028  0  4.611  37.1729  0  19.3599  8.39028
0.22  8.76159  0  4.8039  37.0891  0  19.2183  8.76159
0.23  9.13207  0  4.99537  37.0057  0  19.0772  9.13207
0.24  9.50171  0  5.18544  36.9228  0  18.9366  9.50171
0.25  9.87053  0  5.37411  36.8404  0  18.7964  9.87053
0.26  10.2385  0  5.56137  36.7584  0  18.6567  10.2385
0.27  10.6057  0  5.74724  36.6769  0  18.5175  10.6057
0.28  10.9721  0  5.93172  36.5958  0  18.3786  10.9721
0.29  11.3376  0  6.11482  36.5152  0  18.2403  11.3376
0.3  11.7024  0  6.29653  36.435  0  18.1023  11.7024
0.31  12.0663  0  6.47686  36.3553  0  17.9648  12.0663
0.32  12.4295  0  6.65583  36.276  0  17.8277  12.4295
0.33  12.7918  0  6.83342  36.1971  0  17.691  12.7918
0.34  13.1534  0  7.00965  36.1186  0  17.5548  13.1534
0.35  13.5142  0  7.18452  36.0406  0  17.419  13.5142
