t  x  y  z  vx  vy  vz  range
0  0  0  0  34.6252  0  29.054  0
0  0.34592  0  0.289772  34.5589  0  28.9005  0.34592
0.01  0.691179  0  0.578011  34.4929  0  28.7474  0.691179
0.02  1.03578  0  0.864721  34.4273  0  28.5948  1.03578
0.03  1.37973  0  1.14991  34.362  0  28.4427  1.37973
0.04  1.72302  0  1.43358  34.2971  0  28.291  1.72302
0.05  2.06567  0  1.71573  34.2325  0  28.1398  2.06567
0.06  2.40767  0  1.99637  34.1682  0  27.9891  2.40767
0.07  2.74904  0  2.27551  34.1043  0  27.8388  2.74904
0.08  3.08976  0  2.55315  34.0407  0  27.689  3.08976
0.09  3.42985  0  2.82929  33.9774  0  27.5396  3.42985
0.1  3.76931  0  3.10395  33.9145  0  27.3907  3.76931
0.11  4.10814  0  3.37711  33.8519  0  27.2422  4.10814
0.12  4.44635  0  3.64879  33.7896  0  27.0941  4.44635
0.13  4.78393  0  3.91899  33.7276  0  26.9465  4.78393
0.14  5.1209  0  4.18772  33.6659  0  26.7994  5.1209
0.15  5.45725  0  4.45498  33.6046  0  26.6526  5.45725
0.16  5.79299  0  4.72078  33.5435  0  26.5063  5.79299
0.17  6.12813  0  4.98511  33.4828  0  26.3604  6.12813
0.18  6.46265  0  5.24799  33.4224  0  26.2149  6.46265
0.19  6.79657  0  5.50941  33.3623  0  26.0698  6.79657
0.2  7.1299  0  5.76938  33.3024  0  25.9252  7.1299
0.21  7.46262  0  6.02791  33.2429  0  25.7809  7.46262
0.22  7.79476  0  6.285  33.1837  0  25.6371  7.79476
0.23  8.1263  0  6.54066  33.1248  0  25.4937  8.1263
0.24  8.45725  0  6.79488  33.0662  0  25.3506  8.45725
0.25  8.78762  0  7.04767  33.0078  0  25.208  8.78762
0.26  9.11741  0  7.29904  32.9498  0  25.0658  9.11741
0.27  9.44662  0  7.54899  32.892  0  24.9239  9.44662
0.28  9.77525  0  7.79752  32.8346  0  24.7824  9.77525
0.29  10.1033  0  8.04464  32.7774  0  24.6414  10.1033
0.3  10.4308  0  8.29035  32.7205  0  24.5007  10.4308
0.31  10.7577  0  8.53465  32.6639  0  24.3604  10.7577
0.32  11.0841  0  8.77756  32.6075  0  24.2204  11.0841
