t  x  y  z  vx  vy  vz  range
0  0  0  0  34.6252  0  29.054  0
0  0.345505  0  0.289423  34.4759  0  28.8309  0.345505
0.01  0.689521  0  0.576622  34.3276  0  28.6091  0.689521
0.02  1.03206  0  0.86161  34.1804  0  28.3887  1.03206
0.03  1.37313  0  1.1444  34.0343  0  28.1695  1.37313
0.04  1.71275  0  1.425  33.8891  0  27.9516  1.71275
0.05  2.05092  0  1.70344  33.745  0  27.7349  2.05092
0.06  2.38765  0  1.97971  33.602  0  27.5195  2.38765
0.07  2.72296  0  2.25383  33.4599  0  27.3054  2.72296
0.08  3.05685  0  2.52582  33.3188  0  27.0925  3.05685
0.09  3.38934  0  2.79568  33.1787  0  26.8808  3.38934
0.1  3.72043  0  3.06344  33.0396  0  26.6702  3.72043
0.11  4.05014  0  3.32909  32.9014  0  26.4609  4.05014
0.12  4.37846  0  3.59266  32.7642  0  26.2528  4.37846
0.13  4.70542  0  3.85415  32.6279  0  26.0458  4.70542
0.14  5.03102  0  4.11358  32.4926  0  25.8399  5.03102
0.15  5.35528  0  4.37095  32.3581  0  25.6352  5.35528
0.16  5.67819  0  4.62629  32.2246  0  25.4316  5.67819
0.17  5.99977  0  4.87959  32.092  0  25.2292  5.99977
0.18  6.32003  0  5.13087  31.9603  0  25.0278  6.32003
0.19  6.63898  0  5.38015  31.8294  0  24.8276  6.63898
0.2  6.95662  0  5.62743  31.6994  0  24.6284  6.95662
0.21  7.27297  0  5.87272  31.5703  0  24.4303  7.27297
0.22  7.58803  0  6.11604  31.4421  0  24.2332  7.58803
0.23  7.90181  0  6.35739  31.3146  0  24.0372  7.90181
0.24  8.21433  0  6.59679  31.1881  0  23.8422  8.21433
0.25  8.52558  0  6.83424  31.0623  0  23.6483  8.52558
0.26  8.83558  0  7.06976  30.9374  0  23.4554  8.83558
0.27  9.14433  0  7.30335  30.8133  0  23.2635  9.14433
0.28  9.45184  0  7.53503  30.69  0  23.0726  9.45184
0.29  9.75813  0  7.7648  30.5674  0  22.8827  9.75813
0.3  10.0632  0  7.99269  30.4457  0  22.6937  10.0632
0.31  10.367  0  8.21868  30.3247  0  22.5058  10.367
0.32  10.6697  0  8.4428  30.2045  0  22.3188  10.6697
0.33  10.9711  0  8.66506  30.0851  0  22.1327  10.9711
0.34  11.2714  0  8.88546  29.9665  0  21.9476  11.2714
0.35  11.5705  0  9.10402  29.8485  0  21.7634  11.5705
0.36  11.8684  0  9.32073  29.7313  0  21.5802  11.8684
0.37  12.1651  0  9.53562  29.6149  0  21.3978  12.1651
0.38  12.4607  0  9.74869  29.4992  0  21.2164  12.4607
0.39  12.7551  0  9.95995  29.3841  0  21.0359  12.7551
0.4  13.0484  0  10.1694  29.2698  0  20.8562  13.0484
0.41  13.3405  0  10.3771  29.1562  0  20.6775  13.3405
0.42  13.6315  0  10.583  29.0433  0  20.4996  13.6315
0.43  13.9214  0  10.7871  28.9311  0  20.3226  13.9214
0.44  14.2101  0  10.9894  28.8196  0  20.1464  14.2101
0.45  14.4977  0  11.19  28.7087  0  19.9711  14.4977
0.46  14.7843  0  11.3888  28.5985  0  19.7967  14.7843
0.47  15.0697  0  11.5859  28.489  0  19.623  15.0697
0.48  15.3541  0  11.7813  28.3801  0  19.4502  15.3541
0.49  15.6373  0  11.975  28.2719  0  19.2783  15.6373
0.5  15.9195  0  12.1669  28.1643  0  19.1071  15.9195
0.51  16.2006  0  12.3571  28.0574  0  18.9367  16.2006
0.52  16.4807  0  12.5456  27.9511  0  18.7672  16.4807
0.53  16.7596  0  12.7324  27.8454  0  18.5984  16.7596
0.54  17.0376  0  12.9176  27.7403  0  18.4304  17.0376
0.55  17.3144  0  13.1011  27.6359  0  18.2632  17.3144
0.56  17.5903  0  13.2829  27.532  0  18.0967  17.5903
0.57  17.8651  0  13.463  27.4288  0  17.931  17.8651
0.58  18.1389  0  13.6415  27.3261  0  17.7661  18.1389
0.59  18.4116  0  13.8183  27.2241  0  17.602  18.4116
0.6  18.6834  0  13.9935  27.1226  0  17.4385  18.6834
0.61  18.9541  0  14.1671  27.0217  0  17.2758  18.9541
0.62  19.2238  0  14.339  26.9214  0  17.1139  19.2238
0.63  19.4925  0  14.5094  26.8216  0  16.9526  19.4925
0.64  19.7602  0  14.6781  26.7224  0  16.7921  19.7602
0.65  20.027  0  14.8452  26.6238  0  16.6323  20.027
