t  x  y  z  vx  vy  vz  range
0  0  0  0  34.6252  0  29.054  0
0  0.346064  0  0.289892  34.5876  0  28.9245  0.346064
0.01  0.691753  0  0.578491  34.5502  0  28.7953  0.691753
0.02  1.03707  0  0.865799  34.5131  0  28.6664  1.03707
0.03  1.38202  0  1.15182  34.4762  0  28.5378  1.38202
0.04  1.72659  0  1.43656  34.4394  0  28.4094  1.72659
0.05  2.0708  0  1.72001  34.403  0  28.2814  2.0708
0.06  2.41465  0  2.00218  34.3667  0  28.1536  2.41465
0.07  2.75814  0  2.28308  34.3307  0  28.0262  2.75814
0.08  3.10127  0  2.56271  34.2948  0  27.899  3.10127
0.09  3.44404  0  2.84106  34.2592  0  27.772  3.44404
0.1  3.78645  0  3.11815  34.2238  0  27.6454  3.78645
0.11  4.12851  0  3.39397  34.1886  0  27.519  4.12851
0.12  4.47023  0  3.66853  34.1537  0  27.3929  4.47023
0.13  4.81159  0  3.94183  34.1189  0  27.2671  4.81159
0.14  5.1526  0  4.21387  34.0843  0  27.1415  5.1526
0.15  5.49327  0  4.48466  34.05  0  27.0162  5.49327
0.16  5.8336  0  4.7542  34.0158  0  26.8912  5.8336
0.17  6.17359  0  5.02249  33.9819  0  26.7664  6.17359
0.18  6.51324  0  5.28953  33.9481  0  26.6418  6.51324
0.19  6.85256  0  5.55532  33.9146  0  26.5176  6.85256
0.2  7.19153  0  5.81988  33.8813  0  26.3936  7.19153
0.21  7.53018  0  6.0832  33.8481  0  26.2698  7.53018
0.22  7.8685  0  6.34528  33.8152  0  26.1463  7.8685
0.23  8.20649  0  6.60612  33.7824  0  26.023  8.20649
0.24  8.54415  0  6.86574  33.7498  0  25.8999  8.54415
0.25  8.88148  0  7.12412  33.7175  0  25.7772  8.88148
0.26  9.2185  0  7.38128  33.6853  0  25.6546  9.2185
0.27  9.55519  0  7.63721  33.6533  0  25.5323  9.55519
0.28  9.89156  0  7.89193  33.6215  0  25.4102  9.89156
0.29  10.2276  0  8.14542  33.5899  0  25.2884  10.2276
0.3  10.5634  0  8.3977  33.5585  0  25.1668  10.5634
0.31  10.8988  0  8.64876  33.5273  0  25.0454  10.8988
0.32  11.2339  0  8.8986  33.4962  0  24.9242  11.2339
0.33  11.5687  0  9.14724  33.4653  0  24.8033  11.5687
0.34  11.9032  0  9.39467  33.4346  0  24.6826  11.9032
0.35  12.2374  0  9.64089  33.4041  0  24.5621  12.2374
0.36  12.5713  0  9.88591  33.3738  0  24.4419  12.5713
0.37  12.9049  0  10.1297  33.3436  0  24.3218  12.9049
0.38  13.2382  0  10.3724  33.3137  0  24.202  13.2382
0.39  13.5712  0  10.6138  33.2839  0  24.0824  13.5712
0.4  13.9038  0  10.854  33.2542  0  23.963  13.9038
0.41  14.2362  0  11.093  33.2248  0  23.8438  14.2362
0.42  14.5683  0  11.3309  33.1955  0  23.7248  14.5683
0.43  14.9002  0  11.5675  33.1664  0  23.6061  14.9002
0.44  15.2317  0  11.803  33.1374  0  23.4875  15.2317
0.45  15.5629  0  12.0373  33.1086  0  23.3691  15.5629
0.46  15.8938  0  12.2704  33.08  0  23.251  15.8938
0.47  16.2245  0  12.5023  33.0516  0  23.133  16.2245
0.48  16.5549  0  12.733  33.0233  0  23.0153  16.5549
0.49  16.885  0  12.9626  32.9952  0  22.8977  16.885
0.5  17.2148  0  13.191  32.9672  0  22.7804  17.2148
0.51  17.5443  0  13.4182  32.9394  0  22.6632  17.5443
0.52  17.8736  0  13.6443  32.9118  0  22.5462  17.8736
0.53  18.2026  0  13.8691  32.8843  0  22.4295  18.2026
0.54  18.5313  0  14.0929  32.857  0  22.3129  18.5313
0.55  18.8597  0  14.3154  32.8298  0  22.1965  18.8597
0.56  19.1879  0  14.5368  32.8028  0  22.0802  19.1879
0.57  19.5157  0  14.757  32.776  0  21.9642  19.5157
0.58  19.8434  0  14.9761  32.7493  0  21.8484  19.8434
0.59  20.1707  0  15.194  32.7227  0  21.7327  20.1707
0.6  20.4978  0  15.4107  32.6964  0  21.6172  20.4978
0.61  20.8247  0  15.6263  32.6701  0  21.5019  20.8247
0.62  21.1512  0  15.8408  32.644  0  21.3868  21.1512
0.63  21.4775  0  16.0541  32.6181  0  21.2718  21.4775
0.64  21.8036  0  16.2662  32.5923  0  21.157  21.8036
0.65  22.1294  0  16.4772  32.5666  0  21.0424  22.1294
0.66  22.4549  0  16.687  32.5411  0  20.928  22.4549
0.67  22.7802  0  16.8958  32.5158  0  20.8137  22.7802
0.68  23.1052  0  17.1033  32.4905  0  20.6996  23.1052
0.69  23.43  0  17.3097  32.4655  0  20.5857  23.43
0.7  23.7546  0  17.515  32.4405  0  20.4719  23.7546
0.71  24.0788  0  17.7192  32.4158  0  20.3583  24.0788
0.72  24.4029  0  17.9222  32.3911  0  20.2448  24.4029
0.73  24.7267  0  18.1241  32.3666  0  20.1315  24.7267
0.74  25.0502  0  18.3248  32.3422  0  20.0184  25.0502
0.75  25.3735  0  18.5244  32.318  0  19.9055  25.3735
0.76  25.6966  0  18.7229  32.2939  0  19.7926  25.6966
0.77  26.0194  0  18.9203  32.2699  0  19.68  26.0194
0.78  26.342  0  19.1165  32.2461  0  19.5675  26.342
0.79  26.6643  0  19.3117  32.2224  0  19.4551  26.6643
0.8  26.9864  0  19.5056  32.1988  0  19.343  26.9864
0.81  27.3083  0  19.6985  32.1754  0  19.2309  27.3083
0.82  27.6299  0  19.8903  32.1521  0  19.119  27.6299
0.83  27.9513  0  20.0809  32.1289  0  19.0073  27.9513
0.84  28.2725  0  20.2704  32.1058  0  18.8957  28.2725
0.85  28.5934  0  20.4588  32.0829  0  18.7842  28.5934
0.86  28.9142  0  20.6461  32.0601  0  18.6729  28.9142
0.87  29.2346  0  20.8323  32.0374  0  18.5617  29.2346
0.88  29.5549  0  21.0173  32.0149  0  18.4507  29.5549
0.89  29.8749  0  21.2013  31.9925  0  18.3398  29.8749
0.9  30.1948  0  21.3841  31.9702  0  18.2291  30.1948
0.91  30.5143  0  21.5659  31.948  0  18.1185  30.5143
0.92  30.8337  0  21.7465  31.926  0  18.008  30.8337
0.93  31.1529  0  21.926  31.904  0  17.8977  31.1529
0.94  31.4718  0  22.1044  31.8822  0  17.7875  31.4718
0.95  31.7905  0  22.2818  31.8605  0  17.6774  31.7905
0.96  32.109  0  22.458  31.839  0  17.5674  32.109
0.97  32.4273  0  22.6331  31.8175  0  17.4576  32.4273
0.98  32.7454  0  22.8071  31.7962  0  17.348  32.7454
0.99  33.0632  0  22.9801  31.7749  0  17.2384  33.0632
1  33.3809  0  23.1519  31.7538  0  17.129  33.3809
1.01  33.6983  0  23.3227  31.7328  0  17.0197  33.6983
1.02  34.0155  0  23.4923  31.7119  0  16.9105  34.0155
1.03  34.3325  0  23.6609  31.6912  0  16.8015  34.3325
1.04  34.6493  0  23.8283  31.6705  0  16.6926  34.6493
1.05  34.9659  0  23.9947  31.65  0  16.5838  34.9659
1.06  35.2823  0  24.16  31.6295  0  16.4751  35.2823
1.07  35.5985  0  24.3242  31.6092  0  16.3665  35.5985
1.08  35.9145  0  24.4873  31.589  0  16.2581  35.9145
1.09  36.2303  0  24.6494  31.5689  0  16.1498  36.2303
