t  x  y  z  vx  vy  vz  range
0  0  0  0  22.6  0  39.1443  0
0  0.226  0  0.390953  22.6  0  39.0463  0.226
0.01  0.452  0  0.780927  22.6  0  38.9483  0.452
0.02  0.678  0  1.16992  22.6  0  38.8503  0.678
0.03  0.904  0  1.55793  22.6  0  38.7523  0.904
0.04  1.13  0  1.94497  22.6  0  38.6543  1.13
0.05  1.356  0  2.33102  22.6  0  38.5563  1.356
0.06  1.582  0  2.71609  22.6  0  38.4583  1.582
0.07  1.808  0  3.10019  22.6  0  38.3603  1.808
0.08  2.034  0  3.4833  22.6  0  38.2623  2.034
0.09  2.26  0  3.86543  22.6  0  38.1643  2.26
0.1  2.486  0  4.24659  22.6  0  38.0663  2.486
0.11  2.712  0  4.62676  22.6  0  37.9683  2.712
0.12  2.938  0  5.00596  22.6  0  37.8703  2.938
0.13  3.164  0  5.38417  22.6  0  37.7723  3.164
0.14  3.39  0  5.7614  22.6  0  37.6743  3.39
0.15  3.616  0  6.13766  22.6  0  37.5763  3.616
0.16  3.842  0  6.51293  22.6  0  37.4783  3.842
0.17  4.068  0  6.88722  22.6  0  37.3803  4.068
0.18  4.294  0  7.26054  22.6  0  37.2823  4.294
0.19  4.52  0  7.63287  22.6  0  37.1843  4.52
0.2  4.746  0  8.00422  22.6  0  37.0863  4.746
0.21  4.972  0  8.3746  22.6  0  36.9883  4.972
0.22  5.198  0  8.74399  22.6  0  36.8903  5.198
0.23  5.424  0  9.1124  22.6  0  36.7923  5.424
0.24  5.65  0  9.47984  22.6  0  36.6943  5.65
0.25  5.876  0  9.84629  22.6  0  36.5963  5.876
0.26  6.102  0  10.2118  22.6  0  36.4983  6.102
0.27  6.328  0  10.5763  22.6  0  36.4003  6.328
0.28  6.554  0  10.9398  22.6  0  36.3023  6.554
0.29  6.78  0  11.3023  22.6  0  36.2043  6.78
0.3  7.006  0  11.6639  22.6  0  36.1063  7.006
0.31  7.232  0  12.0244  22.6  0  36.0083  7.232
0.32  7.458  0  12.384  22.6  0  35.9103  7.458
0.33  7.684  0  12.7426  22.6  0  35.8123  7.684
0.34  7.91  0  13.1003  22.6  0  35.7143  7.91
0.35  8.136  0  13.4569  22.6  0  35.6163  8.136
0.36  8.362  0  13.8126  22.6  0  35.5183  8.362
0.37  8.588  0  14.1673  22.6  0  35.4203  8.588
0.38  8.814  0  14.521  22.6  0  35.3223  8.814
0.39  9.04  0  14.8737  22.6  0  35.2243  9.04
0.4  9.266  0  15.2255  22.6  0  35.1263  9.266
0.41  9.492  0  15.5763  22.6  0  35.0283  9.492
0.42  9.718  0  15.9261  22.6  0  34.9303  9.718
0.43  9.944  0  16.2749  22.6  0  34.8323  9.944
0.44  10.17  0  16.6227  22.6  0  34.7343  10.17
0.45  10.396  0  16.9696  22.6  0  34.6363  10.396
0.46  10.622  0  17.3154  22.6  0  34.5383  10.622
0.47  10.848  0  17.6603  22.6  0  34.4403  10.848
0.48  11.074  0  18.0042  22.6  0  34.3423  11.074
0.49  11.3  0  18.3472  22.6  0  34.2443  11.3
0.5  11.526  0  18.6891  22.6  0  34.1463  11.526
0.51  11.752  0  19.0301  22.6  0  34.0483  11.752
0.52  11.978  0  19.3701  22.6  0  33.9503  11.978
0.53  12.204  0  19.7091  22.6  0  33.8523  12.204
0.54  12.43  0  20.0471  22.6  0  33.7543  12.43
0.55  12.656  0  20.3842  22.6  0  33.6563  12.656
0.56  12.882  0  20.7203  22.6  0  33.5583  12.882
0.57  13.108  0  21.0554  22.6  0  33.4603  13.108
0.58  13.334  0  21.3895  22.6  0  33.3623  13.334
0.59  13.56  0  21.7226  22.6  0  33.2643  13.56
0.6  13.786  0  22.0548  22.6  0  33.1663  13.786
0.61  14.012  0  22.3859  22.6  0  33.0683  14.012
0.62  14.238  0  22.7161  22.6  0  32.9703  14.238
0.63  14.464  0  23.0453  22.6  0  32.8723  14.464
0.64  14.69  0  23.3736  22.6  0  32.7743  14.69
0.65  14.916  0  23.7008  22.6  0  32.6763  14.916
0.66  15.142  0  24.0271  22.6  0  32.5783  15.142
0.67  15.368  0  24.3524  22.6  0  32.4803  15.368
0.68  15.594  0  24.6767  22.6  0  32.3823  15.594
0.69  15.82  0  25  22.6  0  32.2843  15.82
0.7  16.046  0  25.3224  22.6  0  32.1863  16.046
0.71  16.272  0  25.6438  22.6  0  32.0883  16.272
0.72  16.498  0  25.9642  22.6  0  31.9903  16.498
0.73  16.724  0  26.2836  22.6  0  31.8923  16.724
0.74  16.95  0  26.602  22.6  0  31.7943  16.95
0.75  17.176  0  26.9195  22.6  0  31.6963  17.176
0.76  17.402  0  27.2359  22.6  0  31.5983  17.402
0.77  17.628  0  27.5514  22.6  0  31.5003  17.628
0.78  17.854  0  27.8659  22.6  0  31.4023  17.854
0.79  18.08  0  28.1795  22.6  0  31.3043  18.08
0.8  18.306  0  28.492  22.6  0  31.2063  18.306
0.81  18.532  0  28.8036  22.6  0  31.1083  18.532
0.82  18.758  0  29.1142  22.6  0  31.0103  18.758
0.83  18.984  0  29.4238  22.6  0  30.9123  18.984
0.84  19.21  0  29.7324  22.6  0  30.8143  19.21
0.85  19.436  0  30.0401  22.6  0  30.7163  19.436
0.86  19.662  0  30.3468  22.6  0  30.6183  19.662
0.87  19.888  0  30.6525  22.6  0  30.5203  19.888
0.88  20.114  0  30.9572  22.6  0  30.4223  20.114
0.89  20.34  0  31.2609  22.6  0  30.3243  20.34
0.9  20.566  0  31.5637  22.6  0  30.2263  20.566
0.91  20.792  0  31.8654  22.6  0  30.1283  20.792
0.92  21.018  0  32.1662  22.6  0  30.0303  21.018
0.93  21.244  0  32.466  22.6  0  29.9323  21.244
