# t  x  y  z  vx  vy  vz  downrange
0  0  0  0  0  0  0  0
0  0.0007095  0  0.00040963  0.141902  0  0.081927  0
0.01  0.00283807  0  0.00163856  0.283814  0  0.16386  0
0.02  0.00638582  0  0.00368685  0.425737  0  0.245799  0
0.03  0.0113528  0  0.00655457  0.56767  0  0.327745  0
0.04  0.0177393  0  0.0102418  0.709614  0  0.409696  0
0.05  0.0255452  0  0.0147485  0.851569  0  0.491653  0
0.06  0.0347707  0  0.0200749  0.993534  0  0.573617  0
0.07  0.0454159  0  0.0262209  1.13551  0  0.655586  0
0.08  0.0574809  0  0.0331866  1.27749  0  0.737562  0
0.09  0.0709658  0  0.0409721  1.41949  0  0.819544  0
0.1  0.0858707  0  0.0495775  1.5615  0  0.901531  0.134408
0.11  0.102196  0  0.0590028  1.70352  0  0.983525  0
0.12  0.119941  0  0.069248  1.84554  0  1.06553  0.134408
0.13  0.139107  0  0.0803133  1.98758  0  1.14753  0.164616
0.14  0.159693  0  0.0921987  2.12963  0  1.22954  0.134408
0.15  0.181699  0  0.104904  2.27169  0  1.31156  0.164616
0.16  0.205127  0  0.11843  2.41376  0  1.39359  0.164616
0.17  0.229975  0  0.132776  2.55584  0  1.47562  0.251455
0.18  0.256243  0  0.147942  2.69793  0  1.55765  0.251455
0.19  0.283933  0  0.163929  2.84003  0  1.63969  0.285123
0.2  0.313044  0  0.180736  2.98214  0  1.72174  0.329232
0.21  0.343576  0  0.198364  3.12427  0  1.8038  0.355611
0.22  0.375529  0  0.216812  3.2664  0  1.88586  0.380164
0.23  0.408904  0  0.236081  3.40854  0  1.96792  0.414275
0.24  0.4437  0  0.256171  3.5507  0  2.04999  0.435533
0.25  0.479918  0  0.277081  3.69286  0  2.13207  0.465604
0.26  0.517558  0  0.298812  3.83503  0  2.21416  0.511812
0.27  0.556619  0  0.321364  3.97722  0  2.29625  0.562271
0.28  0.597102  0  0.344737  4.11941  0  2.37834  0.585873
0.29  0.639007  0  0.368931  4.26162  0  2.46045  0.637555
0.3  0.682334  0  0.393946  4.40383  0  2.54256  0.685351
0.31  0.727084  0  0.419782  4.54606  0  2.62467  0.730025
0.32  0.773256  0  0.446439  4.6883  0  2.70679  0.777945
0.33  0.82085  0  0.473918  4.83055  0  2.78892  0.817574
0.34  0.869867  0  0.502218  4.9728  0  2.87105  0.865866
0.35  0.920306  0  0.531339  5.11507  0  2.95319  0.916543
0.36  0.972168  0  0.561281  5.25735  0  3.03533  0.978508
0.37  1.02545  0  0.592046  5.39964  0  3.11748  1.02362
0.38  1.08016  0  0.623631  5.54194  0  3.19964  1.07527
0.39  1.13629  0  0.656038  5.68425  0  3.2818  1.13255
0.4  1.19385  0  0.689267  5.82657  0  3.36397  1.18706
0.41  1.25282  0  0.723318  5.9689  0  3.44614  1.25007
0.42  1.31322  0  0.75819  6.11124  0  3.52833  1.31005
0.43  1.37505  0  0.793884  6.25359  0  3.61051  1.3707
0.44  1.4383  0  0.8304  6.39595  0  3.6927  1.44137
0.45  1.50297  0  0.867738  6.53832  0  3.7749  1.50573
0.46  1.56906  0  0.905898  6.68071  0  3.85711  1.56746
0.47  1.63658  0  0.944881  6.8231  0  3.93932  1.64066
0.48  1.70552  0  0.984685  6.9655  0  4.02154  1.70545
0.49  1.77589  0  1.02531  7.10792  0  4.08744  1.77551
0.5  1.84768  0  1.0661  7.2509  0  4.07077  1.85025
0.51  1.92091  0  1.10672  7.39473  0  4.05263  1.91738
0.52  1.99558  0  1.14715  7.53937  0  4.03303  1.99586
0.53  2.0717  0  1.18738  7.6848  0  4.01196  2.06919
0.54  2.14928  0  1.22739  7.83101  0  3.98945  2.15053
0.55  2.22832  0  1.26716  7.97797  0  3.96548  2.22891
0.56  2.30884  0  1.30669  8.12566  0  3.94008  2.30854
0.57  2.39084  0  1.34596  8.27406  0  3.91323  2.38741
0.58  2.47433  0  1.38495  8.42315  0  3.88494  2.47472
0.59  2.55931  0  1.42365  8.57292  0  3.85524  2.55906
0.6  2.64579  0  1.46205  8.72333  0  3.82411  2.64924
0.61  2.73377  0  1.50013  8.87438  0  3.79156  2.73315
0.62  2.82328  0  1.53788  9.02605  0  3.75761  2.82577
0.63  2.9143  0  1.57528  9.17831  0  3.72226  2.91235
0.64  3.00684  0  1.61232  9.33115  0  3.68551  3.00847
0.65  3.10092  0  1.64898  9.48455  0  3.64738  3.10015
0.66  3.19654  0  1.68526  9.63849  0  3.60787  3.19626
0.67  3.29369  0  1.72114  9.79296  0  3.56699  3.29232
0.68  3.3924  0  1.7566  9.94794  0  3.52475  3.39365
0.69  3.49265  0  1.79163  10.1034  0  3.48116  3.49074
0.7  3.59447  0  1.82621  10.2594  0  3.43622  3.59527
0.71  3.69784  0  1.86035  10.4158  0  3.38995  3.69806
0.72  3.80278  0  1.89401  10.5726  0  3.34234  3.80402
0.73  3.9093  0  1.92719  10.7299  0  3.29342  3.90941
0.74  4.01738  0  1.95987  10.8876  0  3.24319  4.01766
0.75  4.12705  0  1.99205  11.0457  0  3.19166  4.12636
0.76  4.2383  0  2.0237  11.2042  0  3.13883  4.2376
0.77  4.35113  0  2.05482  11.363  0  3.08473  4.35014
0.78  4.46556  0  2.08539  11.5222  0  3.02935  4.46491
0.79  4.58158  0  2.1154  11.6818  0  2.9727  4.58074
0.8  4.6992  0  2.14484  11.8417  0  2.91481  4.69853
0.81  4.81841  0  2.1737  12.0019  0  2.85566  4.81812
0.82  4.93924  0  2.20195  12.1624  0  2.79528  4.93848
0.83  5.06166  0  2.2296  12.3232  0  2.73368  5.06044
0.84  5.1857  0  2.25662  12.4843  0  2.67086  5.18562
0.85  5.31135  0  2.28301  12.6457  0  2.60683  5.31211
0.86  5.43861  0  2.30875  12.8073  0  2.54161  5.43898
0.87  5.5675  0  2.33384  12.9691  0  2.4752  5.56782
0.88  5.698  0  2.35825  13.1312  0  2.40761  5.6985
0.89  5.83012  0  2.38199  13.2936  0  2.33885  5.83091
0.9  5.96387  0  2.40503  13.4561  0  2.26893  5.96492
0.91  6.09925  0  2.42736  13.6189  0  2.19787  6.09968
0.92  6.23625  0  2.44898  13.7818  0  2.12566  6.23588
0.93  6.37488  0  2.46987  13.945  0  2.05233  6.37484
0.94  6.51515  0  2.49002  14.1083  0  1.97788  6.51569
0.95  6.65705  0  2.50942  14.2718  0  1.90231  6.65695
0.96  6.80058  0  2.52807  14.4354  0  1.82565  6.80059
0.97  6.94576  0  2.54593  14.5992  0  1.74789  6.94516
0.98  7.09257  0  2.56302  14.7631  0  1.66905  7.09315
0.99  7.24102  0  2.57931  14.9272  0  1.58914  7.23999
1  7.39111  0  2.5948  15.0914  0  1.50816  7.39063
1.01  7.54285  0  2.60947  15.2557  0  1.42613  7.54365
1.02  7.69623  0  2.62332  15.4201  0  1.34306  7.69657
1.03  7.85125  0  2.63633  15.5846  0  1.25895  7.85226
1.04  8.00792  0  2.64849  15.7492  0  1.17382  8.00774
1.05  8.16623  0  2.6598  15.9139  0  1.08766  8.16635
1.06  8.3262  0  2.67024  16.0787  0  1.0005  8.32627
1.07  8.48781  0  2.67981  16.2436  0  0.912343  8.48797
1.08  8.65107  0  2.68849  16.4085  0  0.823193  8.65187
1.09  8.81598  0  2.69627  16.5735  0  0.733061  8.8158
1.1  8.98254  0  2.70315  16.7385  0  0.641957  8.98277
1.11  9.15075  0  2.70911  16.9036  0  0.549889  9.15064
1.12  9.32061  0  2.71414  17.0688  0  0.456866  9.32081
1.13  9.49213  0  2.71824  17.2339  0  0.362897  9.4927
1.14  9.66529  0  2.72139  17.3991  0  0.26799  9.6648
1.15  9.84011  0  2.7236  17.5644  0  0.172154  9.84031
1.16  10.0166  0  2.72483  17.7296  0  0.075396  10.0164
1.17  10.1947  0  2.7251  17.8949  0  -0.0222742  10.1951
1.18  10.3745  0  2.72439  18.0602  0  -0.120849  10.3752
1.19  10.5559  0  2.72268  18.2254  0  -0.220319  10.5556
1.2  10.739  0  2.71998  18.3907  0  -0.320678  10.7392
1.21  10.9237  0  2.71626  18.556  0  -0.421917  10.9239
1.22  11.1101  0  2.71154  18.7213  0  -0.524028  11.1101
1.23  11.2981  0  2.70578  18.8865  0  -0.627002  11.2987
1.24  11.4878  0  2.69899  19.0518  0  -0.730833  11.4878
1.25  11.6792  0  2.69116  19.217  0  -0.835513  11.6792
1.26  11.8722  0  2.68228  19.3822  0  -0.941033  11.8725
1.27  12.0668  0  2.67234  19.5474  0  -1.04739  12.0669
1.28  12.2631  0  2.66133  19.7125  0  -1.15456  12.2632
1.29  12.4611  0  2.64924  19.8776  0  -1.26256  12.4605
1.3  12.6607  0  2.63608  20.0427  0  -1.37137  12.6608
1.31  12.8619  0  2.62181  20.2077  0  -1.48098  12.8622
1.32  13.0648  0  2.60645  20.3727  0  -1.59139  13.0646
1.33  13.2694  0  2.58998  20.5376  0  -1.70258  13.2687
1.34  13.4756  0  2.5724  20.7025  0  -1.81456  13.4764
1.35  13.6834  0  2.55369  20.8673  0  -1.92731  13.6833
1.36  13.8929  0  2.53385  21.032  0  -2.04083  13.8929
1.37  14.1041  0  2.51287  21.1967  0  -2.15512  14.1039
1.38  14.3169  0  2.49074  21.3613  0  -2.27015  14.3169
1.39  14.5313  0  2.46747  21.5259  0  -2.38593  14.5313
1.4  14.7474  0  2.44302  21.6904  0  -2.50246  14.7473
1.41  14.9651  0  2.41741  21.8548  0  -2.61971  14.965
1.42  15.1845  0  2.39063  22.0191  0  -2.7377  15.1849
1.43  15.4055  0  2.36266  22.1834  0  -2.8564  15.4055
1.44  15.6281  0  2.3335  22.3476  0  -2.97582  15.6284
1.45  15.8524  0  2.30314  22.5117  0  -3.09595  15.8528
1.46  16.0784  0  2.27158  22.6757  0  -3.21678  16.0785
1.47  16.3059  0  2.2388  22.8396  0  -3.33831  16.3056
1.48  16.5352  0  2.20481  23.0035  0  -3.46052  16.535
1.49  16.766  0  2.16959  23.1672  0  -3.58342  16.7663
1.5  16.9985  0  2.13314  23.3308  0  -3.707  16.9985
1.51  17.2326  0  2.09545  23.4944  0  -3.83124  17.2323
1.52  17.4684  0  2.05651  23.6579  0  -3.95616  17.4687
1.53  17.7058  0  2.01632  23.8212  0  -4.08173  17.706
1.54  17.9448  0  1.97487  23.9845  0  -4.20796  17.9449
1.55  18.1855  0  1.93216  24.1476  0  -4.33483  18.1857
1.56  18.4278  0  1.88817  24.3107  0  -4.46235  18.4277
1.57  18.6717  0  1.84291  24.4737  0  -4.59051  18.6714
1.58  18.9172  0  1.79636  24.6365  0  -4.7193  18.9172
1.59  19.1644  0  1.74852  24.7992  0  -4.84871  19.1642
1.6  19.4132  0  1.69938  24.9619  0  -4.97874  19.4133
1.61  19.6637  0  1.64894  25.1244  0  -5.10939  19.6632
1.62  19.9157  0  1.5972  25.2868  0  -5.24065  19.9154
1.63  20.1694  0  1.54413  25.449  0  -5.37252  20.1691
1.64  20.4247  0  1.48974  25.6112  0  -5.50498  20.4248
1.65  20.6816  0  1.43403  25.7733  0  -5.63804  20.6817
1.66  20.9402  0  1.37698  25.9352  0  -5.77169  20.9403
1.67  21.2003  0  1.31859  26.097  0  -5.90592  21.2003
1.68  21.4621  0  1.25886  26.2587  0  -6.04074  21.4622
1.69  21.7255  0  1.19778  26.4203  0  -6.17612  21.7252
1.7  21.9905  0  1.13534  26.5817  0  -6.31208  21.9907
1.71  22.2571  0  1.07153  26.743  0  -6.4486  22.2573
1.72  22.5254  0  1.00636  26.9042  0  -6.58569  22.5253
1.73  22.7952  0  0.939816  27.0653  0  -6.72333  22.7952
1.74  23.0667  0  0.871893  27.2263  0  -6.86151  23.0664
1.75  23.3397  0  0.802584  27.3871  0  -7.00025  23.3395
1.76  23.6144  0  0.731886  27.5478  0  -7.13953  23.6144
1.77  23.8907  0  0.659792  27.7083  0  -7.27934  23.8911
1.78  24.1686  0  0.586297  27.8688  0  -7.41969  24.1683
1.79  24.4481  0  0.511396  28.0291  0  -7.56057  24.4479
1.8  24.7292  0  0.435084  28.1892  0  -7.70197  24.7291
1.81  25.0119  0  0.357355  28.3493  0  -7.84389  25.0119
1.82  25.2961  0  0.278205  28.5092  0  -7.98633  25.2963
1.83  25.582  0  0.197627  28.6689  0  -8.12927  25.5816
1.84  25.8695  0  0.115618  28.8286  0  -8.27273  25.8693
1.85  26.1586  0  0.0321709  28.9881  0  -8.41669  26.1588
1.86  26.4493  0  -0.0527178  29.1474  0  -8.56114  26.4493
